,Volt
0,0.0037195972959091
1,0.0042324168122026
2,0.0048181218551413
3,0.0054787999401379
4,0.0062163193269426
5,0.0070320426066029
6,0.0079264255464325
7,0.0088986212777833
8,0.0099461294178007
9,0.0110645923954662
10,0.0122476771990182
11,0.0134869291606172
12,0.0147717049689358
13,0.0160892399964431
14,0.0174248316571833
15,0.0187621876766783
16,0.020083796653946
17,0.0213711700115666
18,0.0226050773653066
19,0.0237658611272656
20,0.024833901533798
21,0.025790358879012
22,0.02661803693726
23,0.0273021680811362
24,0.0278311413624334
25,0.0281971220876568
26,0.0283965591939211
27,0.0284306640950912
28,0.0283056756507527
29,0.0280327572610522
30,0.0276276219904943
31,0.0271099263632613
32,0.0265025913610676
33,0.0258312598063161
34,0.0251237438128649
35,0.0244093125559031
36,0.0237178243365801
37,0.0230786303850778
38,0.022519395417775
39,0.0220650616552631
40,-0.0038963425256961
41,-0.003886031502737
42,-0.0038744764623929
43,-0.0038618538264567
44,-0.0038481983470363
45,-0.0038334093405161
46,-0.0038172681223362
47,-0.0037994645964519
48,-0.0037796229001415
49,-0.003757313529559
50,-0.0037320635609736
51,-0.0037033754698229
52,-0.0036707538159128
53,-0.0036337458883208
54,-0.0035919857472739
55,-0.0035452252851123
56,-0.0034933640714762
57,-0.0034364831471924
58,-0.0033748747237588
59,-0.0033090696485689
60,-0.00323984162127
61,-0.0031681664727273
62,-0.003095158534209
63,-0.0030220019923828
64,-0.0029498869950902
65,-0.0028799722956053
66,-0.0028133565856102
67,-0.0027510334460274
68,-0.0026938506327849
69,-0.0026424804087879
70,-0.002597400173539
71,-0.0025588995837021
72,-0.0025270801407018
73,-0.0025018147981088
74,-0.0024827020834013
75,-0.0024690360857646
76,-0.0024598139251197
77,-0.0024538184869709
78,-0.0024497338622509
79,-0.0024462416894091
80,-0.0024421143429289
81,-0.0024362954223046
82,-0.0024279676509041
83,-0.002416636485417
84,-0.0024021682176228
85,-0.0023847317524935
86,-0.0023646899062425
87,-0.0023424631874105
88,-0.0023184161516239
89,-0.0022928394608107
90,-0.0022659642099606
91,-0.0022379403801091
92,-0.002208799936385
93,-0.0021783849934608
94,-0.0021462741930763
95,-0.0021117806284317
96,-0.0020739447383504
97,-0.0020314678675677
98,-0.0019826467521546
99,-0.0019253232415344
100,-0.0018569364459128
101,-0.0017747847415781
102,-0.0016763853228892
103,-0.0015598182853673
104,-0.00142403543565
105,-0.0012690542407723
106,-0.0010960827992638
107,-0.0009076741822213
108,-0.0007077956723849
109,-0.0005017441962199
110,-0.000295950662643
111,-9.765147512526952e-05
112,8.543754910508932e-05
113,0.0002452890484645
114,0.0003737067266027
115,0.0004625507718384
116,0.0005040807358117
117,0.000491520133704
118,0.0004197076324628
119,0.0002856386434784
120,8.897107491553146e-05
121,-0.0001675004604757
122,-0.0004774568251963
123,-0.0008307087632763
124,-0.0012130912914239
125,-0.0016067925404699
126,-0.0019909580085177
127,-0.0023424489300128
128,-0.0026366399700673
129,-0.0028480525835505
130,-0.0029509587892463
131,-0.0029201396708259
132,-0.0027316874579839
133,-0.0023638309752344
134,-0.0017977369460366
135,-0.001018124315639
136,-1.3863705439131878e-05
137,0.0012212801539763
138,0.0026879511130755
139,0.0043806541912756
140,0.0062875222498678
141,0.0083906349735088
142,0.0106666808391323
143,0.0130877032000566
144,0.0156219500003798
145,0.0182347273999102
146,0.0208892726911038
147,0.0235477894487969
148,0.0261723964205119
149,0.0287257820062884
150,0.0311716863943737
151,0.0334752377012234
152,0.0356033145436622
153,0.0375251900439682
154,0.039213231736761
155,0.0406434171702061
156,0.0417956803526875
157,0.0426539847225241
158,0.0432062311393356
159,0.0434442425810294
160,0.0433636419365559
161,0.0429634992333494
162,0.0422459013740672
163,0.0412154708126592
164,0.0398790664952013
165,0.0382459589779674
166,0.0363282411354864
167,0.0341412276225364
168,0.031703799713427
169,0.0290385150634639
170,0.0261715803778878
171,0.0231329095858036
172,0.0199560499331675
173,0.0166778378666892
174,0.0133378697904534
175,0.0099777438255055
176,0.0066403075547292
177,0.0033692007021633
178,0.0002084659142529
179,-0.0027979700000751
180,-0.0056069952745956
181,-0.0081773654455335
182,-0.0104709130622746
183,-0.0124536038826526
184,-0.0140965564708632
185,-0.0153770479753814
186,-0.0162794069346209
187,-0.0167958424468063
188,-0.0169269328785702
189,-0.016681482080894
190,-0.0160759542906629
191,-0.0151336647193516
192,-0.0138838588098755
193,-0.0123609377794521
194,-0.01060368098847
195,-0.0086542338816645
196,-0.0065570062067983
197,-0.0043575283183259
198,-0.0021013086954097
199,0.0001671284704209
200,0.0024052054507216
201,0.004573435044412
