,Volt
0,-0.0072053700566052
1,-0.0070784736769506
2,-0.0069490550343081
3,-0.0068185093319459
4,-0.0066882161464132
5,-0.0065594926789975
6,-0.0064335473513893
7,-0.0063114356960462
8,-0.0061940229026641
9,-0.0060819582365421
10,-0.0059756573206464
11,-0.0058752887954025
12,-0.0057807685939284
13,-0.0056917609664779
14,-0.0056076887937584
15,-0.0055277584597731
16,-0.0054509899935918
17,-0.005376245792669
18,-0.0053022638617273
19,-0.0052276968290917
20,-0.0051511652645881
21,-0.0050713354832839
22,-0.0049870070482583
23,-0.0048971952958527
24,-0.004801205117664
25,-0.0046986855196247
26,-0.0045896699461143
27,-0.004474613111862
28,-0.004354409374752
29,-0.0042303841137432
30,-0.0041042620106198
31,-0.0039781089229508
32,-0.0038542663979564
33,-0.0037352990864312
34,-0.0036239394354732
35,-0.0035230182563103
36,-0.0034353737842061
37,-0.0033637246329037
38,-0.0033105286688972
39,-0.0032778556164145
40,-0.0030484442687816
41,-0.0030351096915265
42,-0.0030419362750542
43,-0.0030689315763933
44,-0.0031154010909762
45,-0.0031800011789382
46,-0.0032608387663271
47,-0.0033555812374657
48,-0.003461574504983
49,-0.0035759489149736
50,-0.0036957226276357
51,-0.0038179293605758
52,-0.0039397332667937
53,-0.0040585045427499
54,-0.0041718700130123
55,-0.004277734389404
56,-0.0043743067241595
57,-0.0044601753553345
58,-0.0045343894422567
59,-0.0045965095027322
60,-0.0046466198385395
61,-0.0046852743518045
62,-0.0047134069592551
63,-0.0047322581596426
64,-0.0047432884251439
65,-0.0047480673721208
66,-0.0047481595166303
67,-0.0047449994044042
68,-0.0047398106837161
69,-0.0047336276375592
70,-0.004727369339211
71,-0.0047219246082295
72,-0.0047182250859477
73,-0.0047172553699854
74,-0.0047200372788758
75,-0.0047276450543754
76,-0.0047412115066618
77,-0.0047619113572696
78,-0.0047909256300834
79,-0.0048293564392285
80,-0.0048781541508568
81,-0.0049381204449821
82,-0.0050099281584564
83,-0.0050941188049455
84,-0.0051910438030613
85,-0.0053006866678236
86,-0.0054224325898648
87,-0.0055548731546311
88,-0.0056956255049523
89,-0.0058411809546457
90,-0.0059867918829039
91,-0.0061263612681984
92,-0.0062524198127014
93,-0.006356267593817
94,-0.0064282198936757
95,-0.0064579212663615
96,-0.0064346692017921
97,-0.0063476541685133
98,-0.006186181093496
99,-0.0059399514333206
100,-0.0055993734988566
101,-0.0051559097801141
102,-0.004602429373587
103,-0.0039334847464089
104,-0.0031455805596346
105,-0.0022374897517902
106,-0.0012105452121935
107,-6.88758924382569e-05
108,0.0011804898784467
109,0.0025277579390702
110,0.0039606512475202
111,0.0054647404089974
112,0.0070238188625408
113,0.0086202693274332
114,0.0102354370535471
115,0.011850075726934
116,0.0134447702871081
117,0.0150002613290991
118,0.016497710796873
119,0.0179189060324836
120,0.0192464727863098
121,0.0204641973254176
122,0.0215573665690291
123,0.0225130343318205
124,0.0233202092375411
125,0.023969913113806
126,0.0244551568154125
127,0.0247709314556197
128,0.024914150080861
129,0.0248835007691153
130,0.0246792653483056
131,0.0243031074657624
132,0.0237579204171275
133,0.0230478460524257
134,0.0221783790158934
135,0.0211564698820109
136,0.01999060967979
137,0.0186908270284833
138,0.0172686357799563
139,0.0157370167536333
140,0.014110358223127
141,0.0124043083486091
142,0.0106355702644355
143,0.0088216228624732
144,0.0069804480920314
145,0.0051303662597717
146,0.0032899000430698
147,0.0014775970420899
148,-0.0002882039700765
149,-0.0019897218661593
150,-0.0036101354948732
151,-0.0051339356202669
152,-0.0065472706688839
153,-0.0078383004289715
154,-0.0089975179970573
155,-0.0100180508081129
156,-0.0108958515738597
157,-0.0116296792613733
158,-0.0122209427619155
159,-0.0126734731544696
160,-0.0129932573227097
161,-0.013188210097978
162,-0.0132679448570705
163,-0.0132434691076854
164,-0.0131268622483368
165,-0.0129309646365601
166,-0.0126690751751747
167,-0.0123546981599622
168,-0.0120012809838249
169,-0.0116218742427472
170,-0.0112287822624731
171,-0.01083325685237
172,-0.0104452690760182
173,-0.0100734250316664
174,-0.009724977253546
175,-0.0094058544525811
176,-0.009120732517991
177,-0.0088731427259994
178,-0.0086656020300909
179,-0.0084997878693152
180,-0.0083766948630343
181,-0.0082967065897628
182,-0.0082596210664575
183,-0.0082646571139463
184,-0.0083104655883192
185,-0.0083951969020376
186,-0.0085165902934895
187,-0.0086720322051944
188,-0.0088586038069303
189,-0.0090731193995898
190,-0.0093121556136451
191,-0.0095720991506104
192,-0.0098491806384913
193,-0.0101394581499253
194,-0.0104387815341037
195,-0.0107427584689186
196,-0.0110467403067045
197,-0.011345863254504
198,-0.0116351234625667
199,-0.0119094506382433
200,-0.0121637914532001
201,-0.0123932013222888
