,Volt
0,-0.0053093762209256
1,-0.0052344738847743
2,-0.005162973064949
3,-0.0050961824658868
4,-0.0050353723678083
5,-0.0049817482151052
6,-0.0049364343117283
7,-0.0049004693453958
8,-0.0048747983101448
9,-0.0048602414937778
10,-0.004857458267877
11,-0.0048669216330231
12,-0.004888906429521
13,-0.0049235034554322
14,-0.0049706461822752
15,-0.0050301282480201
16,-0.0051016245038964
17,-0.0051847206085652
18,-0.0052789432378423
19,-0.005383794704228
20,-0.0054987688172642
21,-0.0056233237005316
22,-0.0057568327628133
23,-0.0058985314047347
24,-0.0060474713085323
25,-0.0062025054003243
26,-0.006362287122404
27,-0.0065252603158957
28,-0.0066896548236132
29,-0.0068534914873859
30,-0.0070145986698386
31,-0.0071706560689966
32,-0.0073192395304753
33,-0.0074578420785213
34,-0.0075838928532694
35,-0.0076947857942956
36,-0.0077879373592103
37,-0.0078609016458714
38,-0.0079115118289898
39,-0.0079380113800315
40,-0.0039122022717908
41,-0.0038091425073491
42,-0.0037888200422798
43,-0.003853011058147
44,-0.0040003692510638
45,-0.0042265215573679
46,-0.0045243398301494
47,-0.0048842963911801
48,-0.0052948776054944
49,-0.0057429886619967
50,-0.0062143806684482
51,-0.006694167763776
52,-0.0071673597024974
53,-0.007619360032337
54,-0.0080364251868156
55,-0.008406038922706
56,-0.0087172671602278
57,-0.0089611659288962
58,-0.0091311632268715
59,-0.0092233540202796
60,-0.0092366522005401
61,-0.0091727164698789
62,-0.0090357220292299
63,-0.0088320769530663
64,-0.0085700794698599
65,-0.0082595481887336
66,-0.007911422688323
67,-0.0075372903217893
68,-0.0071489235545361
69,-0.006757901789346
70,-0.006375294532881
71,-0.0060114107373912
72,-0.0056755615314488
73,-0.0053757623101017
74,-0.0051184448611603
75,-0.0049082511233653
76,-0.0047479271062294
77,-0.0046383633613923
78,-0.0045787366284094
79,-0.0045666726962034
80,-0.0045984573248671
81,-0.004669301420085
82,-0.004773637972593
83,-0.0049054621394706
84,-0.0050586447215792
85,-0.0052271443697627
86,-0.0054051546482372
87,-0.0055872134315576
88,-0.0057683021602303
89,-0.0059439876484664
90,-0.0061105629253429
91,-0.0062651279116465
92,-0.0064056223320373
93,-0.0065308047332132
94,-0.0066401913838503
95,-0.0067339979934852
96,-0.0068130530195908
97,-0.0068786543169465
98,-0.0069323996878462
99,-0.0069760052344322
100,-0.0070111495216737
101,-0.0070393940606769
102,-0.0070621520024203
103,-0.0070806701711199
104,-0.0070960206684689
105,-0.0071090812918793
106,-0.007120517753471
107,-0.0071307981860469
108,-0.00714021920916
109,-0.0071489276022488
110,-0.0071569421903461
111,-0.0071641667293008
112,-0.0071704110877339
113,-0.0071754444360457
114,-0.0071790622595962
115,-0.007181149741376
116,-0.0071817317247214
117,-0.0071809915472393
118,-0.0071792675471891
119,-0.0071770449544393
120,-0.0071749407316696
121,-0.0071736822003926
122,-0.0071740798969695
123,-0.0071769886214621
124,-0.0071832632186744
125,-0.0071937179937432
126,-0.0072090910083781
127,-0.0072300147019943
128,-0.0072569912890658
129,-0.0072903702827279
130,-0.0073303270197413
131,-0.0073768425304485
132,-0.007429692072832
133,-0.0074884458891845
134,-0.007552480600907
135,-0.0076210022017408
136,-0.0076930676642599
137,-0.0077675942935281
138,-0.0078433705646122
139,-0.0079190769007733
140,-0.0079933238472018
141,-0.0080647210376722
142,-0.0081319555324222
143,-0.0081938554464402
144,-0.0082494476029516
145,-0.0082980050083591
146,-0.0083390842460327
147,-0.0083725664992024
148,-0.008398668168665
149,-0.0084178942225081
150,-0.0084309611722042
151,-0.0084387034409474
152,-0.0084419933229704
153,-0.0084417171306418
154,-0.0084387690008493
155,-0.0084340222534821
156,-0.0084282910283464
157,-0.0084222702013305
158,-0.0084164752902236
159,-0.0084112281955357
160,-0.008406640388885
161,-0.0084025601984294
162,-0.0083985226043568
163,-0.0083937104206896
164,-0.0083869834848472
165,-0.0083770446666003
166,-0.0083626692849381
167,-0.0083429247029588
168,-0.0083173665388883
169,-0.00828615899378
170,-0.0082501497267704
171,-0.0082109636520736
172,-0.0081710405806519
173,-0.0081335721354009
174,-0.0081023659375947
175,-0.0080816226281222
176,-0.0080757152189236
177,-0.0080890735554753
178,-0.0081260862264562
179,-0.0081909487975686
180,-0.0082874354216282
181,-0.0084185250532156
182,-0.0085859716591603
183,-0.0087899483065469
184,-0.0090287172278543
185,-0.0092983235015518
186,-0.0095923491555207
187,-0.0099016992886649
188,-0.0102145499214208
189,-0.0105165854558792
190,-0.0107914219113516
191,-0.0110211358977762
192,-0.0111868243137633
193,-0.0112690616449635
194,-0.011248340406362
195,-0.0111056133287246
196,-0.0108228649401897
197,-0.010383697886002
198,-0.0097739030068155
199,-0.0089819080397149
200,-0.0079992122626234
201,-0.0068209066785595
202,-0.005446160017286
203,-0.0038786026043467
204,-0.0021265044562212
205,-0.0002025972732789
206,0.0018763313897563
207,0.0040899105026965
208,0.0064147354562587
209,0.0088249336837434
210,0.0112927528216618
211,0.0137892570238856
212,0.0162849810690674
213,0.0187504137852074
214,0.021156381304092
215,0.0234743446247967
216,0.0256767092283309
217,0.0277372951237012
218,0.0296318367401556
219,0.0313383706897174
220,0.032837519358176
221,0.0341126109077248
222,0.0351496928002184
223,0.0359375740920838
224,0.0364677957769518
225,0.0367344584544021
226,0.0367339941154184
227,0.0364649004510047
228,0.0359275612912297
229,0.0351243127655037
230,0.0340596328254305
231,0.0327403226329471
232,0.0311756643672065
233,0.0293774676514973
234,0.0273600479137063
235,0.0251402488449581
236,0.0227373971324512
237,0.0201731120292606
238,0.0174710205936973
239,0.0146563664156755
240,0.0117556200993489
241,0.0087962341827183
242,0.0058064349158539
243,0.0028149489682066
244,-0.0001493455287577
245,-0.0030579145157016
246,-0.0058831339312525
247,-0.0085987887775655
248,-0.0111805697788166
249,-0.0136065964800552
250,-0.0158579068482368
251,-0.0179189189463639
252,-0.0197777488890035
253,-0.0214262502883095
254,-0.0228598712187016
255,-0.0240774212088165
256,-0.0250807839153638
257,-0.0258746700145069
258,-0.026466363639648
259,-0.0268653685195185
260,-0.027083032253851
261,-0.027132194174116
262,-0.0270268467035688
263,-0.0267818545857746
264,-0.0264126578576353
265,-0.0259348676437873
266,-0.0253638407068934
267,-0.0247143037047424
268,-0.0240000654253499
269,-0.0232338954073964
270,-0.0224275119125134
271,-0.0215915837076464
272,-0.0207357776850337
273,-0.019868853308061
274,-0.0189987826684254
275,-0.0181329206201857
276,-0.0172781491295065
277,-0.0164409127648452
278,-0.0156271933464947
279,-0.014842460131438
280,-0.0140916236467841
281,-0.0133790546426134
282,-0.0127086284415134
283,-0.0120837320378525
284,-0.011507259121877
285,-0.0109815973715681
286,-0.0105086085570137
287,-0.0100896344298557
288,-0.0097254908262388
289,-0.0094164073560653
290,-0.0091619481246157
291,-0.0089609373887489
292,-0.0088114128441531
293,-0.0087106484533765
294,-0.0086552219797797
295,-0.0086410872729558
296,-0.0086636612063654
297,-0.0087179209618714
298,-0.0087985068833222
299,-0.0088998459501227
300,-0.009016270271091
301,-0.0091421014614104
302,-0.0092717164827117
303,-0.0093996050450324
304,-0.0095204256082472
305,-0.009629079835422
306,-0.009720794776892
307,-0.009791193111633
308,-0.0098363598750241
309,-0.0098529081005595
310,-0.0098380376973393
311,-0.0097895917830399
312,-0.0097061000100842
313,-0.0095867938306746
314,-0.009431602282011
315,-0.0092411366028331
316,-0.0090166620267101
317,-0.0087600624814257
318,-0.0084737975682897
319,-0.0081608449680641
320,-0.0078246378462911
321,-0.0074690059375646
322,-0.0070981136575346
323,-0.0067163929458818
324,-0.0063284682466115
325,-0.005939066110575
326,-0.005552918173656
327,-0.0051746694895906
328,-0.0048087888103005
329,-0.0044594820560875
330,-0.0041306142168156
331,-0.0038256387055519
332,-0.0035475451073645
333,-0.0032988369163287
334,-0.0030815305676128
