,Volt
0,-0.0021218516460696
1,-0.0011751989241583
2,-0.0001853157235029
3,0.0008321242707699
4,0.0018611849685257
5,0.0028860454548753
6,0.0038913181658402
7,0.0048622723491363
8,0.0057850711068474
9,0.006647155029442
10,0.0074376463840741
11,0.0081476653688981
12,0.0087705175805418
13,0.0093016513488721
14,0.0097384799291472
15,0.0100802202586591
16,0.0103276827706266
17,0.0104829997198044
18,0.0105493322253135
19,0.0105305199103374
20,0.010430819058947
21,0.0102548799890592
22,0.0100078524100995
23,0.0096955340944848
24,0.0093244904470602
25,0.0089020079902176
26,0.0084359825981304
27,0.0079348826213556
28,0.0074077197111448
29,0.0068640223376243
30,0.006313792319142
31,0.0057673469600151
32,0.0052351765110708
33,0.0047279374613289
34,0.0042564721767297
35,0.0038317988636845
36,0.0034649670243782
37,0.0031666267271288
38,0.0029464580626279
39,0.0028126340337378
40,-0.0087422745499309
41,-0.0086211354352716
42,-0.0085711786812625
43,-0.0085945454747121
44,-0.0086900051917881
45,-0.008853049327274
46,-0.0090761824075361
47,-0.0093493189854861
48,-0.009660243532988
49,-0.009995047388981
50,-0.0103385893153517
51,-0.0106750594961684
52,-0.0109885781490571
53,-0.0112637918117975
54,-0.011486442246066
55,-0.0116438360752109
56,-0.0117252859246855
57,-0.0117225918535369
58,-0.0116304811160358
59,-0.0114469547233761
60,-0.0111734569495918
61,-0.0108147612094502
62,-0.0103786618189658
63,-0.0098755805665107
64,-0.0093181071650214
65,-0.0087205372476749
66,-0.0080983820415708
67,-0.0074677806298492
68,-0.0068449051120927
69,-0.0062454250575297
70,-0.005684027725036
71,-0.0051740330912488
72,-0.0047270306920479
73,-0.0043524528132357
74,-0.0040571742410499
75,-0.0038452129114719
76,-0.0037175860957653
77,-0.0036724082540833
78,-0.0037051517561973
79,-0.0038089584649166
80,-0.0039750138342542
81,-0.0041929564007947
82,-0.0044513195776614
83,-0.0047380499066054
84,-0.0050410030349922
85,-0.0053483283820524
86,-0.005648776265231
87,-0.0059319319096901
88,-0.0061884370861933
89,-0.0064102866263677
90,-0.0065911182365505
91,-0.0067264100466157
92,-0.0068135726391407
93,-0.0068518884325524
94,-0.006842349545786
95,-0.0067874869275506
96,-0.0066911510055257
97,-0.0065582278220146
98,-0.006394322675886
99,-0.006205402546202
100,-0.005997483266219
101,-0.0057764546136539
102,-0.0055479894065981
103,-0.0053174915761915
104,-0.0050900484276275
105,-0.0048703187027334
106,-0.0046624107867524
107,-0.004469827650679
108,-0.0042954516073997
109,-0.0041415687806403
110,-0.0040099187477244
111,-0.0039017157321238
112,-0.0038176947605843
113,-0.0037582322322363
114,-0.0037234925426601
115,-0.0037135765062476
116,-0.0037286174112963
117,-0.0037687512559872
118,-0.0038340167201147
119,-0.0039242512028273
120,-0.0040389886344883
121,-0.0041773945529905
122,-0.0043382191176479
123,-0.0045197182451255
124,-0.0047195931788817
125,-0.004934984929328
126,-0.0051625084697204
127,-0.0053983378432534
128,-0.0056382925097892
129,-0.0058778641553933
130,-0.0061122309232435
131,-0.0063363003247452
132,-0.0065448000951139
133,-0.0067324579543367
134,-0.0068942262194292
135,-0.0070254863621692
136,-0.0071222467041749
137,-0.0071813269222374
138,-0.0072005229325389
139,-0.0071787732636197
140,-0.0071162725416365
141,-0.0070144814289892
142,-0.0068760613566241
143,-0.0067047499582495
144,-0.0065052166707673
145,-0.0062829540846076
146,-0.0060441671812075
147,-0.0057956179331631
148,-0.0055444273614855
149,-0.0052978187051489
150,-0.0050628364062204
151,-0.0048460970301139
152,-0.0046535520520223
153,-0.004490255114873
154,-0.0043601507887632
155,-0.0042658793964949
156,-0.0042086513352196
157,-0.0041882434011123
158,-0.0042030836434714
159,-0.0042503976355585
160,-0.0043263800410048
161,-0.0044263387015236
162,-0.0045448470805544
163,-0.0046759480827083
164,-0.0048133974463302
165,-0.0049509536182246
166,-0.0050826800894069
167,-0.0052032037776036
168,-0.0053079569898364
169,-0.0053934178951468
170,-0.0054573237077543
171,-0.0054988549354209
172,-0.0055187302846557
173,-0.0055191509744322
174,-0.0055036409550038
175,-0.0054768247277706
176,-0.0054441794649435
177,-0.0054118210572722
178,-0.0053862845788922
179,-0.0053742466123188
180,-0.0053822185012072
181,-0.0054162153918569
182,-0.0054814293471999
183,-0.0055819652618803
184,-0.0057205945527657
185,-0.0058984914568515
186,-0.0061149993994488
187,-0.0063674472660308
188,-0.0066510811677581
189,-0.006959188576822
190,-0.0072833491090335
191,-0.0076137414801452
192,-0.0079394843424883
193,-0.0082489544817002
194,-0.00853011182737
195,-0.0087708894790411
196,-0.0089595870138087
197,-0.0090852292971733
198,-0.0091378905491331
199,-0.009108946663261
200,-0.0089913167883967
201,-0.0087797610703513
202,-0.0084711622626145
203,-0.0080647367940217
204,-0.0075621305076624
205,-0.0069673262407244
206,-0.0062864303822015
207,-0.005527431078244
208,-0.0046999126718135
209,-0.0038147467473585
210,-0.002883764806661
211,-0.0019193746788327
212,-0.0009342074891318
213,5.912608927638105e-05
214,0.0010482129105234
215,0.0020209643254119
216,0.0029657466464168
217,0.0038715972224886
218,0.0047284542798854
219,0.0055273201562858
220,0.0062603639551705
221,0.006920933896495
222,0.00750351452184
223,0.0080037062025831
224,0.0084181715317762
225,0.008744510819366
226,0.0089811120488218
227,0.0091269826036371
228,0.0091816381681422
229,0.0091451401120817
230,0.0090182114188654
231,0.008802359984086
232,0.0084999891044655
233,0.0081144356548559
234,0.0076499725627205
235,0.007111846191751
236,0.0065062916681028
237,0.0058404944152158
238,0.0051225098366812
239,0.0043611143265053
240,0.0035656566153066
241,0.0027459875989824
242,0.0019124058548661
243,0.0010755706573992
244,0.0002463501039009
245,-0.0005644579748276
246,-0.0013464675878548
247,-0.0020900182197226
248,-0.0027864761939881
249,-0.0034285088107637
250,-0.0040103239687777
251,-0.0045279082377172
252,-0.0049791862269232
253,-0.0053640308267172
254,-0.0056841664584666
255,-0.0059429879344448
256,-0.0061453506013043
257,-0.006297412085173
258,-0.006406472102764
259,-0.0064807491613837
260,-0.0065291017486022
261,-0.0065606737461189
262,-0.0065845083936914
263,-0.0066092076741913
264,-0.0066426047173722
265,-0.0066914324983626
266,-0.0067610193018019
267,-0.0068550102032029
268,-0.0069751859033711
269,-0.0071214536443229
270,-0.0072919616311204
271,-0.007483292371757
272,-0.007690694143232
273,-0.0079082846621885
274,-0.0081292674920001
275,-0.0083462167649824
276,-0.0085514058844798
277,-0.0087371777682753
278,-0.008896322323355
279,-0.0090223978169862
280,-0.0091100317622074
281,-0.0091552270407766
282,-0.0091556373073383
283,-0.0091108009311523
284,-0.0090222660389133
285,-0.0088935352321426
286,-0.0087298824134418
287,-0.0085380937449597
288,-0.0083261711900955
289,-0.0081030620342676
290,-0.0078783746035092
291,-0.0076620243928613
292,-0.0074638440410074
293,-0.0072931668640307
294,-0.0071584169353129
295,-0.0070667697750784
296,-0.0070238383714516
297,-0.0070333495969678
298,-0.0070968590025695
299,-0.0072135236547402
300,-0.0073800068209795
301,-0.0075905965473989
302,-0.0078374697741202
303,-0.00811103080359
304,-0.008400290648693
305,-0.0086932199237022
306,-0.0089771141433308
307,-0.0092390360808494
308,-0.009466277306804
309,-0.0096468091068531
310,-0.0097697059990193
311,-0.0098254854766949
312,-0.0098064283093071
313,-0.0097069417122344
314,-0.0095238917917361
315,-0.0092568585638181
316,-0.0089082459211445
317,-0.0084831556157264
318,-0.0079891071316306
319,-0.0074357037625054
320,-0.0068342500457567
321,-0.0061973684155471
322,-0.0055385990231956
323,-0.004871923286264
324,-0.0042113030794107
325,-0.0035703068370836
326,-0.0029617981432241
327,-0.0023977015428937
328,-0.001888773036858
329,-0.0014442827656911
330,-0.0010717005263256
331,-0.0007764673032331
332,-0.000561880154562
333,-0.0004291572824207
334,-0.0003776157839355
335,-0.000404853310462
336,-0.0005069761536714
337,-0.0006788808423519
338,-0.0009145605496021
339,-0.0012074593790083
340,-0.0015507693739795
341,-0.0019375626607901
342,-0.0023608298125358
343,-0.0028134768796432
344,-0.0032883325846149
345,-0.003778259870353
346,-0.0042762973685667
347,-0.0047757316845634
348,-0.0052701378466449
349,-0.0057533836344235
350,-0.0062196183502858
351,-0.0066633201478176
352,-0.0070793193848239
353,-0.0074627247033257
354,-0.0078088232711749
355,-0.0081129882502125
356,-0.0083706710786073
357,-0.0085775854308126
358,-0.0087299887080292
359,-0.0088249521328789
360,-0.0088606135259452
361,-0.0088363568897345
362,-0.0087529445407272
363,-0.0086126783079127
364,-0.0084194960478166
365,-0.0081789354649904
366,-0.0078980028274772
367,-0.0075849396169724
368,-0.0072489791769566
369,-0.0069002081446759
370,-0.0065494439864461
371,-0.0062080481334476
372,-0.0058876554597624
373,-0.0055997556883898
374,-0.0053552087748478
375,-0.005163820024648
376,-0.0050339323092808
377,-0.0049720305716571
378,-0.0049823910348038
379,-0.0050667499401416
380,-0.0052241081658948
381,-0.005450787484213
382,-0.0057406570301663
383,-0.0060854676997171
384,-0.0064752248831465
385,-0.0068984844555036
386,-0.0073426473257837
387,-0.0077943517847986
388,-0.0082399198181635
389,-0.0086658583640957
390,-0.0090593716402037
391,-0.0094087840802191
392,-0.009703949310851
393,-0.0099367066509277
394,-0.0101013075516223
395,-0.0101947797016478
396,-0.0102171276129956
397,-0.0101712454253392
398,-0.0100626403706203
399,-0.0098990763063619
400,-0.009690164471612
401,-0.0094469815374948
402,-0.0091816753290869
403,-0.0089069716871212
404,-0.0086356737614873
405,-0.0083802138342003
406,-0.0081522520683031
407,-0.0079623685150799
408,-0.0078197637940031
409,-0.0077318710293451
410,-0.0077039778299446
411,-0.0077389366962968
412,-0.0078370205535828
413,-0.007996019384866
414,-0.0082114915006336
415,-0.008477045982835
416,-0.0087846788953507
417,-0.009125140802554
418,-0.0094883279559268
419,-0.0098637455106582
420,-0.0102409309886724
421,-0.0106097348150826
422,-0.0109605115850053
423,-0.0112842434938601
424,-0.0115726642471734
425,-0.0118184879178914
426,-0.012015651808054
427,-0.0121594715348534
428,-0.0122467137493736
429,-0.0122755477129396
430,-0.0122454231185353
431,-0.0121569741793159
432,-0.0120118832492547
433,-0.0118126604515705
434,-0.0115623933504698
435,-0.0112644724138504
436,-0.0109223899643865
437,-0.0105397280691427
438,-0.010120249331446
439,-0.009668006123194
440,-0.0091874390287527
441,-0.0086833862594294
442,-0.0081610570519971
443,-0.0076260621635524
444,-0.0070844338110556
445,-0.0065426019553167
446,-0.0060073361238292
447,-0.0054856103092418
448,-0.0049844804071531
449,-0.0045110713332932
450,-0.0040725903359973
451,-0.0036763067299462
452,-0.0033294486499604
453,-0.0030389281879791
454,-0.0028109836113341
455,-0.0026508583347841
456,-0.0025624951012725
457,-0.0025482688042774
458,-0.0026087629537173
459,-0.0027425385432576
460,-0.0029460024431855
461,-0.0032134706619348
462,-0.003537362786328
463,-0.0039084960244136
464,-0.0043163994277722
465,-0.0047495319527351
466,-0.0051954876215592
467,-0.0056412814859321
468,-0.0060736983545077
469,-0.0064797331425819
470,-0.0068470651761932
471,-0.0071644556666003
472,-0.0074221343213096
473,-0.0076122171238278
474,-0.0077290928441897
475,-0.0077697676550945
476,-0.0077340610088714
477,-0.0076245295030181
478,-0.0074462142987735
479,-0.0072063076258722
480,-0.006913776605107
481,-0.0065790358537507
482,-0.0062136172961419
483,-0.005829743689586
484,-0.0054398865909047
485,-0.005056352449435
486,-0.0046908991589031
487,-0.0043544414882384
488,-0.0040567581996517
489,-0.0038061062482497
490,-0.0036088405844518
491,-0.0034691107832465
492,-0.0033886985723161
493,-0.0033671006228858
494,-0.0034017647604994
495,-0.0034883536512087
496,-0.003621057308369
497,-0.0037929258512114
498,-0.0039962187805518
499,-0.0042228265142797
500,-0.0044646483177599
501,-0.0047138220513555
502,-0.0049628650748811
503,-0.00520474876461
504,-0.005432980355818
505,-0.005641805107133
506,-0.0058264314187947
507,-0.0059831703121784
508,-0.0061094998011127
509,-0.0062040145068733
510,-0.0062663078832274
511,-0.0062968927886093
512,-0.0062970818096979
513,-0.0062687731164622
514,-0.0062142073442309
515,-0.0061357074562581
516,-0.0060355049962358
517,-0.0059157800616944
518,-0.0057788137601212
519,-0.0056271497320394
520,-0.005463742195441
521,-0.0052920099354581
522,-0.0051158454897399
523,-0.0049396797756498
524,-0.0047685123716148
525,-0.0046078542538629
526,-0.0044636113788721
527,-0.004341879363468
528,-0.0042487528142885
529,-0.0041902712539103
530,-0.0041723994223639
531,-0.0042009583946406
532,-0.0042814729739313
533,-0.0044188481744784
534,-0.0046169678716555
535,-0.0048783557043541
536,-0.0052038498677585
537,-0.0055922909305338
538,-0.0060402565784459
539,-0.0065418082047965
540,-0.0070883777063807
541,-0.0076689238785212
542,-0.0082702608794747
543,-0.0088774852529569
544,-0.0094744312121443
545,-0.0100440267821776
546,-0.010568632240557
547,-0.011030475356179
548,-0.0114121201443255
549,-0.0116969585529188
550,-0.0118696984673537
551,-0.0119167523190139
552,-0.0118266219715371
553,-0.0115903702532924
554,-0.0112020749879481
555,-0.0106592066628331
556,-0.009962839318157
557,-0.0091175621114362
558,-0.0081312000339654
559,-0.0070144815388988
560,-0.0057806430605828
561,-0.0044450222200388
562,-0.0030246326715837
563,-0.0015376461359409
564,-2.906145702458111e-06
565,0.0015604194572455
566,0.0031331056710692
567,0.0046960686984762
568,0.0062305768912894
569,0.0077185978242933
570,0.0091431749655215
571,0.0104887178439784
572,0.0117412111753862
573,0.0128882934249611
574,0.0139192523068832
575,0.0148250481535385
576,0.015598284558174
577,0.0162330702111505
578,0.0167248398796293
579,0.0170701469707887
580,0.0172665281553172
581,0.0173125686134877
582,0.0172080701272185
583,0.016954218348817
584,0.0165537341419952
585,0.0160109361311519
586,0.015331752448919
587,0.014523773445532
588,0.0135962577697761
589,0.0125600332485757
590,0.0114273289957476
591,0.0102115235608183
592,0.0089268971183373
593,0.0075885007268515
594,0.0062120550668759
595,0.0048137987461805
596,0.0034102714937939
597,0.0020179694517296
598,0.0006529384262053
599,-0.0006695820835143
600,-0.0019355138054463
601,-0.0031323112496279
602,-0.0042493074097339
603,-0.0052780456661999
604,-0.0062125002862876
605,-0.0070490764182609
606,-0.0077864687465365
607,-0.008425449790434
608,-0.0089686247829467
609,-0.0094202380431354
610,-0.0097859830564727
611,-0.0100727333112239
612,-0.0102882547975221
613,-0.0104409284849476
614,-0.0105394825280061
615,-0.0105927826552374
616,-0.010609611747094
617,-0.0105983617596915
618,-0.010566714275795
619,-0.0105213652286679
620,-0.0104678388682442
621,-0.0104104704917299
622,-0.0103524942563749
623,-0.0102961433532822
624,-0.0102427850389797
625,-0.0101930774477326
626,-0.0101471391945556
627,-0.0101047679224186
628,-0.0100656270441204
629,-0.0100293224751714
630,-0.0099954169828383
631,-0.0099634082069546
632,-0.0099327150892676
633,-0.009902748777323
634,-0.0098730096509406
635,-0.0098431375849108
636,-0.0098129327163533
637,-0.0097823323749724
638,-0.0097513643576753
639,-0.0097201357910806
640,-0.0096888046727303
641,-0.0096574897995932
642,-0.0096261634001128
643,-0.0095945421441912
644,-0.009562031631212
645,-0.0095277982147503
646,-0.0094909095093862
647,-0.0094504774016111
648,-0.0094057963075753
649,-0.0093564371130792
650,-0.0093023167748439
651,-0.009243795049174
652,-0.0091817446119389
653,-0.0091175570719289
654,-0.0090531034825339
655,-0.0089906394274364
656,-0.0089327085035964
657,-0.0088821106746442
658,-0.0088418840545558
659,-0.0088152547556511
660,-0.0088055391073911
661,-0.0088159568741856
662,-0.0088494023686751
663,-0.0089082446277121
664,-0.0089941355797002
665,-0.009107826827378
666,-0.0092490090582259
667,-0.009416155980836
668,-0.0096064355887594
669,-0.0098157503264851
670,-0.0100388651992123
671,-0.0102695946844883
672,-0.010501008752606
673,-0.0107255950973663
674,-0.0109354187835036
675,-0.011122331605154
676,-0.0112782134143194
677,-0.0113952509401878
678,-0.0114662267266515
