,Volt
0,0.0009401024762364
1,0.0007613671749239
2,0.0005768056183517
3,0.0003888254303005
4,0.0001995233349502
5,1.0785332339897602e-05
6,-0.0001755344966974
7,-0.0003574053061298
8,-0.0005324437981411
9,-0.0006978697575553
10,-0.0008505150581478
11,-0.0009867937139647
12,-0.0011026715087468
13,-0.0011936231162884
14,-0.0012546126948259
15,-0.0012801861091543
16,-0.00126457104717
17,-0.0012017047044719
18,-0.0010852653660669
19,-0.0009087303901396
20,-0.0006655695945016
21,-0.0003497074376069
22,4.388945054168763e-05
23,0.0005186466433783
24,0.0010758750653833
25,0.0017144294144863
26,0.0024304722272439
27,0.0032172231103729
28,0.0040648278975379
29,0.0049604244790802
30,0.0058883758186751
31,0.0068307141896716
32,0.0077676259806011
33,0.0086777943176939
34,0.0095387445426328
35,0.0103272983307934
36,0.0110202137218473
37,0.0115951540935291
38,0.0120317956602959
39,0.012312830302323
40,0.0119005876014123
41,0.011905760569413
42,0.0118363392310722
43,0.0116923183327255
44,0.0114755121559366
45,0.0111894880840889
46,0.010839407059742
47,0.0104318191962097
48,0.0099744309845059
49,0.0094758839288986
50,0.0089455242439005
51,0.0083931237306719
52,0.0078285926732786
53,0.0072617096594524
54,0.0067018708512085
55,0.0061578858594155
56,0.0056377807106031
57,0.0051485649680908
58,0.0046960099978744
59,0.004284473151034
60,0.0039168001902779
61,0.0035943555267294
62,0.0033171363681484
63,0.0030839111039822
64,0.0028923881296466
65,0.0027393982634631
66,0.0026210909238299
67,0.0025331710122749
68,0.0024711224863125
69,0.0024303709853057
70,0.0024064074139418
71,0.0023948765900628
72,0.0023916657732561
73,0.0023930438608836
74,0.002395805069598
75,0.0023973682196916
76,0.0023958287607545
77,0.0023899392304199
78,0.0023790443851218
79,0.0023630224068138
80,0.0023422031352975
81,0.0023172473147661
82,0.002289010595042
83,0.0022583915143295
84,0.0022262121280997
85,0.0021931873995119
86,0.0021599443841697
87,0.0021270548731507
88,0.0020950665812671
89,0.0020644944501424
90,0.0020357993871738
91,0.0020094000821409
92,0.0019856886167021
93,0.0019650371716627
94,0.0019477993537303
95,0.0019342841395871
96,0.0019247424044915
97,0.001919409661783
98,0.0019185650885092
99,0.0019225783416004
100,0.0019319218724846
101,0.0019471068679506
102,0.0019685805628444
103,0.0019966380787392
104,0.0020313341783136
105,0.0020724011870246
106,0.0021191788249084
107,0.0021705345686336
108,0.0022248227386524
109,0.0022799282933549
110,0.0023333606446312
111,0.0023823763976726
112,0.0024241016402956
113,0.0024556033996899
114,0.0024739464051974
115,0.0024762811503261
116,0.0024599436092177
117,0.0024225697915722
118,0.002362213326269
119,0.0022774263611181
120,0.0021673442039384
121,0.0020318092637836
122,0.0018714933296215
123,0.0016879982756148
124,0.0014838975853333
125,0.001262663366874
126,0.0010285272455504
127,0.0007863333078771
128,0.0005413770183674
129,0.0002992526009513
130,6.570402495710139e-05
131,-0.000153555388083
132,-0.0003529972493581
133,-0.0005273589720224
134,-0.0006716840095416
135,-0.0007813307950861
136,-0.0008519931191206
137,-0.0008797950363479
138,-0.0008614060063976
139,-0.0007941183284399
140,-0.0006758950781073
141,-0.000505365668518
142,-0.00028179486596
143,-5.084222240415727e-06
144,0.0003242452886174
145,0.000705125270307
146,0.0011360249129758
147,0.0016150403389126
148,0.002139928239461
149,0.0027080079324772
150,0.003316000621711
151,0.0039598771227646
152,0.0046347249933517
153,0.0053346841826422
154,0.0060529254687452
155,0.0067816110433369
156,0.0075119035708391
157,0.0082340661323748
158,0.0089376261396956
159,0.0096116130992966
160,0.0102447976461848
161,0.0108258438876964
162,0.0113434447263321
163,0.0117865003675283
164,0.0121443543900901
165,0.0124071390464058
166,0.0125661651915718
167,0.0126142573215497
168,0.0125460710010924
169,0.012358398788433
170,0.0120504332099049
171,0.0116240032317198
172,0.011083691315403
173,0.0104367356412906
174,0.0096927893341265
175,0.0088635955886221
176,0.0079626275080854
177,0.0070047825929494
178,0.0060060778512896
179,0.0049832659699781
180,0.0039534216181327
181,0.0029335115392687
182,0.0019399681854803
183,0.0009883343941709
184,9.291406463130135e-05
185,-0.0007336338034616
186,-0.0014806847381034
187,-0.0021399790319221
188,-0.0027058273452291
189,-0.0031750990325266
190,-0.0035470664810031
191,-0.0038231993869654
192,-0.0040069076009489
193,-0.0041032716380851
194,-0.0041187532258192
195,-0.0040608345973551
196,-0.0039376668610561
197,-0.0037577957645325
198,-0.0035299364259853
199,-0.0032627994583989
200,-0.002964916225417
201,-0.0026443870193116
202,-0.002308619689029
203,-0.0019641292302478
204,-0.0016164073647294
205,-0.0012699020210087
206,-0.0009280710761305
207,-0.0005934381542992
208,-0.0002676865168845
209,4.8189669805142905e-05
210,0.0003537068506183
211,0.0006486839728889
212,0.0009330655851672
213,0.0012068484600248
214,0.0014700687908744
215,0.0017228085744205
216,0.0019652055068196
217,0.0021974228791172
218,0.0024196079939344
219,0.0026318904742855
220,0.0028343918959092
221,0.0030272327973721
222,0.0032105415014834
223,0.0033844428869818
224,0.003549060969852
225,0.0037045759883593
226,0.0038513018333853
227,0.0039897570309275
228,0.0041207114132103
229,0.0042451731644706
230,0.0043643396955641
231,0.0044795510984349
232,0.0045922345188425
233,0.0047038405395629
234,0.0048157775234302
235,0.0049293309311377
236,0.0050455948763534
237,0.0051654462954586
238,0.0052895435124818
239,0.0054183363523204
240,0.0055520778675781
241,0.0056908145644618
242,0.0058343688684793
243,0.0059823364882718
244,0.0061340883706828
245,0.0062887748921798
246,0.0064453344899262
247,0.0066024966706378
248,0.006758793528222
249,0.0069125969298833
250,0.0070621673512153
251,0.0072057038403293
252,0.0073413901580823
253,0.0074674234548997
254,0.007582033372374
255,0.0076835064428682
256,0.0077702071453658
257,0.0078405921373451
258,0.007893223240076
259,0.0079267763009324
260,0.0079400569058569
261,0.0079320370251473
262,0.0079019005288587
263,0.0078490861174875
264,0.0077733259954827
265,0.0076746710475742
266,0.0075535056250919
267,0.0074105617369348
268,0.0072469212465026
269,0.0070639983286387
270,0.0068635089011052
271,0.0066474277290147
272,0.0064179436619774
273,0.0061774276474892
274,0.0059284032259568
275,0.0056735091215846
276,0.0054154560860792
277,0.0051569734018527
278,0.0049007514273871
279,0.0046493932569411
280,0.0044053662131615
281,0.0041709470968268
282,0.0039481699959744
283,0.0037387786906901
284,0.0035441961332986
285,0.0033655264917456
286,0.003203576830716
287,0.0030588849902048
288,0.002931751455193
289,0.0028222654715577
290,0.0027303304080324
291,0.0026556998079116
292,0.0025980110831768
293,0.0025568084274107
294,0.0025315588172417
295,0.0025216578583901
296,0.002526438885618
297,0.002545201100646
298,0.0025772425381284
299,0.002621885984842
300,0.0026784927574549
301,0.0027464523357543
302,0.002825160609173
303,0.0029140051673678
304,0.0030123500190317
305,0.0031195192470549
306,0.0032347820412229
307,0.0033573323521988
308,0.0034862826161088
309,0.003620689475802
310,0.003759597061674
311,0.0039020885556222
312,0.0040473315754862
313,0.0041945958443792
314,0.0043432602491774
315,0.0044928288228257
316,0.0046429498959025
317,0.0047934430467621
318,0.0049443235537525
