,Volt
0,-0.0104377264488215
1,-0.0103236165628297
2,-0.0102095517389942
3,-0.0100964104790998
4,-0.0099850188492159
5,-0.0098761516931817
6,-0.0097705470540728
7,-0.0096689275673872
8,-0.0095720174995506
9,-0.0094805382464767
10,-0.0093951962664932
11,-0.0093166793768003
12,-0.0092456569187082
13,-0.0091827877248713
14,-0.0091287288629357
15,-0.009084129320586
16,-0.0090496243783106
17,-0.0090258421932228
18,-0.0090134109826081
19,-0.0090129642624778
20,-0.0090251259471926
21,-0.0090504534559411
22,-0.0090893605615366
23,-0.009142041863964
24,-0.0092084052033762
25,-0.0092880292076137
26,-0.0093801358431772
27,-0.0094835586015993
28,-0.0095967258694512
29,-0.0097176700873239
30,-0.0098440590323195
31,-0.0099732571030911
32,-0.0101023912560023
33,-0.0102283946257429
34,-0.0103480495027361
35,-0.0104580451493835
36,-0.0105550628004581
37,-0.0106359099930882
38,-0.0106976762305259
39,-0.0107378742632574
40,-0.0015875153900686
41,-0.0015414206632575
42,-0.001542510409277
43,-0.0015915678643971
44,-0.0016876835692132
45,-0.0018283096510363
46,-0.0020094085896392
47,-0.0022256461688593
48,-0.0024706153360416
49,-0.0027370551943342
50,-0.0030170815814781
51,-0.0033024659294085
52,-0.0035849211494139
53,-0.003856366641804
54,-0.0041091712854895
55,-0.0043363509681616
56,-0.0045317564961435
57,-0.0046902924572026
58,-0.0048081234044437
59,-0.0048828332858158
60,-0.0049135089644327
61,-0.0049007033742169
62,-0.0048463171609777
63,-0.0047534530344657
64,-0.0046262387415248
65,-0.0044696340730159
66,-0.0042892220056746
67,-0.0040909609383718
68,-0.0038809448853593
69,-0.0036652134812152
70,-0.0034495966742349
71,-0.0032395937553101
72,-0.0030402579717987
73,-0.0028560453382793
74,-0.0026906662688093
75,-0.0025469803333381
76,-0.0024269413317
77,-0.0023316157980939
78,-0.0022612514080103
79,-0.0022153520297089
80,-0.0021927770452632
81,-0.0021918718018772
82,-0.0022106145693067
83,-0.002246784133725
84,-0.0022981094230872
85,-0.0023623587540615
86,-0.0024373917416653
87,-0.0025211931894761
88,-0.0026119032575752
89,-0.002707873310598
90,-0.0028077241028622
91,-0.0029103726869663
92,-0.003015039286447
93,-0.003121234448233
94,-0.0032287317116071
95,-0.0033375480751213
96,-0.0034479111008731
97,-0.0035601921575618
98,-0.0036748262923366
99,-0.0037922299205275
100,-0.0039127372040632
101,-0.0040365847849345
102,-0.0041639249561899
103,-0.0042948418902775
104,-0.0044293713447878
105,-0.0045675128252257
106,-0.0047092397563768
107,-0.0048545257360431
108,-0.0050033682105723
109,-0.0051557942482767
110,-0.005311856343405
111,-0.0054716169264876
112,-0.0056351365390348
113,-0.005802486756848
114,-0.0059737714213895
115,-0.0061491393859511
116,-0.0063287862907705
117,-0.0065129344853942
118,-0.0067018004725539
119,-0.0068955683939409
120,-0.00709436059165
121,-0.007298200581644
122,-0.0075069754575632
123,-0.0077203961277216
124,-0.0079379696902277
125,-0.0081590012540604
126,-0.0083826137525596
127,-0.0086077747782237
128,-0.0088333264938043
129,-0.009058007405846
130,-0.0092804719324924
131,-0.0094993197026481
132,-0.0097131260606113
133,-0.0099204689283045
134,-0.010119953924779
135,-0.010310233039844
136,-0.0104900251460775
137,-0.0106581490568745
138,-0.0108135596740264
139,-0.01095537910572
140,-0.0110829197133219
141,-0.0111956910963128
142,-0.0112933961776273
143,-0.0113759264479614
144,-0.0114433517828829
145,-0.0114959030880391
146,-0.011533951821279
147,-0.0115579853961506
148,-0.011568585598876
149,-0.0115664192819126
150,-0.0115522354340917
151,-0.0115268626064658
152,-0.0114912064162202
153,-0.0114462426129006
154,-0.0113930069140844
155,-0.011332587000698
156,-0.0112661115676299
157,-0.011194732176405
158,-0.0111196023156968
159,-0.0110418551785384
160,-0.0109625827872686
161,-0.0108828225374296
162,-0.0108035475452485
163,-0.0107256552610331
164,-0.0106499585243537
165,-0.01057718019959
166,-0.0105079485929831
167,-0.010442795428158
168,-0.010382151431737
169,-0.0103263326081701
170,-0.010275525422715
171,-0.0102297781249903
172,-0.010188996019653
173,-0.0101529442094595
