,Volt
0,-7.78230562447566e-05
1,-0.001459680986771
2,-0.0028059788266024
3,-0.0041146722496168
4,-0.0053840104065401
5,-0.0066124626766414
6,-0.0077987396061625
7,-0.0089418556699228
8,-0.0100411808400152
9,-0.0110963844829364
10,-0.0121073445869173
11,-0.0130741206007538
12,-0.013996954730292
13,-0.014876306889401
14,-0.0157129016771065
15,-0.0165077137627226
16,-0.0172619691763958
17,-0.0179772313912382
18,-0.0186555074175096
19,-0.0192993453935156
20,-0.0199118484074685
21,-0.020496503295847
22,-0.021056910910147
23,-0.0215965168414433
24,-0.0221183544241528
25,-0.0226248566221335
26,-0.0231177079430092
27,-0.0235976633619684
28,-0.0240644146274983
29,-0.0245165592440661
30,-0.0249516488020589
31,-0.0253663340496733
32,-0.0257565223689176
33,-0.0261174483360526
34,-0.0264437340700001
35,-0.0267295036567947
36,-0.0269685839781833
37,-0.02715485984446
38,-0.0272827013345608
39,-0.0273473489085645
40,-0.0056210942535773
41,-0.005567483100154
42,-0.0056015278171855
43,-0.0057241411158739
44,-0.0059335745188651
45,-0.0062255027924353
46,-0.0065932506813213
47,-0.0070280862470685
48,-0.0075195620717314
49,-0.0080558518692671
50,-0.0086241054469573
51,-0.0092108757973374
52,-0.0098025561230109
53,-0.0103857836479933
54,-0.0109478100791042
55,-0.0114768058338356
56,-0.0119621498908865
57,-0.0123947654483294
58,-0.012767437039148
59,-0.0130750573798599
60,-0.0133147634289411
61,-0.013485898315003
62,-0.0135898534231494
63,-0.0136298688618022
64,-0.0136107849566513
65,-0.0135387643680175
66,-0.0134209879222575
67,-0.0132652940467806
68,-0.0130798277630396
69,-0.0128727602332802
70,-0.0126520576060213
71,-0.0124252966691896
72,-0.0121994905231808
73,-0.0119808689524544
74,-0.0117746640035053
75,-0.0115849558183785
76,-0.0114145874889527
77,-0.0112651774885491
78,-0.0111372014848993
79,-0.01103008882291
80,-0.0109423541016916
81,-0.0108717728008122
82,-0.0108155827393969
83,-0.0107707149408
84,-0.0107340083008069
85,-0.0107023569123663
86,-0.0106728120773319
87,-0.0106426584059026
88,-0.0106094798524677
89,-0.0105712470377345
90,-0.0105264010562116
91,-0.0104738980403004
92,-0.0104132199023966
93,-0.010344348169322
94,-0.0102677106905123
95,-0.0101841266085222
96,-0.0100947364965559
97,-0.01000090578428
98,-0.0099041129170239
99,-0.0098058262254741
100,-0.0097073919627756
101,-0.0096099591838895
102,-0.0095144328125161
103,-0.0094214451334326
104,-0.0093313353533905
105,-0.0092441223449543
106,-0.0091594845511588
107,-0.0090767637635201
108,-0.0089949960216388
109,-0.0089129760557198
110,-0.008829339899636
111,-0.0087426452775586
112,-0.0086514534869693
113,-0.0085544102023
114,-0.0084503266226929
115,-0.0083382695817225
116,-0.0082176358556907
117,-0.0080881918992788
118,-0.0079500884694573
119,-0.0078038509309616
120,-0.0076503698999685
121,-0.0074909202484798
122,-0.0073271789437117
123,-0.0071612165714016
124,-0.0069954553372962
125,-0.0068325726019951
126,-0.0066753798071294
127,-0.0065267184933412
128,-0.0063893533749876
129,-0.0062658597090462
130,-0.0061585154356704
131,-0.0060691861131971
132,-0.0059992534243743
133,-0.0059496346966074
134,-0.0059208513529066
135,-0.0059131169834353
136,-0.0059264122981432
137,-0.0059604924680802
138,-0.0060148724305428
139,-0.0060888458090427
140,-0.0061815110065957
141,-0.0062918077160022
142,-0.0064185484536497
143,-0.0065603966680839
144,-0.0067158541161524
145,-0.0068833094269177
146,-0.0070610943871697
147,-0.0072475251320525
148,-0.0074408699481935
149,-0.0076391647161088
150,-0.0078399588872472
151,-0.0080400834747781
152,-0.0082354450099048
153,-0.008420893002249
154,-0.0085901400811643
155,-0.0087356708077558
156,-0.0088487285970855
157,-0.0089194435792797
158,-0.0089370593152914
159,-0.0088902577040591
160,-0.008767490393764
161,-0.0085572029145106
162,-0.0082480410250731
163,-0.0078291206806186
164,-0.0072903708431911
165,-0.0066230067381564
166,-0.0058200504370872
167,-0.004876768664698
168,-0.003791082459985
169,-0.0025639638160164
170,-0.0011997712498557
171,0.0002934607786244
172,0.0019039052309931
173,0.0036161298000366
174,0.0054114855183351
175,0.0072686091493566
176,0.0091639740636538
177,0.0110723669238146
178,0.0129673637540344
179,0.0148219158007118
180,0.0166089704027369
181,0.0183021019246861
182,0.0198761277423955
183,0.0213076168709023
184,0.0225753872862184
185,0.0236610853313878
186,0.0245497384939009
187,0.0252302152518641
188,0.0256954993408239
189,0.025942644800824
190,0.0259725218263142
191,0.0257894947642198
192,0.0254010258451962
193,0.0248172590355107
194,0.0240505753596792
195,0.0231150447933894
196,0.0220259002533927
197,0.0207991408559379
198,0.0194512145238172
199,0.0179987768192916
200,0.0164584432105889
201,0.0148464135905298
202,0.0131780764709579
203,0.0114677060856717
204,0.0097282599511468
205,0.0079713356447863
206,0.0062072306046006
207,0.0044449893161606
208,0.0026925046833038
209,0.0009567126644208
210,-0.0007561745205839
211,-0.0024403966478646
212,-0.0040904384527156
213,-0.0057010105754153
214,-0.0072671349977286
215,-0.0087842532239585
216,-0.0102483298866614
217,-0.0116558737078124
218,-0.0130039252974248
219,-0.0142901036089841
220,-0.0155126484842381
221,-0.0166704265642198
222,-0.0177629131623593
223,-0.018790113435779
224,-0.0197524978117697
225,-0.0206510391673665
226,-0.0214872791261972
227,-0.0222633668496252
228,-0.0229820350637696
229,-0.0236464416419865
230,-0.0242599387391391
231,-0.024825863038955
232,-0.0253473223492563
233,-0.0258269854660054
234,-0.0262668888487043
235,-0.0266682291723225
236,-0.0270312178596213
237,-0.0273550740439209
238,-0.0276381067007939
239,-0.0278778534806382
240,-0.0280712340581045
241,-0.028214644599796
242,-0.0283040406966301
243,-0.0283350726792883
244,-0.0283032502611367
245,-0.0282041406845657
246,-0.0280335812685975
247,-0.0277878516530209
248,-0.0274638484114329
249,-0.0270593003656631
250,-0.0265729819949298
251,-0.0260049055743109
252,-0.0253564446441487
253,-0.024630324597324
254,-0.0238305261648009
255,-0.022962157347678
256,-0.022031299179353
257,-0.02104485645975
258,-0.0200104015352986
259,-0.0189359733831482
260,-0.0178298749103453
261,-0.0167005021020314
262,-0.015556195089617
263,-0.0144051219657221
264,-0.013255163524669
265,-0.0121137560617951
266,-0.0109877301826185
267,-0.0098831814596175
268,-0.0088053866325096
269,-0.0077587954131447
270,-0.0067470733670428
271,-0.0057731534392866
272,-0.0048393088815399
273,-0.0039472486964456
274,-0.0030982270896961
275,-0.0022931767227509
276,-0.0015328321035056
277,-0.0008178070911794
278,-0.0001486434506893
279,0.0004741580344389
280,0.0010501097039294
281,0.0015786859645914
282,0.0020592699429974
283,0.0024911258353746
284,0.0028733925498054
285,0.0032051031877934
286,0.0034852230177286
287,0.0037126849687217
288,0.003886436301011
289,0.0040055083573223
290,0.0040690967217995
291,0.0040766471978899
292,0.0040279298791345
293,0.0039230782721043
294,0.0037626057667377
295,0.0035474138060098
296,0.0032787942805542
297,0.0029584364281281
298,0.0025884306348968
299,0.0021712542214065
300,0.001709747757639
301,0.0012070874885505
302,0.0006667528373072
303,9.24951547374812e-05
304,-0.0005117008866589
305,-0.0011416739977863
306,-0.0017931510846681
307,-0.0024618119095272
308,-0.0031433476291215
309,-0.0038335026342329
310,-0.0045281055736616
311,-0.0052230995546297
312,-0.0059145681233993
313,-0.0065987572046297
314,-0.0072720933748422
315,-0.0079311936447482
316,-0.008572873721761
317,-0.0091941624553176
318,-0.0097923173224074
319,-0.010364838056076
320,-0.0109094756739583
321,-0.0114242304091247
322,-0.011907343602358
323,-0.0123572909058533
324,-0.0127727737858268
325,-0.0131527093945165
326,-0.013496220189745
327,-0.0138026202880095
328,-0.0140714046576866
329,-0.0143022479277996
330,-0.0144950065736829
331,-0.0146497202257741
332,-0.0147666107409388
333,-0.0148460734847888
334,-0.0148886658871548
335,-0.0148951012617285
336,-0.0148662419727846
337,-0.014803089686646
338,-0.0147067764638796
339,-0.014578555073841
340,-0.0144197974293221
341,-0.0142320110572984
342,-0.0140168626600036
343,-0.0137761994437203
344,-0.013512065267458
345,-0.0132267024421006
346,-0.0129225452898789
347,-0.0126022162110987
348,-0.0122685131611223
349,-0.0119243831679112
350,-0.011572886165518
351,-0.0112171459268785
352,-0.010860303119369
353,-0.010505487191036
354,-0.0101557918296484
355,-0.0098142423665354
356,-0.0094837514554129
357,-0.0091670508789945
358,-0.008866615056352
359,-0.0085845986684468
360,-0.008322777933497
361,-0.0080824939445014
362,-0.0078646055269407
363,-0.0076694466393217
364,-0.0074968128025962
365,-0.007346001030894
366,-0.0072158808856579
367,-0.0071049793415985
368,-0.0070115667545821
369,-0.0069337185732998
370,-0.0068693708058964
371,-0.0068163947093458
372,-0.0067726719650031
373,-0.006736164964551
374,-0.0067049805976779
375,-0.0066774090983513
376,-0.0066519667483264
377,-0.0066274703644901
378,-0.006603112559895
379,-0.006578518412327
380,-0.0065537634592986
381,-0.0065293188400221
382,-0.0065059576641339
383,-0.0064846661639927
384,-0.0064665479169304
385,-0.0064527296404869
386,-0.0064442710259869
387,-0.0064420578524527
388,-0.0064467252867055
389,-0.0064586526336267
390,-0.0064779963489396
391,-0.0065047438752788
392,-0.0065387558855174
393,-0.0065797457835321
394,-0.0066272393591655
395,-0.0066805639325742
396,-0.0067388507702236
397,-0.0068010610476178
398,-0.0068660186621776
399,-0.0069324041851046
400,-0.0069987599605205
401,-0.0070635456712322
402,-0.0071252020654653
403,-0.0071822078289096
404,-0.0072330795025285
405,-0.0072762476181786
406,-0.0073098749216304
407,-0.0073316882745836
408,-0.0073388284982203
409,-0.0073277581530598
410,-0.0072942090463633
411,-0.0072331165071049
412,-0.0071386096987062
413,-0.0070041061430369
414,-0.0068224776216372
415,-0.0065862882832801
416,-0.0062880342970122
417,-0.0059202964556015
418,-0.005475875689772
