,Volt
0,0.0052906016323441
1,0.005265608488684
2,0.0052488907133403
3,0.0052408749791315
4,0.0052414697088531
5,0.0052500804583876
6,0.0052656571124793
7,0.005286757365777
8,0.0053116202322389
9,0.0053382361783178
10,0.0053644209111723
11,0.0053879057110794
12,0.0054064322230716
13,0.0054178446446664
14,0.0054201763396773
15,0.0054117202587169
16,0.0053910949905723
17,0.0053573185132165
18,0.0053098757371535
19,0.0052487704317701
20,0.005174548961335
21,0.0050882790483181
22,0.004991497912485
23,0.0048861479676972
24,0.0047745017748808
25,0.0046590851254686
26,0.004542595435745
27,0.0044278052036672
28,0.0043174658826289
29,0.0042142243036015
30,0.0041205494661758
31,0.0040386739494716
32,0.0039705386842864
33,0.0039177269252974
34,0.00388140187367
35,0.0038622608964405
36,0.0038605129859289
37,0.0038758914819271
38,0.0039076909031053
39,0.0039548106511537
40,0.0040158091229939
41,0.0040889663564353
42,0.0041723527344076
43,0.0042639086531872
44,0.0043615200049292
45,0.0044630746453233
46,0.0045665063457552
47,0.0046698293642397
48,0.0047711712514116
49,0.0048688163475039
50,0.0049612489035359
51,0.0050471827432647
52,0.0051255778939598
53,0.0051956398964694
54,0.005256806916736
55,0.0053087362737815
56,0.0053512837256824
57,0.0053844708933549
58,0.0054084468927477
59,0.0054234453170097
60,0.0054297469627816
61,0.0054276608974206
62,0.0054175166136585
63,0.0053996597010987
64,0.0053744486419207
65,0.0053422457905492
66,0.0053034074565676
67,0.0052582819346407
68,0.0052072106292709
69,0.0051505297286907
70,0.0050885728109546
71,0.005021670368719
72,0.0049501520180985
73,0.0048743581261684
74,0.0047946550061751
75,0.0047114492073683
76,0.0046251970606088
77,0.0045364029233843
78,0.0044456104988924
79,0.0043533939450425
80,0.0042603475004394
81,0.0041670746811153
82,0.0040741771117766
83,0.0039822399039915
84,0.0038918182328803
85,0.0038034298053174
86,0.0037175508385154
87,0.0036346145676782
88,0.0035550097505589
89,0.0034790748317344
90,0.0034070907858443
91,0.0033392764969738
92,0.0032757863788385
93,0.0032167114102127
