,Volt
0,-0.0064692732329665
1,-0.0064863146260426
2,-0.0064378145985058
3,-0.0063235207673782
4,-0.0061449387876143
5,-0.0059052727541725
6,-0.0056092740429995
7,-0.0052630462672643
8,-0.0048738206362588
9,-0.0044497381821905
10,-0.003999621521718
11,-0.0035326994906192
12,-0.003058324209722
13,-0.0025857063159279
14,-0.0021236700126403
15,-0.0016804520269868
16,-0.0012635089949549
17,-0.0008792935416256
18,-0.000533042193895
19,-0.0002286082733469
20,3.163131107716741e-05
21,0.0002467510265214
22,0.0004171717979248
23,0.0005445297360864
24,0.0006315137943297
25,0.0006816872060362
26,0.0006992932947297
27,0.0006890229927577
28,0.0006557905340152
29,0.0006045591191133
30,0.0005402003035838
31,0.0004673853162627
32,0.0003904802539569
33,0.0003134039352728
34,0.0002394861236534
35,0.0001713662904937
36,0.000110938168417
37,5.936133661815296e-05
38,1.7118204028488397e-05
39,-1.5925152948106793e-05
40,-4.043553075029314e-05
41,-5.749755497159071e-05
42,-6.848277436617628e-05
43,-7.4900498842188e-05
44,-7.826725040144594e-05
45,-8.003641518445583e-05
46,-8.156466955841049e-05
47,-8.409422751616893e-05
48,-8.873840378170382e-05
49,-9.644292403321797e-05
50,-0.0001079438711412
51,-0.0001237541638655
52,-0.0001441657013233
53,-0.0001692643174847
54,-0.0001989543721259
55,-0.0002329736554192
56,-0.0002709192719874
57,-0.0003123056719197
58,-0.0003566348301219
59,-0.0004034664266974
60,-0.0004524697838674
61,-0.0005034305190915
62,-0.0005562304734951
63,-0.0006108255413574
64,-0.000667220034381
65,-0.000725446551007
66,-0.000785547407973
67,-0.0008475418538576
68,-0.0009113970435569
69,-0.0009770181963318
70,-0.0010442501643172
71,-0.0011128906054415
72,-0.0011827010505318
73,-0.0012533962905013
74,-0.001324626965233
75,-0.0013959709586502
76,-0.0014669356737396
77,-0.001536980682511
78,-0.0016055518417605
79,-0.001672109750919
80,-0.0017361603358497
81,-0.001797291467393
82,-0.0018552098780871
83,-0.0019097802920865
84,-0.0019610532523504
85,-0.0020092659903242
86,-0.0020548262904905
87,-0.0020982884061442
88,-0.0021403261586586
89,-0.0021817144535201
90,-0.0022233124228831
91,-0.0022660368733986
92,-0.0023108322159038
93,-0.0023586392321321
94,-0.0024103637476448
95,-0.0024668523245251
96,-0.0025288673526031
97,-0.0025970532813737
98,-0.0026719019286271
99,-0.0027537220709301
100,-0.0028426196023569
101,-0.0029384979749334
102,-0.0030410719567081
103,-0.0031498850481218
104,-0.0032643312586772
105,-0.0033836781747439
106,-0.0035070918191301
107,-0.0036336682515925
108,-0.0037624645984759
109,-0.0038925228374909
110,-0.0040228890591084
111,-0.0041526282864164
112,-0.0042808392157953
113,-0.0044066756130247
114,-0.0045293687664467
115,-0.0046482448218444
116,-0.0047627363275883
117,-0.0048723848120579
118,-0.0049768370648619
119,-0.0050758409174827
120,-0.0051692377841266
121,-0.0052569503255758
122,-0.0053389674904715
123,-0.0054153267465832
124,-0.0054860979571326
125,-0.0055513743581643
126,-0.0056112678459067
127,-0.00566590579977
128,-0.0057154284181254
129,-0.0057599836288033
130,-0.0057997215491276
131,-0.0058347920776119
132,-0.0058653440648511
133,-0.0058915253105297
134,-0.0059134835320167
135,-0.0059313667570233
136,-0.0059453248813023
137,-0.0059555146189745
138,-0.0059621060403702
139,-0.0059652892485846
140,-0.0059652801033593
141,-0.0059623229615345
142,-0.005956691245595
143,-0.0059486874920855
144,-0.0059386423746222
145,-0.0059269126767504
146,-0.0059138783845214
147,-0.0058999382656696
148,-0.0058855046323125
149,-0.0058709983383912
150,-0.0058568436372588
151,-0.0058434626276311
152,-0.0058312694817117
153,-0.0058206641861464
154,-0.0058120258385652
155,-0.0058057059821125
156,-0.0058020217787474
157,-0.0058012487894642
158,-0.0058036141286186
159,-0.0058092905895801
160,-0.0058183917470968
161,-0.0058309684926568
162,-0.0058470070915429
163,-0.0058664284563658
164,-0.005889089635754
165,-0.0059147882231978
166,-0.0059432688277259
167,-0.0059742310848385
168,-0.0060073383089069
169,-0.0060422254717434
170,-0.0060785073272945
171,-0.0061157876209064
172,-0.0061536687196153
173,-0.0061917616359605
174,-0.0062296958966069
175,-0.0062671280132348
176,-0.0063037496109945
177,-0.0063392960505998
178,-0.0063735542659846
179,-0.0064063691770909
180,-0.0064376473803567
181,-0.0064673564102751
182,-0.006495521059101
183,-0.0065222185184814
184,-0.0065475724039506
185,-0.0065717465629327
186,-0.0065949384799851
187,-0.0066173712556502
188,-0.0066392858488275
189,-0.006660934938038
190,-0.0066825777892446
191,-0.0067044761894876
192,-0.0067268902629154
193,-0.0067500725098345
194,-0.0067742615679401
195,-0.0067996772206938
196,-0.006826516843818
197,-0.0068549541847006
198,-0.0068851396419449
199,-0.0069172004166965
200,-0.0069512414067406
201,-0.0069873473018237
202,-0.0070255851988621
203,-0.0070660078066443
204,-0.0071086557918374
205,-0.0071535575967715
206,-0.0072007278137543
207,-0.0072501651613151
208,-0.0073018505889322
209,-0.0073557466620589
210,-0.0074117975413511
211,-0.0074699283657947
212,-0.0075300446757375
213,-0.0075920321381573
214,-0.0076557566684737
215,-0.0077210656027955
216,-0.0077877890725719
217,-0.00785574068302
218,-0.0079247180936353
219,-0.0079945038705261
220,-0.008064867323008
221,-0.0081355682420907
222,-0.0082063617995282
223,-0.0082770036974531
224,-0.0083472551653661
225,-0.0084168871536566
226,-0.008485684111057
227,-0.0085534479619251
228,-0.0086200018947597
229,-0.0086851938049311
230,-0.0087488989109589
231,-0.0088110208604106
232,-0.0088714920220926
233,-0.0089302734103186
234,-0.0089873540605689
235,-0.0090427500350241
236,-0.0090965018416432
237,-0.0091486692540277
238,-0.0091993247358619
239,-0.0092485463323934
240,-0.0092964113170295
241,-0.0093429922744519
242,-0.0093883541168778
243,-0.0094325505173353
244,-0.0094756203156453
245,-0.0095175834469873
246,-0.0095584376301508
247,-0.0095981578894245
248,-0.009636696742504
249,-0.0096739837475143
250,-0.0097099257656557
251,-0.0097444079050765
252,-0.0097772981469749
253,-0.0098084588333957
254,-0.0098377612909987
255,-0.0098651003030817
256,-0.0098904068633609
257,-0.0099136558374143
258,-0.0099348709922808
259,-0.0099541310968959
260,-0.009971573700741
261,-0.0099873952962938
262,-0.0100018480672797
263,-0.0100152310018649
264,-0.0100278807559937
265,-0.0100401674808348
266,-0.0100524907762125
267,-0.0100652727878579
268,-0.0100789452614084
269,-0.0100939251842266
270,-0.0101105856982286
271,-0.0101292303758898
272,-0.0101500696219311
273,-0.0101732014384463
274,-0.0101985965031043
275,-0.0102260835738813
276,-0.0102553437116404
277,-0.0102859202163661
278,-0.0103172389333334
279,-0.0103486365562579
280,-0.0103793896937997
281,-0.0104087346667554
282,-0.0104358858164436
283,-0.0104600604477594
284,-0.0104805086861125
285,-0.0104965511470815
286,-0.0105076186975495
287,-0.0105132837012538
288,-0.0105132898004852
289,-0.0105075844903975
290,-0.0104963477690456
291,-0.0104800156783694
292,-0.0104592877202817
293,-0.0104351053658535
294,-0.0104086128322346
295,-0.0103811111836683
296,-0.010354009139142
297,-0.0103287802622094
298,-0.0103069212704819
299,-0.0102899011093672
300,-0.010279111560491
301,-0.0102758256910196
302,-0.0102811622531706
303,-0.0102960609125405
304,-0.0103212570313623
