,Volt
0,-0.0121108253510118
1,-0.0121915822430901
2,-0.0121708819808877
3,-0.0120472893909756
4,-0.0118226215366519
5,-0.0115018505340533
6,-0.0110928312641795
7,-0.0106059456801018
8,-0.0100536877787671
9,-0.0094502537434829
10,-0.008811108426799
11,-0.0081524626323935
12,-0.0074907354867034
13,-0.0068420528417874
14,-0.006221784767052
15,-0.0056441647642112
16,-0.005121927933004
17,-0.0046658966856275
18,-0.004284591202401
19,-0.003983925204273
20,-0.0037670399586299
21,-0.0036343556967775
22,-0.0035837725230912
23,-0.003610925769009
24,-0.0037095004087322
25,-0.0038715755813757
26,-0.0040880003007731
27,-0.0043488410823799
28,-0.004643821408222
29,-0.0049626817566719
30,-0.0052954817713398
31,-0.0056328406746172
32,-0.0059661646651239
33,-0.0062879301991569
34,-0.0065919578187879
35,-0.0068736096507683
36,-0.0071298926353932
37,-0.0073594245291074
38,-0.0075623047070378
39,-0.007739963502997
40,-0.007894967298402
41,-0.0080307751523108
42,-0.0081514656842968
43,-0.008261422620598
44,-0.0083650425274471
45,-0.008466531847145
46,-0.0085697635254907
47,-0.0086781720485021
48,-0.0087946601229081
49,-0.0089214690417997
50,-0.0090600537088465
51,-0.0092110153435272
52,-0.0093740858767524
53,-0.0095481743556521
54,-0.0097314577751331
55,-0.0099214734880163
56,-0.0101152379593664
57,-0.0103094113145438
58,-0.0105004842547715
59,-0.0106849804233519
60,-0.0108596353546496
61,-0.0110215050155964
62,-0.0111680281855418
63,-0.0112970688655178
64,-0.0114069483930242
65,-0.0114964920507707
66,-0.0115650701948818
67,-0.0116126011341327
68,-0.0116395295476909
69,-0.0116467863463312
70,-0.0116357337537798
71,-0.0116081148687093
72,-0.0115659889629496
73,-0.0115116328516746
74,-0.0114474275869245
75,-0.0113757428788437
76,-0.0112988393539753
77,-0.0112188160612115
78,-0.0111375866777311
79,-0.0110568627935135
80,-0.0109781431558999
81,-0.0109026985374064
82,-0.0108315601828006
83,-0.0107655296687537
84,-0.0107051961871661
85,-0.0106509507050107
86,-0.0106029996490221
87,-0.0105613720694535
88,-0.0105259338288604
89,-0.0104964253046231
90,-0.0104725079060623
91,-0.0104538068202716
92,-0.0104399413458241
93,-0.0104305280326424
94,-0.0104251682077173
95,-0.0104234372695193
96,-0.0104248721969038
97,-0.0104289595862992
98,-0.010435123945219
99,-0.0104427080112551
100,-0.0104509587191813
101,-0.0104590316265849
102,-0.0104660065102551
103,-0.0104709112759607
104,-0.0104727447082439
105,-0.010470483898543
106,-0.0104630873080389
107,-0.0104495058433751
108,-0.0104287014102992
109,-0.0103996779542506
110,-0.0103615186551099
111,-0.0103134163343345
112,-0.010254704454457
113,-0.0101848934160003
114,-0.0101037057484481
115,-0.0100111098029326
116,-0.0099073406251123
117,-0.009792894451433
118,-0.009668506646557
119,-0.0095351228780623
120,-0.0093938668726424
121,-0.0092460138953674
122,-0.009092964815908
123,-0.0089362108319951
124,-0.0087772968811263
125,-0.0086177883061285
126,-0.0084592397469071
127,-0.0083031710126733
128,-0.0081510416202429
129,-0.0080042141730298
130,-0.0078639161497014
131,-0.0077312076891732
132,-0.0076069598052201
133,-0.0074918519705717
134,-0.0073863818437085
135,-0.0072908758302938
136,-0.0072055043623951
137,-0.0071303016963446
138,-0.0070651878843138
139,-0.0070099962654827
140,-0.0069644965314439
141,-0.0069284030090881
142,-0.0069013751678911
143,-0.0068830153090281
144,-0.0068728677883882
145,-0.0068704286712657
146,-0.0068751593711968
147,-0.0068864949966275
148,-0.0069038516447941
149,-0.006926633032216
150,-0.0069542367095941
151,-0.0069860653497774
152,-0.0070215354827637
153,-0.0070600759134745
154,-0.0071011230033183
155,-0.0071441171921475
156,-0.0071885055051989
157,-0.0072337584634847
158,-0.0072793941361637
159,-0.007324999459807
160,-0.0073702510733656
161,-0.0074149338315036
162,-0.0074589560768218
163,-0.0075023658706665
164,-0.0075453595047451
165,-0.0075882740669276
166,-0.0076315702251109
167,-0.0076758088963545
168,-0.0077216269806245
169,-0.0077697211991799
170,-0.0078208340205896
171,-0.0078757337747031
172,-0.0079351925390432
173,-0.0079999615015985
174,-0.0080707455403225
175,-0.0081481835925035
176,-0.0082328282465282
177,-0.0083251184875763
178,-0.0084253525139526
179,-0.0085336643017922
180,-0.0086500096893881
181,-0.0087741708392848
182,-0.0089057718613489
183,-0.0090442963902464
184,-0.0091891084644755
185,-0.0093394737676985
186,-0.0094945812771706
187,-0.0096535701354108
188,-0.0098155531718758
189,-0.0099796294909521
190,-0.0101448911710098
191,-0.0103104260859897
192,-0.0104753223020658
193,-0.0106386828164354
194,-0.0107996436058323
195,-0.0109573867838207
196,-0.011111150642764
197,-0.0112602343316327
198,-0.0114039995997792
199,-0.0115418766768353
200,-0.0116733675942709
201,-0.0117980415384561
202,-0.0119155279023437
203,-0.0120255089864652
204,-0.0121277189412286
205,-0.0122219580296118
206,-0.012308114438094
207,-0.0123861847830848
208,-0.0124562928944539
209,-0.0125187021615247
210,-0.0125738231580285
211,-0.0126222226466215
212,-0.0126646263615894
213,-0.0127019098551972
214,-0.0127350810187925
215,-0.0127652544277319
216,-0.0127936243880256
217,-0.0128214458618456
218,-0.0128500168130657
219,-0.0128806555583774
220,-0.0129146728016615
221,-0.012953334504141
222,-0.0129978207084649
223,-0.0130491891822737
224,-0.0131083404299576
225,-0.0131759826718162
226,-0.0132526002801472
227,-0.0133384253216877
228,-0.0134334196011641
229,-0.0135372753902079
230,-0.0136494295986684
231,-0.013769086329445
232,-0.0138952445155215
233,-0.0140267242954113
234,-0.0141621950635765
235,-0.0143002104068331
236,-0.0144392466828141
237,-0.0145777436607803
238,-0.0147141455462109
239,-0.0148469379620962
240,-0.0149746834571193
241,-0.015096058390742
242,-0.0152098879365433
243,-0.0153151770503455
244,-0.0154111335399082
245,-0.015497178610187
246,-0.015572947012904
247,-0.0156382799587916
248,-0.0156932127418726
249,-0.0157379598274591
250,-0.0157728963020588
251,-0.0157985338175662
252,-0.0158154915058163
253,-0.0158244622546842
254,-0.0158261776438023
255,-0.0158213752208936
256,-0.0158107685593909
257,-0.0157950213466997
258,-0.0157747248060352
259,-0.0157503769813209
260,-0.0157223683319605
261,-0.0156909762250306
262,-0.0156563675559558
263,-0.015618610277723
264,-0.0155776875601829
265,-0.0155335086478649
266,-0.015485921685276
267,-0.015434731881208
268,-0.0153797282583248
269,-0.0153207243446991
270,-0.0152576037231737
271,-0.0151903600196862
272,-0.0151191322573646
273,-0.0150442321676385
274,-0.0149661638815513
275,-0.0148856411282716
276,-0.0148035902840961
277,-0.0147211304920731
278,-0.014639537506217
279,-0.0145601938038508
280,-0.0144845363460926
281,-0.0144140164209548
282,-0.0143500604230066
283,-0.014294020868437
284,-0.0142471184816003
285,-0.0142103699075006
286,-0.0141845118027964
287,-0.0141699383782518
288,-0.0141666440869809
289,-0.0141741681535638
290,-0.0141915488847172
291,-0.0142172873150546
292,-0.014249337914884
293,-0.0142851449507201
294,-0.0143217090616844
295,-0.0143556701318165
296,-0.0143833976614105
297,-0.0144010714626121
298,-0.0144047626098646
299,-0.0143905302810959
300,-0.0143545221241652
301,-0.0142930729490089
302,-0.0142027988826429
303,-0.0140806742833724
304,-0.0139241060544255
305,-0.0137310200261247
306,-0.0134999423360622
307,-0.0132300646834713
308,-0.012921280266134
309,-0.0125741707259825
310,-0.0121899608459804
311,-0.0117704630574115
312,-0.0113180097753035
313,-0.0108353807860996
314,-0.0103257255546728
