,Volt
0,-0.0081884145802154
1,-0.0079525814633339
2,-0.0077447267274895
3,-0.0075691672083334
4,-0.007426731224035
5,-0.0073148576722893
6,-0.0072279129795445
7,-0.0071575830479576
8,-0.0070933440486297
9,-0.0070229618372391
10,-0.0069330271077271
11,-0.0068095946972424
12,-0.0066388057602267
13,-0.0064073879365317
14,-0.0061030681100108
15,-0.0057148898812832
16,-0.0052335142102674
17,-0.0046516127795503
18,-0.0039642514162256
19,-0.0031691601200059
20,-0.0022668637174104
21,-0.0012606053367057
22,-0.0001561285832309
23,0.0010385651986527
24,0.0023135258118676
25,0.0036572400522045
26,0.005057061130961
27,0.0064996982991038
28,0.0079716648582257
29,0.0094595751798052
30,0.0109503464977387
31,0.0124313487043337
32,0.0138905428149219
33,0.0153166864958914
34,0.0166995431317401
35,0.0180300071306575
36,0.0193001669960625
37,0.0205032993181307
38,0.0216338128537463
39,0.0226872051523688
40,0.023659981445619
41,0.0245494899946997
42,0.0253537208559026
43,0.0260710896825745
44,0.0267002639121989
45,0.0272401078172371
46,0.0276896987517198
47,0.0280483568399473
48,0.0283156815034496
49,0.0284915608266537
50,0.0285761746644352
51,0.028570040160332
52,0.0284740618053438
53,0.0282895584146575
54,0.0280182756306091
55,0.0276623691129831
56,0.0272243941012049
57,0.026707346413474
58,0.0261147196087981
59,0.0254505470616949
60,0.0247194102295756
61,0.0239263787664839
62,0.023076909416553
63,0.0221767460344459
64,0.0212318141148262
65,0.0202481151628665
66,0.0192316214567075
67,0.0181881544098995
68,0.0171232756484847
69,0.0160422190980986
70,0.0149498535001586
71,0.013850672272438
72,0.0127487908806184
73,0.0116479242645117
74,0.0105513633470303
75,0.0094619714801757
76,0.0083822075220429
77,0.0073141891205172
78,0.0062597782348363
79,0.0052206624074313
80,0.0041984337901587
81,0.0031946619830019
82,0.0022109624048858
83,0.0012490704837762
84,0.0003109004182921
85,-0.0006014286466059
86,-0.0014855947132841
87,-0.0023391050707116
88,-0.003159336364088
89,-0.0039435591312114
90,-0.0046889656893528
91,-0.0053927161743273
92,-0.0060520157575923
93,-0.0066642422793833
94,-0.0072270951761186
95,-0.0077387315255521
96,-0.0081978883202236
97,-0.0086039776264067
98,-0.0089571604744141
99,-0.0092584185420062
100,-0.0095095896206089
101,-0.0097133431921474
102,-0.0098731084960345
103,-0.0099929540915303
104,-0.0100774569875177
105,-0.0101316041634546
106,-0.0101606921018974
107,-0.0101701960487392
108,-0.0101655979634956
109,-0.0101521459753797
110,-0.0101345884454828
111,-0.0101169401277826
112,-0.0101022674180442
113,-0.0100924994170065
114,-0.0100882735177119
115,-0.0100887983462788
116,-0.0100917924703611
117,-0.0100935502936809
118,-0.0100890979205922
119,-0.0100724156956912
120,-0.0100366819675488
121,-0.0099744736076869
122,-0.0098779680639228
123,-0.0097391971936075
124,-0.0095503391377544
125,-0.0093040602652442
126,-0.0089938694489818
127,-0.0086144177796933
128,-0.0081617806163663
129,-0.007633743880087
130,-0.0070300566956159
131,-0.0063526431506259
132,-0.00560570517147
133,-0.0047956415962326
134,-0.0039308422208497
135,-0.0030214149077554
136,-0.0020788756879428
137,-0.0011158632042965
138,-0.0001458439578027
139,0.0008172486499488
140,0.0017593940627366
141,0.0026668592815887
142,0.003526557379478
143,0.0043263442986558
144,0.0050553044253458
145,0.0057040766005606
146,0.0062651616050097
147,0.0067331717222247
148,0.0071049731397008
149,0.0073796515264175
150,0.0075583584046155
151,0.0076441136123351
152,0.0076415639378108
153,0.0075567282128866
154,0.0073967227991851
155,0.0071694284181961
156,0.0068831626135475
157,0.0065464121763525
158,0.0061676074031905
159,0.0057549441665334
160,0.005316211185102
161,0.0048585632596367
162,0.0043882959903515
163,0.0039106773573312
164,0.0034298501958293
165,0.0029488427785905
166,0.0024696527914766
167,0.0019933424873492
168,0.0015201682055689
169,0.0010497510937957
170,0.0005812701731256
171,0.0001136861325414
