,Volt
0,-0.021990743409561
1,-0.0220858975584719
2,-0.0218532739837273
3,-0.0212912962096405
4,-0.0204070582706489
5,-0.019216042413489
6,-0.0177413912964187
7,-0.0160129714434315
8,-0.0140662874383643
9,-0.0119414132642714
10,-0.009681867248974
11,-0.0073332600927536
12,-0.0049419124919135
13,-0.0025535774881157
14,-0.0002122662795237
15,0.002040719354442
16,0.0041677139462032
17,0.0061357668802935
18,0.007917667205281
19,0.0094927498387873
20,0.0108473564360726
21,0.0119747499397166
22,0.0128746559703106
23,0.0135526807934153
24,0.0140195771613166
25,0.0142904164318814
26,0.0143836789232015
27,0.014320166783971
28,0.0141219532660691
29,0.0138115667897472
30,0.0134113332496471
31,0.0129428605425765
32,0.012426545111254
33,0.0118809176871082
34,0.0113219933919145
35,0.0107628082156083
36,0.0102131605139314
37,0.0096796444536087
38,0.0091658864928737
39,0.0086728066235834
40,0.0081989842916641
41,0.0077411713081566
42,0.007294881922537
43,0.0068550648961719
44,0.0064167038221804
45,0.0059751690526
46,0.005526412402233
47,0.0050670894420111
48,0.0045946570657733
49,0.0041075544647317
50,0.0036053850995874
51,0.0030889715331038
52,0.0025603288045532
53,0.0020225668792886
54,0.0014797369885959
55,0.0009366988226522
56,0.0003989381912121
57,-0.0001277386631687
58,-0.0006375638296647
59,-0.0011251763911991
60,-0.0015859311795912
61,-0.0020160477369703
62,-0.002412655620907
63,-0.0027738131739656
64,-0.0030984992295509
65,-0.0033866096046634
66,-0.0036389383644079
67,-0.0038570871665548
68,-0.0040433491870393
69,-0.0042006078874465
70,-0.0043322384728651
71,-0.0044420253157594
72,-0.0045340607340111
73,-0.0046125764713204
74,-0.0046817473579688
75,-0.0047455064000334
76,-0.0048073906080058
77,-0.0048704534296318
78,-0.004937222867245
79,-0.0050096664187532
80,-0.0050891728225602
81,-0.0051765509532966
82,-0.0052720466686064
83,-0.0053753944717
84,-0.0054858805762722
85,-0.0056023919769011
86,-0.0057234598666627
87,-0.0058472990289385
88,-0.0059718564575325
89,-0.0060948894744341
90,-0.0062140558924881
91,-0.0063269963247568
92,-0.0064314016701741
93,-0.0065250529307439
94,-0.0066058434499487
95,-0.0066718015020661
96,-0.006721108455098
97,-0.0067521118819505
98,-0.0067633326338153
99,-0.0067534577964518
100,-0.0067213328796385
101,-0.0066659660695177
102,-0.0065865389648333
103,-0.0064824225562524
104,-0.0063531879286548
105,-0.0061985978259554
106,-0.0060185919303857
107,-0.0058132788367552
108,-0.0055829382214425
109,-0.0053280420176715
110,-0.0050492847312555
111,-0.0047476068470847
112,-0.0044242173275962
113,-0.0040806165224454
114,-0.0037186155764955
115,-0.0033403560330427
116,-0.0029483150027846
117,-0.002545280829204
118,-0.0021343101269764
119,-0.0017186745135064
120,-0.0013018048757035
121,-0.0008872474093716
122,-0.0004786218309018
123,-7.95682447145806e-05
124,0.0003063107744857
125,0.0006755120822838
126,0.0010246950993674
127,0.001350735329427
128,0.0016507784542919
129,0.0019223049282505
130,0.0021631931344651
131,0.0023717740783993
132,0.0025468683887443
133,0.0026877911791167
134,0.0027943355783334
135,0.0028667497263482
136,0.0029057046075794
137,0.0029122566249578
138,0.0028878063006338
139,0.0028340466157634
140,0.0027529138888605
141,0.0026465538323508
142,0.0025172946672196
143,0.0023676231190378
144,0.0022001580738599
145,0.0020176104698483
146,0.0018227383702056
147,0.0016183096930105
148,0.0014070672980854
149,0.001191696475862
150,0.0009747964507956
151,0.0007588498088034
152,0.0005461996712381
153,0.0003390455838871
154,0.0001394468550467
155,-5.067465662791638e-05
156,-0.000229535196801
157,-0.000395503092296
158,-0.0005471185688068
159,-0.0006831062664337
160,-0.0008023898174298
161,-0.0009041123495926
162,-0.0009876552447681
163,-0.0010526562226611
164,-0.0010990137011346
165,-0.0011268612335887
166,-0.0011365282848853
167,-0.0011285023862977
168,-0.001103393101271
169,-0.0010619086439322
170,-0.0010048391536685
171,-0.0009330317853407
172,-0.0008473767043545
173,-0.0007488162273894
174,-0.0006383651131478
175,-0.0005171408763407
176,-0.0003863840245584
177,-0.0002474422194433
178,-0.0001017421779224
179,4.922858207083764e-05
180,0.0002039320577805
181,0.0003607693548459
182,0.0005180649158887
183,0.0006740739556473
184,0.0008269881111086
185,0.0009749246644585
186,0.0011159174931473
187,0.0012479101042981
188,0.0013687836981292
189,0.0014764584990211
190,0.0015690287596791
191,0.0016448941072331
192,0.0017028764713219
193,0.0017422906564986
194,0.0017629879635707
195,0.0017654094525347
196,0.0017506108716761
197,0.0017202390907291
198,0.0016764714943824
199,0.0016219061460163
200,0.0015594513735849
201,0.0014922686195518
202,0.0014237222374876
203,0.0013573009618043
204,0.0012964944497072
205,0.0012445846055244
206,0.0012044021321508
207,0.0011781184680673
208,0.0011670512228159
209,0.0011714870664273
210,0.0011905369528228
211,0.0012220037038145
212,0.0012623320077011
213,0.0013067070980416
214,0.0013492495150328
215,0.0013832690107016
216,0.0014015328263587
217,0.0013964742883514
218,0.001360391854006
219,0.0012857029296769
220,0.0011652201389676
221,0.0009924501075575
222,0.0007618909155896
223,0.0004692647594657
224,0.000111742768069
225,-0.0003117896415138
226,-0.0008004878231819
227,-0.0013513526661035
228,-0.0019591484586272
229,-0.0026165193436389
230,-0.0033142312313874
231,-0.0040414531508321
232,-0.0047860752490505
233,-0.0055350193314112
234,-0.0062745554092484
235,-0.0069906790215297
236,-0.0076694687332875
237,-0.0082973607505705
238,-0.0088613716034272
239,-0.0093492641822974
240,-0.0097497179783255
241,-0.0100525875382967
242,-0.0102491714478036
243,-0.0103324152802207
244,-0.0102970403398359
245,-0.0101395513951165
246,-0.0098581680934495
247,-0.0094527663662539
248,-0.0089247784071573
249,-0.0082770242176486
250,-0.0075135162861561
251,-0.0066392351712314
252,-0.0056599571540495
253,-0.0045822292349065
254,-0.0034134199042837
255,-0.0021617777161224
256,-0.0008364755443429
257,0.0005524243939792
258,0.0019940439634264
259,0.0034767249338015
260,0.0049880854265109
261,0.0065151272720622
262,0.0080443777748323
263,0.0095620924550239
264,0.0110544469599036
265,0.0125076345896539
266,0.0139079382336463
267,0.0152418311145459
268,0.0164961323658748
269,0.0176582794899442
270,0.0187166558280673
271,0.0196608794031134
272,0.0204820827753896
273,0.021173182232891
274,0.0217291141579013
275,0.0221470619356179
276,0.0224265919550139
277,0.022569615394814
278,0.0225802351877621
279,0.022464523296791
280,0.0222302703621614
281,0.0218867858423919
282,0.021444701599905
283,0.0209157101144642
284,0.0203122748204114
285,0.0196473202056118
286,0.0189339160266505
287,0.0181850104745312
288,0.0174131601970244
289,0.0166302058733798
290,0.0158469506074409
291,0.0150728750209013
292,0.0143159380572632
293,0.0135825358403243
294,0.0128775647789678
295,0.0122045176520098
296,0.0115656170595681
297,0.0109619602806868
298,0.0103936787724959
299,0.0098601495108824
300,0.0093601996226217
301,0.0088922521668758
302,0.008454436834613
303,0.0080446683740769
304,0.0076607280395744
305,0.0073004027931448
306,0.0069616373880109
307,0.0066426492117847
308,0.006342003962016
309,0.0060586290735857
310,0.0057917848442584
311,0.0055410392233997
312,0.0053062206972171
313,0.00508733201422
314,0.004884446263118
315,0.0046975869837177
316,0.0045266285883151
317,0.0043712629289658
318,0.0042310060068178
319,0.0041052171335591
320,0.0039931235858668
321,0.0038938270078948
322,0.0038063054688736
323,0.0037294401415445
324,0.003662049079394
325,0.0036029169877416
326,0.0035508246518571
327,0.0035045677678684
328,0.0034629817522994
329,0.0034249945036088
330,0.0033896901847689
331,0.0033563690917613
332,0.0033245954774793
333,0.0032942166337401
334,0.003265362033334
335,0.0032384394386492
336,0.0032141227328502
337,0.0031933307044979
338,0.0031771986732676
339,0.0031670373103335
340,0.0031642880594397
341,0.0031704868329756
342,0.0031872314314295
343,0.0032161496938445
344,0.0032588661139455
345,0.0033169605429405
346,0.0033919230374496
347,0.0034851118782232
348,0.0035977142854856
349,0.0037307106743605
350,0.0038848433552504
351,0.004060587913136
352,0.004258129064217
353,0.0044773438560595
354,0.00471779238529
355,0.0049787161819401
356,0.0052590446029736
357,0.005557408570745
358,0.0058721602252773
359,0.0062013973957054
360,0.0065429924412069
361,0.0068946242475078
362,0.007253812696913
363,0.0076179554523109
364,0.0079843640756007
365,0.0083502971704633
366,0.0087129917161952
367,0.0090696930069493
368,0.0094176845250158
369,0.0097543199738618
370,0.0100770546175116
371,0.0103834727035958
372,0.0106713115499845
373,0.0109384815538635
374,0.0111830824804922
375,0.0114034183132222
376,0.0115980082022584
377,0.0117655912717587
378,0.0119051282275262
379,0.0120158015432448
380,0.0120970160835428
381,0.0121484035004677
382,0.0121698281879165
383,0.0121613912723633
384,0.0121234339814757
385,0.0120565402951489
386,0.0119615373909637
387,0.0118394945824497
388,0.011691718100405
389,0.0115197383110947
390,0.0113252923537453
391,0.0111103050543582
392,0.0108768678285212
393,0.0106272175078293
394,0.0103637151090182
395,0.0100888223722679
396,0.0098050797292285
397,0.0095150888228664
398,0.009221496131873
399,0.0089269760467825
400,0.0086342118840739
401,0.0083458708982969
402,0.0080645769293527
403,0.0077928856055051
404,0.0075332584308919
405,0.0072880349600816
406,0.0070594049942608
407,0.0068493790062687
408,0.0066597632368603
409,0.0064921464786688
410,0.0063478910943182
411,0.0062281227781919
412,0.0061337180955559
413,0.006065284246715
414,0.0060231374177999
415,0.0060072897056904
416,0.0060174374178925
417,0.0060529479486447
418,0.0061128507932358
419,0.006195831671174
420,0.0063002415922075
421,0.0064241339842602
422,0.0065653160490313
423,0.0067214023608302
424,0.0068898672612903
425,0.0070680845025641
426,0.0072533620087697
427,0.0074429855610881
428,0.0076342565990984
429,0.007824516625269
430,0.008011163418852
431,0.008191654391203
432,0.0083635160422631
433,0.0085243805385443
434,0.0086720283450877
435,0.0088044205742508
436,0.0089197150749358
437,0.0090162490437681
438,0.0090925076217503
439,0.009147106603321
440,0.0091787737344287
441,0.0091863251945754
442,0.0091686451859591
443,0.0091246604008933
