,Volt
0,-0.0106343399828179
1,-0.0106340967618336
2,-0.0106229158014629
3,-0.010600779431124
4,-0.0105679193613373
5,-0.010524813399355
6,-0.0104721710512138
7,-0.0104109120640579
8,-0.0103421390638654
9,-0.0102671069591517
10,-0.0101871891897143
11,-0.0101038391403468
12,-0.0100185490024817
13,-0.0099328085653042
14,-0.0098480646496994
15,-0.0097656827208403
16,-0.00968691166935
17,-0.0096128516556639
18,-0.009544425781747
19,-0.0094823571468923
20,-0.0094271516440872
21,-0.009379086539843
22,-0.0093382073839847
23,-0.0093043345588776
24,-0.0092770775895553
25,-0.0092558572762899
26,-0.0092399339658235
27,-0.0092284388639923
28,-0.0092204133051659
29,-0.0092148584493399
30,-0.0092107894718855
31,-0.0092072913218437
32,-0.0092035677531818
33,-0.0091989739270787
34,-0.0091930410698677
35,-0.0091855005158271
36,-0.0091763048824736
37,-0.0091656503550861
38,-0.009153992072667
39,-0.009142040277981
40,-0.0091307499606543
41,-0.0091213109043166
42,-0.0091151309844738
43,-0.0091138142476352
44,-0.0091191157766063
45,-0.0091328547906514
46,-0.0091568090161772
47,-0.0091926100894413
48,-0.0092416504619974
49,-0.0093050232567574
50,-0.009383479831786
51,-0.0094773825627097
52,-0.0095866735548991
53,-0.0097108666927118
54,-0.0098490623874474
55,-0.0099999992083037
56,-0.0101621088032711
57,-0.0103335420150729
58,-0.0105121956541069
59,-0.0106957575726443
60,-0.0108817904278833
61,-0.0110678875932904
62,-0.0112518590110653
63,-0.0114318965188092
64,-0.0116067247274179
65,-0.0117757219714892
66,-0.0119390126631462
67,-0.0120975564460305
68,-0.0122531817554878
69,-0.0124085220401142
70,-0.0125668860360935
71,-0.0127320749314766
72,-0.0129081926268045
73,-0.0130995115316842
74,-0.0133103461532809
75,-0.0135448857212627
76,-0.0138069935290789
77,-0.0140999529756261
78,-0.0144261987275447
79,-0.0147871004302571
80,-0.0151827594599344
81,-0.0156117972731087
82,-0.0160711730864408
83,-0.0165560347132648
84,-0.0170596713928652
85,-0.0175736457393138
86,-0.0180880397420518
87,-0.0185917521692166
88,-0.0190728211851027
89,-0.0195187097624346
90,-0.0199165883193354
91,-0.0202536768361543
92,-0.0205175882557251
93,-0.0206966419491357
94,-0.0207801492470896
95,-0.0207586333060438
96,-0.020624045936708
97,-0.0203700504009107
98,-0.0199922966300596
99,-0.0194886340044109
100,-0.0188592217915785
101,-0.0181064654510381
102,-0.0172348433686741
103,-0.0162507165989426
104,-0.0151620968085646
105,-0.0139783838234643
106,-0.0127100862003582
107,-0.011368492365786
108,-0.009965380340534
109,-0.0085128508248227
110,-0.0070232284151538
111,-0.0055089983031022
112,-0.0039827313884326
113,-0.0024569154258747
114,-0.0009437586256044
115,0.0005449505789981
116,0.0019979534127281
117,0.0034045887625791
118,0.0047548371133836
119,0.0060394047519503
120,0.0072497797919878
121,0.0083782002157111
122,0.0094175943625612
123,0.0103615206882583
124,0.0112041688139293
125,0.0119405107552816
126,0.0125665260290065
127,0.0130794102272507
128,0.0134777685302268
129,0.0137617534130556
130,0.0139331599666353
131,0.0139955371330831
132,0.0139542361578831
133,0.0138163342719192
134,0.013590474294097
135,0.0132866269832018
136,0.0129158435510642
137,0.0124900911730395
138,0.0120221039270606
139,0.0115251798745471
140,0.011012926558481
141,0.0104989193843571
142,0.0099963212528267
143,0.0095175521724995
144,0.0090739641099286
145,0.0086754973349798
146,0.0083303606588311
147,0.0080447367527642
148,0.0078225914749497
149,0.0076656779137398
150,0.0075736694129779
151,0.0075443572076773
152,0.0075738847504807
153,0.0076569525039934
154,0.0077870279167862
155,0.0079566253661978
156,0.0081576037004833
157,0.0083814528207318
