,Volt
0,-0.0083397741137317
1,-0.0083848319363317
2,-0.0084026888800551
3,-0.0083925612892379
4,-0.0083547953341382
5,-0.0082908328466948
6,-0.0082031129640562
7,-0.0080949460350648
8,-0.0079703650369178
9,-0.0078339748625446
10,-0.0076907921747648
11,-0.0075460534745415
12,-0.007405021394126
13,-0.0072728121907406
14,-0.0071542415705031
15,-0.0070536995745161
16,-0.0069750320748027
17,-0.0069214010396505
18,-0.0068951520766657
19,-0.0068977141649726
20,-0.0069295464028318
21,-0.0069901569545642
22,-0.0070781721133005
23,-0.0071914217318115
24,-0.0073270461961314
25,-0.0074816195130323
26,-0.0076512850248676
27,-0.0078319143775269
28,-0.0080192613896332
29,-0.0082090833754593
30,-0.0083972399457851
31,-0.0085797725826968
32,-0.008752979362953
33,-0.0089135075640675
34,-0.009058443653171
35,-0.0091853771826759
36,-0.009292436410479
37,-0.0093782855745331
38,-0.0094420944958154
39,-0.0094835023550252
40,-0.0095025667735541
41,-0.0094996933647731
42,-0.0094755538624389
43,-0.0094309924393978
44,-0.0093669385817126
45,-0.0092843475062944
46,-0.0091841591657348
47,-0.0090672675150004
48,-0.00893449419073
49,-0.0087865544540515
50,-0.0086240253862745
51,-0.0084473309233452
52,-0.0082567411147835
53,-0.0080523863398299
54,-0.0078342827968944
55,-0.0076023591040263
56,-0.0073564895379902
57,-0.0070965390658048
58,-0.0068224146713264
59,-0.0065341205987234
60,-0.00623180840213
61,-0.0059158109020993
62,-0.0055866640050239
63,-0.0052451210735031
64,-0.0048921626163949
65,-0.0045290065622632
66,-0.0041571139171477
67,-0.0037781826417274
68,-0.0033941302208171
69,-0.0030070641772749
70,-0.0026192441978851
71,-0.0022330423452707
72,-0.0018508992863858
73,-0.0014752755711134
74,-0.0011086000433194
75,-0.0007532153333313
76,-0.0004113275691274
77,-8.49671986273369e-05
78,0.0002240417921326
79,0.0005141059370031
80,0.0007838836081204
81,0.0010323092276276
82,0.001258614041021
83,0.0014623367667358
84,0.0016433237360095
85,0.0018017156623311
86,0.0019379255386861
87,0.002052615383532
88,0.0021466679341093
89,0.0022211516599571
90,0.0022772826616046
91,0.0023163833197472
92,0.0023398462646137
93,0.0023491127599766
94,0.002345659191539
95,0.0023309862763983
96,0.0023066077240391
97,0.0022740313169209
98,0.0022347382567082
99,0.002190169224352
100,0.0021417127332025
101,0.002090694732926
102,0.0020383691543464
103,0.0019859043105723
104,0.0019343728089552
105,0.0018847525621429
106,0.0018379314497036
107,0.0017947109777715
108,0.0017558035493787
109,0.0017218145291083
110,0.0016932170959746
111,0.0016703303719463
112,0.0016532990263457
113,0.0016420769306337
114,0.0016364151641504
115,0.0016358493658387
116,0.0016396958075221
117,0.001647064607642
118,0.0016568839409864
119,0.0016679321071868
120,0.0016788709838981
121,0.0016882706316819
122,0.0016946320526184
123,0.0016964165723745
124,0.0016920791059511
125,0.0016801068225578
126,0.0016590599135028
127,0.0016276060372579
128,0.0015845548129311
129,0.0015288975754476
130,0.0014598455843716
131,0.0013768638326852
132,0.0012796930983365
133,0.0011683501819482
134,0.001043113954621
135,0.0009045063445979
136,0.0007532684002428
137,0.0005903360888309
138,0.0004168146793669
139,0.0002339459426902
140,4.307615892149495e-05
141,-0.0001543684871343
142,-0.0003569025160736
143,-0.0005629977367758
144,-0.0007711011115747
145,-0.0009796619303954
146,-0.0011871615013084
147,-0.0013921380549265
148,-0.0015932067992882
149,-0.0017890715771211
150,-0.0019785308610409
151,-0.0021604848486117
152,-0.0023339390116219
153,-0.0024980008075249
154,-0.0026518735058789
155,-0.0027948478297529
156,-0.0029262968631396
157,-0.0030456815455722
158,-0.0031525616822319
159,-0.0032466067873805
160,-0.0033276063535397
161,-0.0033954760145778
162,-0.0034502609278563
163,-0.0034921408156107
164,-0.0035214322255324
165,-0.0035385845634185
166,-0.0035441721957464
167,-0.0035388826161515
168,-0.0035235041373181
169,-0.0034989183256369
170,-0.003466093697214
171,-0.0034260768409916
172,-0.0033799813560566
173,-0.0033289728960167
174,-0.0032742517619529
175,-0.0032170368435662
176,-0.0031585485453886
177,-0.0030999888423702
178,-0.0030425209327491
179,-0.0029872492866898
180,-0.0029352026364091
181,-0.0028873237032119
182,-0.0028444634041174
183,-0.0028073766032862
184,-0.0027767198298793
185,-0.0027530498455624
186,-0.0027368229395983
187,-0.0027283965445263
188,-0.0027280309172716
189,-0.0027358886238902
190,-0.002752033401978
191,-0.0027764292563849
192,-0.0028089405835376
193,-0.0028493353574745
194,-0.0028972903405569
195,-0.0029523964460901
