,Volt
0,-0.0036948266232966
1,-0.0036928379412043
2,-0.0037262009143745
3,-0.0037949141210425
4,-0.0038981159057515
5,-0.0040341184538553
6,-0.0042004866668871
7,-0.00439413761896
8,-0.0046114520718426
9,-0.0048483773549389
10,-0.0051005330435153
11,-0.0053633407045399
12,-0.0056321564119995
13,-0.0059023937361038
14,-0.006169636453887
15,-0.0064297268983081
16,-0.0066788523460858
17,-0.0069136533000759
18,-0.0071313278699374
19,-0.0073297135747534
20,-0.0075073294037363
21,-0.0076633509789235
22,-0.0077975441558257
23,-0.0079101908598447
24,-0.0080020020296059
25,-0.0080740262176546
26,-0.0081275540074021
27,-0.0081640026079075
28,-0.0081848130724917
29,-0.0081913884498597
30,-0.0081850567927122
31,-0.0081670537790253
32,-0.0081385026360481
33,-0.0081003588299968
34,-0.0080533483802562
35,-0.007997930622924
36,-0.0079342839778401
37,-0.0078623280314332
38,-0.0077817657145896
39,-0.0076921129551205
40,-0.0075927386397849
41,-0.0074829290092954
42,-0.0073619584986567
43,-0.007229165814833
44,-0.0070840019641726
45,-0.0069260113714554
46,-0.0067547777952574
47,-0.006569865522688
48,-0.0063707663378089
49,-0.0061568804898743
50,-0.0059275129705226
51,-0.0056818520836396
52,-0.0054189567599381
53,-0.0051377656537109
54,-0.004837123194894
55,-0.0045158369341719
56,-0.0041727311779348
57,-0.0038066588709184
58,-0.0034165045809091
59,-0.0030012024237744
60,-0.0025597861114319
61,-0.0020915041522147
62,-0.0015959648184234
63,-0.0010732627920783
64,-0.0005240981026004
65,5.012003480038628e-05
66,0.0006471891651307
67,0.0012640309561399
68,0.0018966546401825
69,0.0025402071281256
70,0.0031890807231735
71,0.0038370615277757
72,0.0044774869761931
73,0.005103364344797
74,0.005707483744226
75,0.0062825651816113
76,0.0068214274447941
77,0.0073171863877952
78,0.007763461759618
79,0.008154548478735
80,0.0084855824839855
81,0.0087527231495053
82,0.0089533216870336
83,0.009086065815222
84,0.0091510581239921
85,0.0091497761124392
86,0.0090849552671644
87,0.0089604397754145
88,0.0087810115040993
89,0.0085522310932967
90,0.0082802752287086
91,0.0079717337257276
92,0.0076334054208518
93,0.007272118764787
94,0.0068945709854218
95,0.0065072020167958
96,0.0061160682374987
97,0.0057266735724882
98,0.005343800122739
99,0.0049713737661616
100,0.004612382587726
101,0.0042688845914985
102,0.0039420729365585
103,0.0036323486834769
104,0.0033394172849815
105,0.0030624079339015
106,0.0028000049812706
107,0.0025506046824547
108,0.0023124522656766
109,0.0020837130313987
110,0.0018625061312744
111,0.0016469207987355
112,0.0014350352084884
113,0.0012249769861954
114,0.001014995176686
115,0.0008035023889955
116,0.0005891021301632
117,0.0003705998231321
118,0.0001470026202264
119,-8.246425364658797e-05
120,-0.0003183558047972
121,-0.0005610500566344
122,-0.0008108059011289
123,-0.0010678201104607
124,-0.001332258429812
125,-0.001604221663892
126,-0.0018836778577696
127,-0.0021704005015463
128,-0.002463907329448
129,-0.0027634121863319
130,-0.0030677881247195
131,-0.0033755192422172
132,-0.0036846754917199
133,-0.0039929405733129
134,-0.0042976715133588
135,-0.0045959814745579
136,-0.0048848218086595
137,-0.0051610255842562
138,-0.0054213399325734
139,-0.0056624790670227
140,-0.0058811897852204
141,-0.0060743377848694
142,-0.0062390031092025
143,-0.0063725539616955
144,-0.0064727240117565
145,-0.0065377131700799
146,-0.0065662873631222
147,-0.0065578684064936
148,-0.0065125867830088
149,-0.0064312596750162
150,-0.0063153248039677
151,-0.0061667651190753
152,-0.0059880236658078
153,-0.0057819263549482
154,-0.0055516065788201
155,-0.0053004073586801
156,-0.0050317943704368
157,-0.0047493058672384
158,-0.0044565225134583
159,-0.0041570554867303
160,-0.0038545263669844
161,-0.003552501266666
162,-0.0032544113338947
163,-0.002963492427665
164,-0.0026827427148206
165,-0.0024149149097977
166,-0.0021625261625136
167,-0.0019278501444033
168,-0.0017129184839386
169,-0.0015195488121969
170,-0.001349378740904
171,-0.0012039043556486
172,-0.0010844882381144
173,-0.0009922945643839
174,-0.0009281885171806
175,-0.0008926368769829
176,-0.0008856192124412
177,-0.0009065797288008
178,-0.000954402708939
179,-0.0010273767830253
180,-0.0011231812890258
181,-0.0012389137823105
182,-0.0013711485850047
183,-0.0015160368559102
184,-0.0016694085948783
185,-0.0018268310280927
186,-0.001983660067631
187,-0.0021351140219939
188,-0.0022763828596514
189,-0.0024028050322474
190,-0.0025100741672716
191,-0.0025944216139032
192,-0.00265278975733
193,-0.0026829927326229
194,-0.0026838539870588
195,-0.002655335531862
196,-0.0025986089302659
197,-0.0025160202114885
198,-0.002410982763466
199,-0.0022878219355877
200,-0.0021516032044226
201,-0.0020079950970148
202,-0.0018631335448407
203,-0.0017234451324088
204,-0.001595446631108
205,-0.0014855182087155
206,-0.0013996701351057
207,-0.0013433476132915
208,-0.0013212421652763
209,-0.00133708428438
210,-0.0013934508847493
211,-0.00149160115978
212,-0.0016313838014498
213,-0.0018112688547683
214,-0.0020284632348017
215,-0.0022790635664533
216,-0.0025582357093463
217,-0.0028603879152716
218,-0.0031793517913969
219,-0.0035086057286989
220,-0.0038415028373025
221,-0.0041714767712934
222,-0.0044922288405933
223,-0.0047978792342163
224,-0.0050831132216594
225,-0.0053433603641241
226,-0.0055749685676058
227,-0.0057753405575785
228,-0.0059430134839102
229,-0.0060776471909268
230,-0.0061799492444368
231,-0.0062515809940439
232,-0.0062950358108001
233,-0.0063134946739003
234,-0.0063106658138776
235,-0.0062905956868925
236,-0.0062574872984814
237,-0.0062155626263629
238,-0.0061689536467167
239,-0.0061216139330251
240,-0.006077235799639
241,-0.0060391452259445
242,-0.0060101976253584
243,-0.0059927042322822
244,-0.0059883865129896
245,-0.0059983654702513
246,-0.0060231791905848
247,-0.0060628070801179
248,-0.0061167133194767
249,-0.0061839209462422
250,-0.0062631029988553
251,-0.0063526848848845
252,-0.0064509426884261
253,-0.0065560752954649
254,-0.0066662584845052
255,-0.006779693099613
256,-0.0068946452307415
257,-0.0070094829551091
258,-0.0071227077402184
259,-0.0072329707726372
260,-0.007339079780003
261,-0.0074400034501107
262,-0.0075348686161739
263,-0.0076229488337441
264,-0.0077036456148507
265,-0.0077764582163211
266,-0.0078409439800684
267,-0.0078966753880212
268,-0.007943188938854
269,-0.0079799231057847
270,-0.0080061558858144
271,-0.0080209482864951
272,-0.0080230991923894
273,-0.0080111220766427
274,-0.0079832374721386
275,-0.0079373725888025
276,-0.0078711791043984
277,-0.0077820725675288
278,-0.0076672901615999
279,-0.0075239706862251
280,-0.0073492384695906
281,-0.0071402728919039
282,-0.0068943788642218
283,-0.0066090682840959
284,-0.0062821581877524
285,-0.0059118994303194
286,-0.0054971141997581
287,-0.005037314594197
