,Volt
0,-0.0048230346139958
1,-0.0048155421602687
2,-0.0048331882129227
3,-0.0048761109384825
4,-0.0049437706197258
5,-0.0050349694687272
6,-0.0051479058587566
7,-0.0052802456095064
8,-0.0054292054781701
9,-0.0055916363252976
10,-0.0057641113425916
11,-0.0059430316957513
12,-0.0061247357440749
13,-0.0063056022906673
14,-0.006482146932765
15,-0.0066511031845392
16,-0.0068094995962345
17,-0.006954745760446
18,-0.0070847130997956
19,-0.0071977993019674
20,-0.0072929664127753
21,-0.0073697379787715
22,-0.0074281671606419
23,-0.0074687927504554
24,-0.0074925829152659
25,-0.0075008722491959
26,-0.0074952918142568
27,-0.0074776850221008
28,-0.0074500228240504
29,-0.007414330323767
30,-0.0073726224402105
31,-0.0073268504455304
32,-0.0072788517108567
33,-0.0072302919076013
34,-0.0071826100389825
35,-0.0071369767938235
36,-0.0070942707199901
37,-0.007055080021643
38,-0.0070197230356296
39,-0.0069882758030653
40,-0.0069606079874025
41,-0.0069364256623978
42,-0.0069153198667273
43,-0.0068968238845599
44,-0.0068804704067693
45,-0.0068658398626577
46,-0.006852600935814
47,-0.0068405425701752
48,-0.0068296019393286
49,-0.0068198944616647
50,-0.0068117397666659
51,-0.0068056774012333
52,-0.0068024684484344
53,-0.0068030780259016
54,-0.0068086440748382
55,-0.0068204400311254
56,-0.0068398324934291
57,-0.0068682369487476
58,-0.0069070703315905
59,-0.0069576970348257
60,-0.0070213745857274
61,-0.007099203717987
62,-0.0071920840926931
63,-0.0073006792395246
64,-0.007425385515009
65,-0.0075662999870813
66,-0.0077231936928191
67,-0.0078954948207568
68,-0.0080822879580506
69,-0.008282336952729
70,-0.0084941234775559
71,-0.008715892012401
72,-0.008945699841991
73,-0.009181466829913
74,-0.0094210272182247
75,-0.0096621892986245
76,-0.0099027938646572
77,-0.010140765026897
78,-0.0103741546033635
79,-0.0106011770534231
80,-0.0108202429998833
81,-0.0110300006007066
82,-0.011229374497054
83,-0.0114175938904865
84,-0.0115942051760932
85,-0.0117590603904617
86,-0.0119122904700649
87,-0.0120542763784546
88,-0.0121856141267601
89,-0.0123070746491661
90,-0.0124195609839987
91,-0.0125240587900185
92,-0.0126215935017251
93,-0.0127132069280083
94,-0.0127999447349695
95,-0.0128828495463181
96,-0.0129629526337304
97,-0.0130412518025332
98,-0.0131186861403833
99,-0.0131961208841612
100,-0.0132743379003181
101,-0.013354033322344
102,-0.0134358195427871
103,-0.0135202211172105
104,-0.0136076761195281
105,-0.0136985529566148
106,-0.0137931715893307
107,-0.0138918239282435
108,-0.0139947829828712
109,-0.0141022853840258
110,-0.0142145008361083
111,-0.0143315046532246
112,-0.0144532514715099
113,-0.0145795562126739
114,-0.0147100806718555
115,-0.0148443154445019
116,-0.0149815728478271
117,-0.0151210036641443
118,-0.0152616274624327
119,-0.0154023729238127
120,-0.0155421158940293
121,-0.015679696714368
122,-0.015813931476062
123,-0.0159436332078626
124,-0.0160676387924095
125,-0.0161848464909255
126,-0.0162942572929912
127,-0.0163950032756791
128,-0.016486377691461
129,-0.0165678778405761
130,-0.0166392462591104
