,Volt
0,-0.003319120781831
1,-0.0033482330626627
2,-0.0033039080979893
3,-0.003185730883124
4,-0.0029953476753178
5,-0.0027363914800113
6,-0.0024142966600225
7,-0.0020360603845349
8,-0.0016099709824566
9,-0.0011453511944412
10,-0.0006522912563772
11,-0.0001413235751653
12,0.0003769122643414
13,0.0008919848165846
14,0.0013939627743227
15,0.0018736502065976
16,0.0023228129411665
17,0.0027344477032886
18,0.0031030371729564
19,0.0034247493844219
20,0.0036975417410505
21,0.0039211091374879
22,0.0040967301129109
23,0.0042270838305414
24,0.0043160308142627
25,0.0043683787285873
26,0.0043896328395817
27,0.0043856979931473
28,0.0043625982378629
29,0.0043262722478237
30,0.0042824176347866
31,0.0042363793161938
32,0.0041930395845776
33,0.0041566476983863
34,0.0041306458401973
35,0.0041175517505557
36,0.0041189008279099
37,0.0041352770407721
38,0.0041664014694408
39,0.0042112157660643
40,0.0042679966729832
41,0.0043345223001841
42,0.0044082590872587
43,0.0044865683544792
44,0.0045668738898405
45,0.0046467214970353
46,0.0047237780477429
47,0.0047958159531119
48,0.0048606979297801
49,0.0049164061502412
50,0.004961085888415
51,0.0049930496792351
52,0.005010779439283
53,0.0050129457015372
54,0.0049984348704524
55,0.0049664055091676
56,0.0049163275481421
57,0.0048479506866423
58,0.0047612492909299
59,0.0046563809729758
60,0.0045336784327781
61,0.0043937185712116
62,0.004237430363353
63,0.0040661815863605
64,0.0038818661802757
65,0.0036869930273442
66,0.0034847616949909
67,0.0032791414370761
68,0.0030749018198129
69,0.0028775404166079
70,0.0026931489808448
71,0.002528250005968
72,0.0023896269399114
73,0.002284197121257
74,0.0022188976215992
75,0.0022005372361281
76,0.002235644891648
77,0.0023303243320021
78,0.0024901148807107
79,0.0027198868449638
80,0.0030237317343087
81,0.0034048040531548
82,0.003865159492634
83,0.0044056208111756
84,0.0050256946470128
85,0.0057235846526421
86,0.0064962641341145
87,0.0073395533270651
88,0.0082482208192788
89,0.0092161064776545
90,0.0102362536112709
91,0.0113010674707942
92,0.012402449389586
93,0.0135318542584695
94,0.0146803104098837
95,0.015838430033979
96,0.0169964316881866
97,0.0181442213628233
98,0.0192714994218069
99,0.0203678446663528
100,0.0214228027181687
101,0.0224259845504419
102,0.0233671716850135
103,0.0242364531601308
104,0.0250243492993593
105,0.025721874732523
106,0.0263205828589831
107,0.0268126198654384
108,0.0271908098078323
109,0.027448814752117
