,Volt
0,-0.0041653511788086
1,-0.0037553943475691
2,-0.0035393562592414
3,-0.0035240240132456
4,-0.0037056430159553
5,-0.0040702909720628
6,-0.0045948898661615
7,-0.0052484863534572
8,-0.0059937356016628
9,-0.0067883619008105
10,-0.0075866910808324
11,-0.0083415036470803
12,-0.0090058960959793
13,-0.0095349241539306
14,-0.0098870579267165
15,-0.0100253251901582
16,-0.0099184004865169
17,-0.0095419487760288
18,-0.0088799062309847
19,-0.0079254312200811
20,-0.0066813606159715
21,-0.0051598847795321
22,-0.0033817020227219
23,-0.0013750398836624
24,0.0008255310391943
25,0.0031804332207176
26,0.0056465257737004
27,0.0081787842656192
28,0.010731871979774
29,0.0132612731028461
30,0.0157241447209188
31,0.0180799575305258
32,0.0202911113785641
33,0.0223238247094765
34,0.0241490353581128
35,0.0257430071997816
36,0.0270876605187001
37,0.0281705239535394
38,0.0289844288278435
39,0.0295272228737933
40,0.0298013268125545
41,0.0298130097202017
42,0.0295715402868124
43,0.0290882460999721
44,0.0283757347630091
45,0.0274475891157651
46,0.0263183331472483
47,0.0250034553314085
48,0.0235194366016059
49,0.0218836069493722
50,0.0201139461435747
51,0.0182290532897797
52,0.0162481280882201
53,0.0141908718947638
54,0.0120773454330824
55,0.0099277019695803
56,0.0077619734670142
57,0.0056001226220221
58,0.0034621832230566
59,0.001368343960322
60,-0.0006611055032304
61,-0.0026061355768541
62,-0.0044475044079371
63,-0.0061672317686717
64,-0.0077490832797276
65,-0.0091790573558691
66,-0.0104458379203206
67,-0.0115412810225399
68,-0.0124607607694258
69,-0.0132031930386853
70,-0.0137708534685592
71,-0.0141690712175754
72,-0.014405885940754
73,-0.0144918308220996
74,-0.0144397393793866
75,-0.0142644292525818
76,-0.0139823232780424
77,-0.0136110088857045
78,-0.0131687639606343
79,-0.0126741591449528
80,-0.0121456396135516
81,-0.0116009905800745
82,-0.0110567865884638
83,-0.010527879724215
84,-0.0100270162905827
85,-0.0095647159291622
86,-0.0091493218547018
87,-0.0087871002072468
88,-0.0084823964341982
89,-0.008237803814361
90,-0.0080543520893423
91,-0.0079317837540305
92,-0.0078688250314011
93,-0.0078633672332336
94,-0.0079125979970851
95,-0.0080130870672926
96,-0.0081608813304468
97,-0.0083516970615643
98,-0.0085811422332178
99,-0.0088448911867426
100,-0.0091388106220681
101,-0.0094590032719042
102,-0.0098017945626873
103,-0.0101637281065827
104,-0.0105415322669819
105,-0.0109320290869407
106,-0.0113320168911235
107,-0.0117381307005819
108,-0.0121467265126769
109,-0.0125538519904666
110,-0.0129552712334597
111,-0.0133465059248586
112,-0.0137228883329159
113,-0.0140795998729934
114,-0.0144117076074576
115,-0.0147142324077903
116,-0.0149822272209818
117,-0.0152108478100852
118,-0.0153954236260925
119,-0.0155315217022065
120,-0.0156150164057704
121,-0.0156421878921792
122,-0.0156098342745339
123,-0.0155153800047806
124,-0.0153569782146531
125,-0.0151335961988837
126,-0.0148450820219626
127,-0.0144922199910174
128,-0.0140767673290144
129,-0.0136014631984612
130,-0.013070014633369
131,-0.0124870610251228
132,-0.0118581144879813
133,-0.0111894806676089
134,-0.010488161850398
135,-0.0097617401445924
136,-0.009018252393278
137,-0.0082660671826581
138,-0.0075137558341628
139,-0.0067699536936996
140,-0.0060432114575629
141,-0.0053418304087688
142,-0.0046736953168315
143,-0.0040461229710005
144,-0.0034657202364951
145,-0.0029382523428314
146,-0.0024685303003523
147,-0.002060317077245
148,-0.0017162724533454
149,-0.0014379562129854
150,-0.0012258729843961
151,-0.0010795438269658
152,-0.0009975945087063
153,-0.0009778411644903
154,-0.0010173826523246
155,-0.0011127151256776
156,-0.0012598545947031
157,-0.0014544606533905
158,-0.0016919581567686
159,-0.0019676436331258
160,-0.002276790604543
161,-0.0026147685645448
162,-0.0029771583295113
163,-0.0033598516886563
164,-0.0037591217423443
165,-0.0041716443766783
166,-0.0045944858186123
167,-0.0050250769336797
168,-0.005461174048123
169,-0.0059008137499944
170,-0.0063422610915375
171,-0.0067839419082682
172,-0.0072243754908177
173,-0.0076621221449315
174,-0.0080957422770891
175,-0.0085237685415066
176,-0.0089446813699449
177,-0.0093568744214509
178,-0.0097586210143151
179,-0.0101480530775563
180,-0.0105231579773399
181,-0.0108818019460453
182,-0.0112217718162502
183,-0.0115408220954929
184,-0.0118367271885474
185,-0.0121073358241127
186,-0.0123506289481849
187,-0.012564785928606
188,-0.0127482497042559
189,-0.01289978317588
190,-0.0130185149888866
191,-0.0131039703513049
192,-0.0131560955902623
193,-0.013175284329338
194,-0.0131623973381065
195,-0.0131187710586377
196,-0.0130462037749228
197,-0.0129469076168423
198,-0.0128234406898742
199,-0.0126786333678579
200,-0.0125155140974895
201,-0.0123372465431005
202,-0.0121470681996981
203,-0.0119482163518032
204,-0.0117438564186334
205,-0.0115370192026148
206,-0.0113305483610797
207,-0.0111270692713699
208,-0.0109289564885367
209,-0.0107382791695472
210,-0.0105567474076121
211,-0.0103856731525185
212,-0.0102259639611868
213,-0.0100781768103024
214,-0.0099426002608598
215,-0.0098193288905845
216,-0.0097083359944156
217,-0.0096095324685826
218,-0.0095228177139227
219,-0.0094481464675552
220,-0.0093855686477757
221,-0.0093352102933863
222,-0.0092972213764712
223,-0.0092716977304114
224,-0.0092586188645462
225,-0.009257855205153
226,-0.0092691959245358
227,-0.009292351090723
228,-0.0093269298925371
229,-0.0093723686518363
230,-0.0094278455352644
231,-0.0094922440894022
232,-0.009564118127634
233,-0.0096416334895341
234,-0.009722517462901
235,-0.0098040102664221
236,-0.0098828928316799
237,-0.0099556701044698
238,-0.0100188306261161
239,-0.0100691132973272
240,-0.0101037448643589
241,-0.0101205711883944
242,-0.0101181364339977
243,-0.0100957923871146
244,-0.0100537720942182
245,-0.0099932042889294
246,-0.0099160699044793
247,-0.0098250513535554
248,-0.0097233788782107
249,-0.0096147758476425
250,-0.0095034112649569
251,-0.009393803272288
252,-0.0092906088125914
253,-0.0091981938181999
254,-0.0091201076555783
255,-0.0090586128582525
256,-0.0090142543367009
257,-0.0089855146613548
258,-0.0089685511439915
259,-0.0089569396594341
260,-0.0089415734202963
261,-0.0089108363456906
262,-0.0088509666309121
263,-0.0087465774603162
264,-0.0085812060148801
265,-0.0083377169779087
266,-0.0079986890203095
267,-0.0075469161924745
268,-0.006966009150034
269,-0.0062411535281783
270,-0.005359917989797
271,-0.0043129276014392
272,-0.0030944974458639
273,-0.0017032740365241
274,-0.0001427929815225
275,0.0015780509156884
276,0.0034448025608043
277,0.0054377131200071
278,0.007532317186763
279,0.0097001717238356
280,0.0119096773925009
281,0.0141268162207551
282,0.0163158974784491
283,0.0184404671778199
284,0.0204642544996697
285,0.0223520938921236
286,0.0240708028301156
287,0.0255899001528859
288,0.0268823034492971
289,0.0279251508633161
290,0.0287005851798749
291,0.0291963885618045
292,0.0294063496022785
293,0.0293301819554295
294,0.0289731441045972
295,0.0283455640675503
296,0.0274622484715619
297,0.0263418363049182
298,0.0250061004287633
299,0.0234791056816825
300,0.0217864015552916
301,0.0199544106862572
302,0.0180099382057101
303,0.0159797838318306
304,0.0138903533607008
305,0.0117671081585866
306,0.0096339929337587
307,0.0075129992674006
308,0.0054238645364106
309,0.0033839714041075
310,0.0014083855251404
311,-0.00049011297031
312,-0.0023009155379629
313,-0.0040153279107824
314,-0.0056262472434729
315,-0.0071277862975694
316,-0.0085149681070086
317,-0.0097836467396388
318,-0.0109305562645026
319,-0.0119533832259455
320,-0.0128508415954644
321,-0.013622668046675
322,-0.0142695852118518
323,-0.0147933367177692
324,-0.0151967186003691
325,-0.0154835578731974
326,-0.0156586626337073
327,-0.0157277150832368
328,-0.015697181191652
329,-0.0155743337872033
330,-0.015367313950765
331,-0.0150851626090891
332,-0.0147377991955267
333,-0.0143358844558875
334,-0.0138906127479664
335,-0.0134135184092196
336,-0.0129162626012875
337,-0.0124103893121468
338,-0.0119070760076389
339,-0.0114168648725877
340,-0.0109494341716948
341,-0.0105134818234307
342,-0.0101166784318965
343,-0.0097656509174099
344,-0.0094659825672688
345,-0.0092221854383869
346,-0.0090376671790731
347,-0.0089147385470374
348,-0.0088546322847674
349,-0.0088575167466619
350,-0.0089225148673837
351,-0.0090477152292313
352,-0.0092302026552353
353,-0.0094661468367015
354,-0.0097509208447527
355,-0.0100792229782928
356,-0.0104451971916646
357,-0.0108425302063817
358,-0.0112645347603055
359,-0.0117042448767319
360,-0.012154505403608
361,-0.0126080434042449
362,-0.0130575341473533
363,-0.013495661408489
364,-0.0139151861214534
365,-0.014309046456619
366,-0.0146704729312147
367,-0.0149930984706197
368,-0.015271066357389
369,-0.0154991283163484
370,-0.0156727288028257
371,-0.0157880837073981
372,-0.0158422375011933
373,-0.0158330823472793
374,-0.0157593525907443
375,-0.0156206042927864
376,-0.0154171840583958
377,-0.0151502013876374
378,-0.0148214999418349
379,-0.0144336158271853
380,-0.0139897363059882
381,-0.0134936670937772
382,-0.0129498003554852
383,-0.0123630837128854
384,-0.0117389797196645
385,-0.0110833996382058
386,-0.0104026250831405
387,-0.0097032320578355
388,-0.0089920136448183
389,-0.0082759065198324
390,-0.0075619194706701
391,-0.0068570525697454
392,-0.0061682218515981
393,-0.0055022025929346
394,-0.00486557772687
395,-0.0042646849007777
396,-0.0037055533566804
397,-0.0031938144220667
398,-0.0027346011249245
399,-0.0023324575493957
400,-0.0019912528660034
401,-0.0017141038336997
402,-0.0015033107732364
403,-0.0013603007238204
404,-0.0012855966809881
405,-0.0012788317767037
406,-0.0013387931618137
407,-0.0014634841475305
408,-0.0016501960154379
409,-0.001895571150206
410,-0.0021956668428138
411,-0.0025460356006879
412,-0.0029418095130358
413,-0.003377783403201
414,-0.0038484981598228
415,-0.0043483152694727
416,-0.004871495657809
417,-0.0054122985282556
418,-0.0059650835137251
419,-0.0065244027901111
420,-0.0070850773643317
421,-0.0076422433299879
422,-0.0081913774505938
423,-0.0087283196601202
424,-0.0092492835243644
425,-0.0097508515025448
426,-0.0102299632935894
427,-0.0106838960281926
428,-0.0111102504282064
429,-0.0115069609080433
430,-0.0118723167779428
431,-0.0122049815533737
432,-0.0125040099216076
433,-0.0127688530365124
434,-0.0129993548237717
435,-0.0131957506260166
436,-0.0133586558826457
437,-0.0134890351014938
438,-0.0135881609039668
439,-0.0136575663063055
440,-0.0136989982651849
441,-0.0137143874635186
442,-0.0137058241783241
443,-0.0136755270388614
444,-0.0136258123110392
445,-0.0135590636466647
446,-0.0134777005214773
447,-0.0133841534301536
448,-0.0132808329273383
449,-0.0131700783691207
450,-0.0130541030785201
