,Volt
0,-0.0061287947698557
1,-0.0061806298106855
2,-0.0061836315915939
3,-0.0061369105101659
4,-0.0060413966298798
5,-0.0058997845569954
6,-0.0057163757315501
7,-0.005496867834649
8,-0.0052481114686899
9,-0.0049778775285211
10,-0.0046946126356316
11,-0.0044071410351522
12,-0.0041243521048391
13,-0.0038548963068038
14,-0.003606898473728
15,-0.0033877221560034
16,-0.0032037468115898
17,-0.0030601185078415
18,-0.0029605193025411
19,-0.0029069862108505
20,-0.0028998193812736
21,-0.0029376331599964
22,-0.0030175043827977
23,-0.0031351593993187
24,-0.0032851958186298
25,-0.0034613119620054
26,-0.0036565519615937
27,-0.003863598638646
28,-0.0040750646026429
29,-0.0042837417213355
30,-0.004482817547617
31,-0.0046660471854309
32,-0.004827916221247
33,-0.004963840387896
34,-0.0050703562390049
35,-0.0051452609360693
36,-0.0051876819169073
37,-0.0051980398373877
38,-0.0051779390634968
39,-0.0051300398087442
40,-0.0050578992429986
41,-0.0049657854321258
42,-0.0048584731336956
43,-0.0047410072444082
44,-0.0046184815380954
45,-0.0044958800334815
46,-0.0043779592939083
47,-0.0042691598199324
48,-0.0041735231317787
49,-0.0040945754571069
50,-0.004035212177775
51,-0.003997624295051
52,-0.0039832637933757
53,-0.0039928596153296
54,-0.0040264690412871
55,-0.004083528681491
56,-0.004162927017939
57,-0.0042631145350637
58,-0.0043822312758544
59,-0.0045182469426431
60,-0.0046690810717491
61,-0.004832663384971
62,-0.0050069581504552
63,-0.0051899779507119
64,-0.0053797936297435
65,-0.0055745619067391
66,-0.0057725556159782
67,-0.0059721685213574
68,-0.0061719118041776
69,-0.0063704119195723
70,-0.0065664073167298
71,-0.006758755715762
72,-0.0069464323605481
73,-0.0071284960383369
74,-0.0073040429705599
75,-0.00747216449101
76,-0.0076319200561177
77,-0.0077823466544089
78,-0.007922489495535
79,-0.0080514304357723
80,-0.0081683198934296
81,-0.0082724100049706
82,-0.0083630872431258
83,-0.0084399139590384
84,-0.0085026614638352
85,-0.0085513168014546
86,-0.0085860737020591
87,-0.0086073137027995
88,-0.0086155864986686
89,-0.0086116058681242
90,-0.008596250229214
91,-0.008570552983599
92,-0.0085356864809567
93,-0.0084929375433896
94,-0.0084436774913336
95,-0.0083893376051218
96,-0.0083313812517259
97,-0.0082712643070082
98,-0.0082103921776806
99,-0.0081500772520171
100,-0.0080915048107579
101,-0.008035719568868
102,-0.0079836251843162
103,-0.0079359866005962
104,-0.0078934360197544
105,-0.0078564786620832
106,-0.0078254991281608
107,-0.0078007744157658
108,-0.0077824863790541
109,-0.0077707269599635
110,-0.0077654998892952
111,-0.0077667197371625
112,-0.0077742124959205
113,-0.0077877248467182
114,-0.0078069374936799
115,-0.0078314766744354
116,-0.0078609244833422
117,-0.0078948261590676
118,-0.0079326952700163
119,-0.0079740208750362
120,-0.0080182737557282
121,-0.0080649088096655
122,-0.0081133658994017
123,-0.0081630700497536
124,-0.0082134329402749
125,-0.0082638591363524
126,-0.0083137556643751
127,-0.0083625423115073
128,-0.0084096626685622
129,-0.008454595264102
130,-0.008496863697074
131,-0.0085360459440621
132,-0.008571782743724
133,-0.0086037838760154
134,-0.0086318322003247
135,-0.0086557861931729
136,-0.0086755789272941
137,-0.0086912121265993
138,-0.0087027487205635
139,-0.0087103057308284
140,-0.0087140481982372
141,-0.0087141869926055
142,-0.0087109767563765
143,-0.0087047092347296
144,-0.0086957069917111
145,-0.0086843191081801
146,-0.0086709164540247
147,-0.0086558883124147
148,-0.0086396317983473
149,-0.0086225256517412
150,-0.0086048992798359
151,-0.0085870050459484
152,-0.0085689975845141
153,-0.0085509299483016
154,-0.0085327571176429
155,-0.0085143340262049
156,-0.0084954197538221
157,-0.0084756914660291
158,-0.0084547653072008
159,-0.0084322307592628
160,-0.0084076777274847
161,-0.0083806963500264
162,-0.008350870108527
163,-0.0083177754263771
164,-0.0082809978988881
165,-0.0082401859019116
166,-0.0081951159006687
167,-0.0081457378579633
168,-0.0080922141510666
169,-0.0080349495693747
170,-0.0079746103356797
171,-0.0079121481597331
172,-0.0078487896060712
173,-0.0077859570594462
174,-0.007725155081782
175,-0.0076678421560193
176,-0.0076153203773899
177,-0.0075686917645843
