,Volt
0,-0.0039097796354913
1,-0.0039382246862582
2,-0.004014647772858
3,-0.0041385254298143
4,-0.0043084395056486
5,-0.0045221087488928
6,-0.0047764605967014
7,-0.0050677245609191
8,-0.005391539253854
9,-0.0057430554011475
10,-0.0061170432082014
11,-0.0065080203257585
12,-0.0069103850368901
13,-0.00731854548974
14,-0.0077270432781878
15,-0.0081306596537536
16,-0.0085245178334238
17,-0.0089041967581569
18,-0.0092658386818764
19,-0.0096062371064118
20,-0.0099228935307138
21,-0.0102140250593984
22,-0.0104785361646244
23,-0.0107159748700269
24,-0.0109264715711762
25,-0.0111106654688045
26,-0.0112696212611503
27,-0.0114047298521929
28,-0.0115176082496629
29,-0.0116100143889285
30,-0.0116837723131593
31,-0.0117407062636464
32,-0.0117825794536576
33,-0.0118110277942447
34,-0.0118274962868108
35,-0.011833189302626
36,-0.0118290348816217
37,-0.0118156652568333
38,-0.0117934142198201
39,-0.0117623263662608
40,-0.0117221783289243
41,-0.0116725144454429
42,-0.0116126933113865
43,-0.0115419412584378
44,-0.0114594145438681
45,-0.0113642686235259
46,-0.0112557267405439
47,-0.0111331445149925
48,-0.0109960643048002
49,-0.0108442504005726
50,-0.0106777139713949
51,-0.0104967362088752
52,-0.0103018808215068
53,-0.0100939959836695
54,-0.0098742040909493
55,-0.0096438698901149
56,-0.0094045679463269
57,-0.0091580665770888
58,-0.0089063088635942
59,-0.008651381526422
60,-0.0083954574691486
61,-0.0081406889314537
62,-0.0078890830540865
63,-0.0076423953400606
64,-0.0074020332986419
65,-0.0071689809080487
66,-0.0069437429092518
67,-0.0067262884970721
68,-0.0065160386371296
69,-0.0063119317850567
70,-0.0061125351827047
71,-0.0059161865761715
72,-0.0057211284391004
73,-0.0055255799595681
74,-0.0053277937405417
75,-0.0051261464569061
76,-0.0049192462534991
77,-0.0047060700960047
78,-0.0044861047740852
79,-0.004259433576791
80,-0.0040268238942386
81,-0.0037898546992627
82,-0.0035510313542407
83,-0.0033138709647401
