,Volt
0,-0.0020390645519059
1,-0.0020206681810805
2,-0.0020705696247803
3,-0.0021890642473052
4,-0.0023746736835
5,-0.002624201749163
6,-0.0029328810757943
7,-0.0032945653602747
8,-0.0037019519199046
9,-0.0041467983028132
10,-0.0046201503277416
11,-0.0051126168636452
12,-0.005614654907607
13,-0.0061168418043096
14,-0.0066101304545467
15,-0.0070860620043926
16,-0.0075369686643219
17,-0.0079562024709313
18,-0.0083383500322715
19,-0.0086794034790266
20,-0.0089768577498065
21,-0.0092296909514509
22,-0.0094382640152909
23,-0.0096041891858574
24,-0.0097301665393863
25,-0.0098198059286428
26,-0.0098774324535756
27,-0.0099078527160796
28,-0.0099161232442567
29,-0.0099073573132239
30,-0.0098865599587921
31,-0.0098584949858981
32,-0.0098275585745215
33,-0.0097976237701447
34,-0.0097718899282029
35,-0.0097527715721881
36,-0.0097418369746701
37,-0.0097398197114558
38,-0.0097466816616461
39,-0.009761689443073
40,-0.0097835151242713
41,-0.0098103626179799
42,-0.0098401103463105
43,-0.0098704762183657
44,-0.0098991733913412
45,-0.0099240230983146
46,-0.0099430380912354
47,-0.0099544862662654
48,-0.0099569466869195
49,-0.0099493806470043
50,-0.0099311986366065
51,-0.0099022978652471
52,-0.0098630721998535
53,-0.0098143895116563
54,-0.009757544086542
55,-0.0096942035560523
56,-0.0096263412946414
57,-0.0095561467576042
58,-0.0094859233631889
59,-0.0094179771029584
60,-0.009354511651976
61,-0.0092975493800663
62,-0.0092488719964251
63,-0.0092099731077891
64,-0.0091820193888918
65,-0.009165812365489
66,-0.0091617577984782
67,-0.00916985389912
68,-0.0091896977412339
69,-0.0092205100039257
70,-0.0092611744579528
71,-0.0093102845885507
72,-0.0093661978618469
73,-0.0094270982957947
74,-0.0094910660851461
75,-0.0095561539274677
76,-0.0096204634968561
77,-0.0096822160687578
78,-0.0097398149082288
79,-0.0097918966225561
80,-0.0098373763314309
81,-0.0098754902980806
82,-0.0099058302585993
83,-0.0099283658181173
84,-0.0099434464004559
85,-0.0099517744654137
86,-0.0099543604797074
87,-0.0099524697376463
88,-0.0099475657444657
89,-0.0099412596130974
90,-0.0099352585738363
91,-0.0099313037422659
92,-0.0099311083879961
93,-0.0099363017217131
94,-0.0099483798791979
95,-0.0099686729426247
96,-0.0099983122697954
97,-0.0100381838644394
98,-0.0100888844661027
99,-0.0101506904957405
100,-0.0102235532257524
101,-0.0103071397344253
102,-0.0104008977573091
103,-0.0105041190120764
104,-0.010616004358532
105,-0.0107357218438536
106,-0.0108624609342825
107,-0.0109954987092638
108,-0.0111342489751328
109,-0.0112782721409131
110,-0.0114272620085664
111,-0.0115810134980648
112,-0.0117393975957727
113,-0.0119023779341173
114,-0.0120700373038266
115,-0.0122425835810808
116,-0.0124203359179599
117,-0.0126036743727236
118,-0.0127929755904224
119,-0.0129885738804123
120,-0.0131907186189047
121,-0.0133995126656413
122,-0.0136148521592392
123,-0.0138363655542902
