,Volt
0,-0.0037965846829688
1,-0.0038004888482235
2,-0.0038227084133195
3,-0.0038631831417062
4,-0.0039215217646978
5,-0.0039970117364088
6,-0.0040886431450708
7,-0.004195139733028
8,-0.0043149950581615
9,-0.0044465086418579
10,-0.004587824309759
11,-0.0047369757914774
12,-0.0048919338157216
13,-0.0050506507541753
14,-0.0052111025917326
15,-0.005371324922009
16,-0.0055294477024244
17,-0.00568373422688
18,-0.0058326183785501
19,-0.0059747354342986
20,-0.0061089424338502
21,-0.0062343220984394
22,-0.0063501752404394
23,-0.0064560087436461
24,-0.0065515186821114
25,-0.0066365705878498
26,-0.006711176863539
27,-0.0067754684028516
28,-0.0068296662197355
29,-0.0068740583485657
30,-0.0069089805294396
31,-0.0069348009291279
32,-0.0069519054522724
33,-0.006960678768459
34,-0.006961485522768
35,-0.0069546563615705
36,-0.0069404802451164
37,-0.0069192061167084
38,-0.0068910509189919
39,-0.0068562088760996
40,-0.0068148632058046
41,-0.0067672001778538
42,-0.0067134247829391
43,-0.0066537792021541
44,-0.0065885598150139
45,-0.0065181285255372
46,-0.0064429198241564
47,-0.0063634442100363
48,-0.00628029037456
49,-0.0061941295831447
50,-0.0061057191088199
51,-0.006015901308483
52,-0.0059255976139998
53,-0.0058357956201554
54,-0.0057475317806693
55,-0.0056618736752829
56,-0.005579900796201
57,-0.0055026838635801
58,-0.0054312633331057
59,-0.0053666261981868
60,-0.0053096850104677
61,-0.005261262805224
62,-0.0052220821865005
63,-0.0051927577097019
64,-0.0051737891208719
65,-0.0051655519481968
66,-0.0051682889177737
67,-0.0051821058795998
68,-0.0052069722711804
69,-0.0052427277026956
70,-0.0052890923313121
71,-0.0053456768495968
72,-0.0054119945406218
73,-0.0054874766343487
74,-0.0055714889526165
75,-0.0056633499160394
76,-0.0057623453503615
77,-0.0058677351291915
78,-0.0059787554546419
79,-0.0060946201128774
80,-0.0062145224343287
81,-0.0063376418714273
82,-0.0064631520906611
83,-0.0065902259189877
84,-0.0067180400540803
85,-0.0068457804743482
86,-0.0069726484704217
87,-0.0070978699318199
88,-0.0072207031839962
89,-0.0073404406377961
90,-0.0074564087588961
91,-0.0075679692561434
92,-0.0076745244455147
93,-0.0077755318616997
94,-0.0078705230428971
95,-0.0079591198843905
96,-0.008041049862794
97,-0.0081161586883904
98,-0.0081844200639361
99,-0.0082459455608961
100,-0.0083009883564455
101,-0.008349935279089
102,-0.0083932913894838
103,-0.0084316593416997
104,-0.0084657179936012
105,-0.0084962072022141
106,-0.0085239138322472
107,-0.0085496531252808
108,-0.0085742474203918
109,-0.0085985011555773
110,-0.0086231747003205
111,-0.0086489631474317
112,-0.008676475198331
113,-0.008706208343564
114,-0.0087385253844613
115,-0.0087736342585984
116,-0.0088115769779645
117,-0.0088522353710366
118,-0.008895347251999
119,-0.0089405257720516
120,-0.00898728159075
121,-0.0090350437782674
122,-0.0090831808864844
123,-0.009131027247326
124,-0.0091779076502775
125,-0.0092231551834786
126,-0.0092661250665463
127,-0.0093062040542568
128,-0.0093428207840881
129,-0.009375464502133
130,-0.0094037054037651
131,-0.0094272099355747
132,-0.0094457505821028
133,-0.0094592061401384
134,-0.0094675562164131
135,-0.009470877402999
136,-0.0094693362836456
137,-0.0094631765332718
138,-0.0094527040569348
139,-0.0094382702038995
140,-0.009420260073761
141,-0.0093990943795285
142,-0.0093752381539319
143,-0.0093492097461245
144,-0.009321588534364
145,-0.0092930157790056
146,-0.0092641918793278
147,-0.0092358767301308
148,-0.0092088872413684
149,-0.0091840885627112
150,-0.0091623812528427
151,-0.0091446826980494
152,-0.0091319095329943
153,-0.0091249692608824
154,-0.0091247543338076
155,-0.0091321329982621
156,-0.0091479353245891
157,-0.0091729291500827
158,-0.009207791512029
159,-0.0092530845416226
160,-0.0093092319920027
161,-0.0093764954594923
162,-0.00945495344087
163,-0.0095444818324775
164,-0.0096447440217291
165,-0.0097551993762509
166,-0.0098751232730093
167,-0.0100036328202104
168,-0.0101397148495924
169,-0.0102822486501906
170,-0.0104300278260583
171,-0.0105817885282529
172,-0.0107362386196306
173,-0.0108920854598939
174,-0.0110480623385117
175,-0.0112029491068786
176,-0.0113555935250172
177,-0.0115049404221947
178,-0.0116500612832301
179,-0.0117901789746179
180,-0.011924683518992
181,-0.0120531314137437
182,-0.0121752347929265
183,-0.0122908495776805
184,-0.0123999599255391
185,-0.0125026599277611
186,-0.0125991339949035
187,-0.0126896327029093
188,-0.012774452546823
189,-0.0128539279332358
190,-0.0129284296892437
191,-0.0129983664515643
192,-0.0130641846470093
193,-0.0131263591267606
194,-0.0131853804323947
195,-0.0132417466689038
196,-0.0132959568771841
197,-0.0133485063357231
198,-0.0133998827818959
199,-0.0134505580393692
200,-0.0135009817361513
201,-0.0135515834046776
202,-0.0136027769492462
203,-0.0136549643310275
204,-0.013708533376931
205,-0.0137638417605748
206,-0.0138211941011933
207,-0.0138808209427719
208,-0.0139428587583613
209,-0.0140073339137553
210,-0.0140741503371745
211,-0.014143076279311
212,-0.0142137376868084
213,-0.0142856246818194
214,-0.0143581067468675
215,-0.01443045484921
216,-0.0145018649542697
217,-0.0145714746016759
218,-0.0146383781211025
219,-0.0147016469168938
220,-0.0147603534992764
221,-0.0148136011724327
222,-0.014860556093635
223,-0.0149004746136378
224,-0.014932730009243
225,-0.0149568416007162
226,-0.0149725018724444
227,-0.0149796002985334
228,-0.0149782379922679
229,-0.0149687257559221
230,-0.0149515705989051
231,-0.0149274565521805
232,-0.014897221069461
233,-0.0148618312576862
234,-0.0148223586171699
235,-0.0147799481704542
236,-0.0147357863339592
237,-0.0146910709249606
238,-0.014646982755029
239,-0.014604660495263
240,-0.0145651762941557
241,-0.0145295083488172
242,-0.014498513903407
243,-0.0144729061615956
244,-0.0144532364823717
245,-0.0144398845776314
246,-0.0144330555600471
247,-0.0144327808072784
248,-0.0144389231459871
249,-0.0144511865244191
250,-0.0144691291347261
251,-0.0144921799526466
252,-0.0145196576510122
253,-0.0145507899194588
254,-0.0145847325318842
255,-0.0146205880419297
256,-0.0146574228921744
257,-0.0146942820611557
258,-0.0147302023631172
259,-0.0147642247804357
260,-0.014795404976665
261,-0.0148228224916762
262,-0.0148455873078722
263,-0.0148628418243468
264,-0.0148737614920489
265,-0.0148775560214227
266,-0.0148734688628002
267,-0.0148607746564468
