,Volt
0,-0.0142397490164074
1,-0.0142231403288657
2,-0.0142367639052407
3,-0.0142808981929837
4,-0.0143549483150696
5,-0.0144574729687565
6,-0.0145862571283392
7,-0.0147384062544124
8,-0.0149104567206595
9,-0.0150984866153165
10,-0.0152982331488092
11,-0.0155052328854145
12,-0.0157149650431471
13,-0.015922983482029
14,-0.0161250378168192
15,-0.0163171742584853
16,-0.0164958313577311
17,-0.0166579489734885
18,-0.016801070998931
19,-0.0169234255163184
20,-0.0170239708522552
21,-0.0171023891808027
22,-0.0171590428213597
23,-0.0171949160759647
24,-0.0172115403898556
25,-0.0172109079111819
26,-0.0171953752028785
27,-0.0171675494216017
28,-0.0171301752886682
29,-0.0170860405562303
30,-0.0170378949242073
31,-0.0169883819040779
32,-0.016939974974637
33,-0.0168949041868462
34,-0.0168550858971291
35,-0.0168220700902026
36,-0.0167970081800792
37,-0.0167806484280745
38,-0.0167733526855675
39,-0.0167751214835051
40,-0.0167856305582625
41,-0.0168042799472213
42,-0.0168302521183137
43,-0.0168625798962972
44,-0.0169002149601356
45,-0.016942086286506
46,-0.0169871497859395
47,-0.0170344301875769
48,-0.0170830575848967
49,-0.0171323031006874
50,-0.0171816093999565
51,-0.017230610386966
52,-0.0172791370990024
53,-0.0173272070104021
54,-0.0173750000307904
55,-0.0174228260355993
56,-0.0174710870398362
57,-0.0175202374272265
58,-0.0175707399121879
59,-0.0176230147988552
60,-0.0176773852677186
61,-0.0177340198893423
62,-0.0177928779959451
63,-0.0178536650465628
64,-0.0179157945539264
65,-0.0179783555345101
66,-0.0180400894171483
67,-0.0180993768599641
68,-0.0181542446610119
69,-0.0182024019639385
70,-0.0182412968384484
71,-0.0182681856498938
72,-0.018280207741033
73,-0.0182744538779621
74,-0.0182480358351289
75,-0.0181981664820222
76,-0.0181222436559645
77,-0.018017936351964
78,-0.0178832677471752
79,-0.0177166833487564
80,-0.017517113965939
81,-0.0172840412080142
82,-0.0170175541422937
83,-0.0167183915910645
84,-0.0163879569794134
85,-0.0160282895536892
86,-0.0156420063772792
87,-0.0152322314668282
88,-0.014802514740896
89,-0.0143567512142808
90,-0.0138990967456644
91,-0.0134338694062182
92,-0.0129654517849417
93,-0.0124982054170624
94,-0.0120363941865912
95,-0.0115841208402568
96,-0.0111452646058572
97,-0.0107234046440546
98,-0.0103217449326281
99,-0.0099430546116553
100,-0.009589628973634
101,-0.0092632830110684
102,-0.0089653668961607
103,-0.0086967855302653
104,-0.0084580289358313
105,-0.0082492146406733
106,-0.0080701366579138
107,-0.0079203241510756
108,-0.0077990936301942
109,-0.0077055772773104
110,-0.0076387379838093
111,-0.0075973795051766
112,-0.0075801577023687
113,-0.0075856058219919
114,-0.0076121642911268
115,-0.0076582006987821
116,-0.0077220261779972
117,-0.0078019093033451
118,-0.0078960878353162
119,-0.0080027863039443
120,-0.0081202291618913
121,-0.0082466386503279
122,-0.0083802272421621
123,-0.0085191910307249
124,-0.0086617108648897
125,-0.0088059729649869
126,-0.0089502002713839
127,-0.0090926820215183
128,-0.0092318041110439
129,-0.0093660779023195
130,-0.009494166556984
131,-0.009614914273927
132,-0.0097273686912558
133,-0.0098307867994139
134,-0.0099246306297734
135,-0.0100085562584953
136,-0.0100824012134617
137,-0.010146179706826
138,-0.0102000796926682
139,-0.0102444534386855
140,-0.0102798047544412
141,-0.0103067724046933
142,-0.0103261107809536
143,-0.0103386736717731
144,-0.0103453954268011
145,-0.0103472637915203
146,-0.0103452901782287
147,-0.0103404806374058
148,-0.0103338118484724
149,-0.0103262193811763
150,-0.0103185933096822
151,-0.0103117742773422
152,-0.0103065516847599
153,-0.0103036626373081
154,-0.0103037912727715
155,-0.0103075717614313
156,-0.0103155893583369
157,-0.0103283740021324
158,-0.0103463903195608
159,-0.010370026237329
160,-0.0103995832703157
161,-0.0104352740848586
162,-0.0104772237518716
163,-0.0105254697465944
164,-0.0105799625762358
165,-0.0106405666726819
166,-0.0107070621064403
167,-0.0107791504042532
168,-0.0108564605818154
169,-0.0109385516093125
170,-0.0110249143897891
171,-0.0111149747632645
172,-0.0112081002432748
173,-0.0113036147499869
174,-0.011400817649313
