,Volt
0,-0.0187400211530819
1,-0.0188059760779369
2,-0.0188127796181676
3,-0.0187594028677449
4,-0.0186470116457338
5,-0.0184788867190188
6,-0.0182602192110828
7,-0.0179978552259059
8,-0.0176999989486294
9,-0.0173759152896101
10,-0.0170356171294534
11,-0.016689490759449
12,-0.0163479228276981
13,-0.0160209769343831
14,-0.0157181097172109
15,-0.0154479452097807
16,-0.0152180587622466
17,-0.0150347092973034
18,-0.0149025815039484
19,-0.014824592737295
20,-0.0148017909206052
21,-0.0148333942504469
22,-0.0149169266373764
23,-0.0150483761203389
24,-0.0152223950659798
25,-0.0154325379060484
26,-0.0156715229142417
27,-0.0159315369204755
28,-0.0162045187959509
29,-0.0164823569826025
30,-0.0167570336113946
31,-0.017020734913743
32,-0.0172659577868081
33,-0.017485665384268
34,-0.0176734474241149
35,-0.0178236290230387
36,-0.0179313375537682
37,-0.0179925165150553
38,-0.0180039015759931
39,-0.0179630027315998
40,-0.0178680594503476
41,-0.0177179409490221
42,-0.0175120224063777
43,-0.0172500488617442
44,-0.0169320257733442
45,-0.0165581882644979
46,-0.0161290157326553
47,-0.0156452526209931
48,-0.0151079322378391
49,-0.0145183804220502
50,-0.0138782119099145
51,-0.013189352451366
52,-0.0124540583907403
53,-0.0116749125233044
54,-0.0108548070239642
55,-0.0099969074569422
56,-0.00910462258617
57,-0.0081816138544384
58,-0.0072318182133773
59,-0.0062594587565834
60,-0.005269037290318
61,-0.0042652892378384
62,-0.0032531158421027
63,-0.0022375228887079
64,-0.0012235526161125
65,-0.0002162026783918
66,0.00077965769182
67,0.0017593778728771
68,0.0027186008448752
69,0.0036532966250126
70,0.0045597707707086
71,0.0054346635323171
72,0.0062749446706167
73,0.0070779200642922
74,0.00784124135983
75,0.0085629008094065
76,0.0092412235733256
77,0.0098748644157407
78,0.0104628046729978
79,0.0110043549409587
80,0.0114991509172586
81,0.0119471259956783
82,0.0123484737060076
83,0.0127036115144321
84,0.0130131492398564
85,0.0132778728414587
86,0.0134987362887199
87,0.013676847458408
88,0.0138134560585513
89,0.013909947357505
90,0.0139678366715868
91,0.0139887668869422
92,0.0139744980212987
93,0.01392687543678
94,0.0138477872652649
95,0.0137391209260958
96,0.0136027220571825
97,0.0134403654380675
98,0.0132537333701529
99,0.0130443918120873
100,0.0128137726037058
101,0.0125631664724804
102,0.0122937243030289
103,0.0120064695524203
104,0.011702312610925
105,0.0113820559682722
106,0.0110463982305468
107,0.0106959436142792
108,0.010331219553223
109,0.0099527093833553
110,0.0095608925548569
111,0.0091562809757338
112,0.0087394544444052
113,0.0083110947088171
114,0.0078720159257623
115,0.0074231942924257
116,0.0069657873274438
117,0.0065011334163585
118,0.0060307373194431
119,0.0055562457232102
120,0.0050794187837895
121,0.0046021069163193
122,0.0041262272023012
123,0.0036537322238278
124,0.0031865733100621
125,0.0027266571941839
126,0.0022758006264252
127,0.0018356912351777
128,0.0014078507939646
129,0.0009935983616383
130,0.0005940169919366
131,0.0002099245554062
132,-0.000158143485526
133,-0.0005099310953574
134,-0.0008454438334339
135,-0.0011649213556225
136,-0.001468805016102
137,-0.0017577079069497
138,-0.0020323828687079
139,-0.002293682483699
140,-0.0025425135780343
141,-0.0027797864310322
142,-0.0030063633317234
143,-0.0032230142076949
144,-0.0034303757351929
145,-0.0036289117286331
146,-0.0038188785939008
147,-0.0040002966124176
148,-0.0041729353930685
149,-0.0043363218229527
150,-0.0044897644754186
151,-0.0046323888222398
152,-0.0047631777405117
153,-0.0048810090253935
154,-0.004984695103087
155,-0.005073031642848
156,-0.0051448517681613
157,-0.0051990855460704
158,-0.0052348195834491
159,-0.0052513478144209
160,-0.0052482183510622
161,-0.0052252795760154
162,-0.0051827200920677
163,-0.0051211009120478
164,-0.0050413700767662
165,-0.0049448493795639
166,-0.0048332012307384
167,-0.0047083836447258
168,-0.0045725987127294
169,-0.0044282438522921
170,-0.0042778605034617
171,-0.0041240722721838
172,-0.0039695183495526
173,-0.0038167845651315
174,-0.0036683359698046
175,-0.0035264595519986
176,-0.0033932103584947
177,-0.0032703551899788
178,-0.0031593216480181
179,-0.0030611566443587
180,-0.0029765040264283
181,-0.0029056127651658
182,-0.0028483664184342
183,-0.0028043232657492
184,-0.0027727638071207
185,-0.0027527376624129
186,-0.0027431136184737
187,-0.0027426406536366
188,-0.0027500114105691
189,-0.0027639225262643
190,-0.0027831307345819
191,-0.002806498923754
192,-0.0028330396709994
193,-0.0028619644131825
194,-0.0028927291095493
195,-0.0029250696197341
196,-0.0029590196066459
197,-0.0029949008845371
198,-0.003033294906149
199,-0.0030750069662534
200,-0.0031210234232337
201,-0.0031724665369445
202,-0.0032305459522971
203,-0.0032965011158886
204,-0.0033715444172837
205,-0.0034568132662487
206,-0.0035533291946084
207,-0.0036619656831214
208,-0.0037834181486511
209,-0.0039181674077636
210,-0.0040664452838888
211,-0.0042282105815788
212,-0.0044031387351323
213,-0.0045906316806872
214,-0.0047898417171158
215,-0.0049996992238272
216,-0.0052189466952754
217,-0.0054461786302272
218,-0.0056798852653087
219,-0.0059185024252293
220,-0.0061604586471871
221,-0.006404210589628
222,-0.0066482706493472
223,-0.0068912290660466
224,-0.0071317744010741
225,-0.0073687192547604
226,-0.0076010250877546
227,-0.0078278185204348
228,-0.0080483998431696
229,-0.0082622419100315
230,-0.0084689817359234
231,-0.0086684109657861
232,-0.0088604614213448
233,-0.0090451826940744
234,-0.0092227157592105
235,-0.0093932640447885
236,-0.0095570672186084
237,-0.0097143846351363
238,-0.0098654847572683
239,-0.0100106361732631
240,-0.0101501001149784
241,-0.0102841218297911
242,-0.0104129224991243
243,-0.0105366959764696
244,-0.0106556072774994
245,-0.0107697903733533
246,-0.010879346943669
247,-0.0109843455805104
248,-0.0110848236264299
249,-0.0111807953124084
250,-0.0112722630184357
251,-0.011359228166433
252,-0.011441702015135
253,-0.0115197147063452
254,-0.011593322596566
255,-0.0116626161216752
256,-0.0117277252816422
257,-0.0117888200746576
258,-0.0118461086460839
259,-0.0118998344270077
260,-0.0119502733742685
261,-0.0119977344093985
262,-0.01204256033761
263,-0.0120851254433861
264,-0.0121258324963909
265,-0.0121651098290335
266,-0.0122034069392653
267,-0.0122411898222931
268,-0.0122789315759201
269,-0.0123170935525314
270,-0.0123561027349165
271,-0.0123963300016446
272,-0.0124380711510334
273,-0.0124815356827193
274,-0.0125268402096751
275,-0.0125740011177715
276,-0.0126229321069678
277,-0.0126734492091052
278,-0.0127252813422139
279,-0.012778088242464
280,-0.0128314780415657
281,-0.0128850160190171
282,-0.0129382321317737
283,-0.0129906330171641
284,-0.0130417206143028
285,-0.013091023667889
286,-0.0131381340425201
287,-0.0131827364003664
288,-0.0132246358178067
289,-0.013263783541402
290,-0.0133002974422418
291,-0.0133344798003935
292,-0.0133668204408581
293,-0.0133979734293097
294,-0.0134287175881858
295,-0.0134599087298006
296,-0.0134924303053481
297,-0.0135271549278014
298,-0.0135649085637913
299,-0.0136064258491849
300,-0.0136523044243606
301,-0.0137029603202847
302,-0.0137585862934403
303,-0.0138191224771427
304,-0.0138842276833394
305,-0.0139532401818497
306,-0.0140251408605245
307,-0.0140985265805617
308,-0.0141716032294742
309,-0.0142422134369457
310,-0.014307885222893
311,-0.0143658839468238
312,-0.0144132706488822
313,-0.0144469619375806
314,-0.0144637908535829
315,-0.01446057711119
316,-0.0144341891489981
317,-0.0143815824893359
318,-0.0142998248705986
319,-0.0141861127104264
320,-0.0140377901876178
321,-0.013852388814732
322,-0.013627672339161
323,-0.0133616696114245
324,-0.0130526992681325
325,-0.0126993814625192
326,-0.0123006423984941
327,-0.0118557272556103
328,-0.0113642065115616
329,-0.0108259639708254
330,-0.0102411792022067
331,-0.0096103085486155
332,-0.0089340803196137
333,-0.0082135250024989
334,-0.0074500219421541
335,-0.0066453420296008
336,-0.0058016849045238
337,-0.0049216989372954
338,-0.0040084891351917
339,-0.0030656281993987
340,-0.0020971523366594
341,-0.0011075287601673
342,-0.000101603359744
343,0.0009154719943863
344,0.0019383144297617
345,0.0029613641769896
346,0.0039789351231695
347,0.0049852780281554
348,0.0059746581673497
349,0.0069414586157294
350,0.0078802944027248
351,0.0087861133133731
352,0.009654293169134
353,0.0104807387472933
354,0.0112619692724421
355,0.0119951986580747
356,0.0126783865791928
357,0.0133102369299758
358,0.0138901604617762
359,0.0144182164918273
360,0.0148950439708464
361,0.0153218018773714
362,0.0157001076318158
363,0.0160319556356513
364,0.0163196275868743
365,0.0165655989629396
366,0.0167724456359137
367,0.0169427649225554
368,0.0170790973856169
369,0.0171838356149239
370,0.0172591353111318
371,0.0173068382387648
372,0.0173284209884418
373,0.0173249889839846
374,0.017297301162878
375,0.0172458062917892
376,0.01717069008645
377,0.0170719246102895
378,0.0169493223227729
379,0.0168026054071465
380,0.0166314755081281
381,0.016435671423159
382,0.0162150177182605
383,0.0159694613406287
384,0.0156991062489713
385,0.015404259577313
386,0.0150854771603268
387,0.0147435966576325
388,0.0143797530832846
389,0.0139953670026029
390,0.0135921139625753
391,0.0131718891263617
392,0.0127367646797968
393,0.0122889412752825
394,0.0118306948251845
395,0.0113643145907134
396,0.0108920436230723
397,0.0104160323834394
398,0.0099383024243928
399,0.0094607194011264
400,0.0089849691967183
401,0.0085125283316192
402,0.008044636721692
403,0.0075822813680353
404,0.0071261936398724
405,0.0066768654388219
406,0.0062345778462898
407,0.0057994323348345
408,0.005371386413374
409,0.0049502929366801
410,0.0045359423350574
411,0.0041281107129119
412,0.0037266045452452
413,0.0033312935873996
414,0.0029421350798618
415,0.002559189929141
416,0.0021826373016328
417,0.0018127960234335
418,0.0014501442672819
419,0.0010953292122818
420,0.0007491646959092
421,0.0004126114540848
422,8.67470323454378e-05
423,-0.0002272637443221
424,-0.0005282020559068
425,-0.0008148328098153
426,-0.0010859440282672
427,-0.0013403902745
428,-0.0015771283693412
429,-0.0017952339883328
430,-0.0019939070869947
431,-0.0021724716161021
432,-0.0023303761946428
433,-0.0024672069064578
434,-0.0025827024673174
435,-0.0026767598807458
436,-0.0027494345828331
437,-0.0028009335601384
438,-0.0028316051687325
439,-0.0028419360113849
440,-0.0028325439426558
441,-0.0028041584150242
442,-0.0027575977297689
443,-0.0026937469124761
444,-0.0026135478056586
445,-0.0025180165734176
446,-0.0024082745115396
447,-0.002285576763761
448,-0.0021513377133745
449,-0.0020071441308472
450,-0.001854760715652
451,-0.0016961400861831
452,-0.0015334227769545
453,-0.0013689174068412
454,-0.0012050673221745
455,-0.0010444025535165
456,-0.0008894922020036
457,-0.0007429158943835
458,-0.0006072391957423
459,-0.0004849795248682
460,-0.0003785601490885
461,-0.0002902417441763
462,-0.000222044944238
463,-0.0001756850284764
464,-0.0001525097546457
465,-0.0001534379886541
466,-0.0001789066021269
467,-0.0002288226594647
468,-0.0003025412018894
469,-0.0003988898465738
470,-0.0005162234991794
471,-0.0006524951566375
472,-0.0008053328259105
473,-0.0009721030356339
474,-0.0011499729604666
475,-0.0013359893739067
476,-0.0015271619440339
477,-0.0017205466332353
478,-0.0019133264623968
479,-0.0021028757017319
480,-0.0022868239300984
481,-0.002463136357029
482,-0.0026301920647196
483,-0.0027868485685344
484,-0.0029324788410422
485,-0.0030669593984193
486,-0.0031906276758807
487,-0.0033042326325819
488,-0.0034088752734592
489,-0.0035059460917875
490,-0.0035970594968238
491,-0.0036839735563943
492,-0.0037685172981755
493,-0.0038525452683257
494,-0.0039379077012657
495,-0.0040264322564671
496,-0.0041199031364864
497,-0.0042200155563342
498,-0.0043283242867818
499,-0.0044462072969146
500,-0.0045748419017897
501,-0.0047152007826761
502,-0.0048680598104901
503,-0.0050339980589592
504,-0.0052134057862835
505,-0.0054065119346114
506,-0.0056134178455936
507,-0.0058341339699674
508,-0.0060686009096026
509,-0.0063166707679193
510,-0.006578068253616
511,-0.006852352291028
512,-0.007138880868636
513,-0.0074367930201467
514,-0.0077450006061009
515,-0.0080621721318232
516,-0.0083867267617897
517,-0.0087168506313119
518,-0.0090505280534213
519,-0.0093855905416458
520,-0.0097197649217198
521,-0.010050697069901
522,-0.010375969950443
523,-0.0106931325953703
524,-0.0109997435879645
525,-0.0112934426824096
526,-0.0115720351806036
527,-0.0118335641048868
528,-0.0120763807494606
529,-0.012299216558356
530,-0.0125012477989108
531,-0.0126821567298271
532,-0.0128421664343497
533,-0.0129820249389892
