,Volt
0,-0.0060318875657832
1,-0.0060448112261834
2,-0.0060402951096783
3,-0.0060180971440379
4,-0.0059785260472315
5,-0.005922426369843
6,-0.0058511339067829
7,-0.0057664145905826
8,-0.0056703940996437
9,-0.0055654918389656
10,-0.005454351474791
11,-0.0053397555079712
12,-0.0052245338678901
13,-0.0051114712494342
14,-0.00500321765343
15,-0.0049022139917017
16,-0.0048106216089549
17,-0.0047302453269993
18,-0.0046624627658089
19,-0.0046081674670744
20,-0.0045677394435816
21,-0.0045410603319515
22,-0.0045275586270639
23,-0.0045262677286154
24,-0.0045358937623759
25,-0.0045548827238582
26,-0.0045814913667816
27,-0.0046138733261036
28,-0.0046501657410019
29,-0.0046885657265025
30,-0.0047273979316696
31,-0.0047651672170341
32,-0.0048006086577499
33,-0.0048327493634725
34,-0.0048609669376441
35,-0.0048850319220534
36,-0.004905126219569
37,-0.0049218237312182
38,-0.004936045894718
39,-0.0049490108104964
40,-0.0049621724940679
41,-0.0049771532290597
42,-0.0049956711413619
43,-0.0050194567890677
44,-0.0050501755663827
45,-0.0050893719563844
46,-0.0051384279216491
47,-0.0051985320197175
48,-0.0052706504057799
49,-0.005355485237124
50,-0.0054534333520514
51,-0.0055645603030996
52,-0.005688588455133
53,-0.00582490381952
54,-0.0059725762591603
55,-0.0061303797770911
56,-0.0062968218151199
57,-0.0064701881928979
58,-0.0066485950792158
59,-0.006830045456133
60,-0.0070124781899652
61,-0.0071937943000226
62,-0.0073718703777064
63,-0.0075445702591106
64,-0.0077097558164256
65,-0.0078653040596431
66,-0.0080091263685565
67,-0.0081391795350361
68,-0.0082534773982278
69,-0.0083501094042965
70,-0.0084272618141862
71,-0.0084832428254299
72,-0.0085165036868287
73,-0.0085256446621569
74,-0.0085094147605607
75,-0.0084667140852545
76,-0.0083965992151648
77,-0.0082982971781732
78,-0.0081712239114074
79,-0.0080149976863355
80,-0.0078294539301212
81,-0.0076146656535509
82,-0.0073709635988341
83,-0.0070989552701204
84,-0.0067995355117901
85,-0.0064738783288618
86,-0.0061234180243107
87,-0.0057498285248781
88,-0.0053550001499605
89,-0.0049410184024212
90,-0.004510143672305
91,-0.0040647854497285
92,-0.0036074799876398
93,-0.0031408786533343
94,-0.0026677407058489
95,-0.0021909283327621
96,-0.0017133975702704
97,-0.0012381747877929
98,-0.0007683269642491
99,-0.0003069352224982
100,0.000142931576989
101,0.000578240960769
102,0.0009960205468358
103,0.001393389032153
104,0.0017675846236244
105,0.0021159825020798
106,0.0024361096605416
107,0.0027256606619658
108,0.0029825217109947
109,0.0032048144801817
110,0.0033909480257717
111,0.0035396650009306
112,0.0036500834769935
113,0.0037217292762783
114,0.0037545591870697
115,0.0037489824698345
116,0.0037058673138748
117,0.0036265212944272
118,0.0035126542453497
119,0.0033663271468274
120,0.0031898977104854
121,0.0029859781927167
122,0.0027573945588979
123,0.0025071349997028
124,0.0022382910065691
125,0.0019539875353406
126,0.0016573093393645
127,0.001351237905634
128,0.0010385894137363
129,0.0007219471629149
130,0.0004035982539107
131,8.547730607961654e-05
132,-0.000230868978665
133,-0.0005442795406618
134,-0.0008539524296664
135,-0.0011594083522746
136,-0.0014604474457507
137,-0.0017571101263191
138,-0.0020496369304376
139,-0.0023384155421551
140,-0.0026239279265465
141,-0.002906706148328
142,-0.0031872942263574
143,-0.003466220606562
144,-0.0037439694066295
145,-0.0040209360277653
146,-0.0042973808599096
147,-0.0045733927587097
148,-0.0048488677046136
149,-0.005123514292814
150,-0.00539687546499
151,-0.0056683499727827
152,-0.0059372193994795
153,-0.0062026808631495
154,-0.0064638821354133
155,-0.0067199638317807
156,-0.0069700933578926
157,-0.0072134752492148
158,-0.0074493480187865
159,-0.0076769744704457
160,-0.0078956337455922
161,-0.0081046294063844
162,-0.0083033026327519
163,-0.0084910364195243
164,-0.0086672553456582
165,-0.0088314193810989
166,-0.0089830157100574
167,-0.0091215600113512
168,-0.0092465957493808
169,-0.0093576818661692
170,-0.0094543779984281
171,-0.009536230555564
172,-0.0096027716872184
173,-0.0096535465745595
174,-0.0096881554837583
175,-0.0097062958358819
176,-0.0097078013646552
177,-0.0096926684919241
178,-0.0096610755888106
179,-0.0096134071719396
180,-0.0095502708723439
181,-0.009472499700169
182,-0.0093811421705894
183,-0.0092774360313076
184,-0.009162779914977
185,-0.0090387187573939
186,-0.0089069303377821
187,-0.0087692033472053
188,-0.0086274000558407
189,-0.0084833909805216
190,-0.0083389767251917
191,-0.0081958167877428
192,-0.0080553628291481
193,-0.0079188009516611
194,-0.0077870030809846
195,-0.0076604789672172
196,-0.0075393471733186
197,-0.0074233403425826
198,-0.0073118353651204
199,-0.0072039047345536
200,-0.0070983732093814
201,-0.0069938590051463
202,-0.006888814876603
203,-0.0067815844892107
204,-0.0066704741719073
205,-0.0065538481115865
206,-0.0064302320580505
207,-0.0062984023362121
208,-0.0061574694519026
209,-0.0060069591087528
210,-0.0058468827056184
211,-0.0056777998831199
212,-0.0055008498433629
213,-0.0053177282621562
214,-0.0051306271542634
215,-0.0049421519552923
216,-0.0047552299741806
217,-0.0045730335121946
218,-0.0043989023441588
219,-0.0042362452946427
220,-0.0040884313842033
221,-0.0039586715859434
222,-0.0038499006952969
223,-0.0037646806983677
224,-0.0037051088565071
225,-0.0036727168681636
226,-0.0036683789726668
227,-0.0036922368802938
228,-0.0037436640798672
229,-0.003821297170985
230,-0.0039231112445675
231,-0.0040465137255134
232,-0.0041884508981948
233,-0.0043455090274212
234,-0.0045140185072508
235,-0.0046901805192151
236,-0.0048701938420413
237,-0.0050503667011928
238,-0.0052272161602845
239,-0.0053975453642443
240,-0.0055585185568655
241,-0.0057077574526409
242,-0.0058434347202124
243,-0.0059643446093197
244,-0.0060699390093671
245,-0.0061603072044479
246,-0.0062361190159809
247,-0.0062985609299175
248,-0.0063492575855909
249,-0.0063901814120609
250,-0.0064235551960885
251,-0.0064517385116167
252,-0.0064771250281651
253,-0.0065020772779149
254,-0.0065288836925962
255,-0.0065597289669751
256,-0.006596664176682
257,-0.0066415528558612
258,-0.0066960126678698
259,-0.0067613773700523
260,-0.0068386732683389
261,-0.0069286144176363
262,-0.0070316105044251
263,-0.0071477680930195
264,-0.0072769025641805
265,-0.0074185755981393
266,-0.0075721423228978
267,-0.0077368014740362
268,-0.0079116307775203
269,-0.0080955828399905
270,-0.008287460093119
271,-0.0084858908043583
272,-0.0086893063452126
273,-0.0088959306236585
274,-0.0091037771088022
275,-0.0093106376455208
276,-0.0095140809403887
277,-0.0097114747538387
278,-0.0099000229434525
279,-0.0100768171037679
280,-0.0102388877056647
281,-0.0103832335610677
282,-0.0105068450999505
283,-0.0106067374414048
284,-0.0106799934055036
285,-0.0107238252180646
286,-0.0107356453778552
287,-0.010713127800427
288,-0.0106542689829731
289,-0.0105574548459948
290,-0.0104215239685657
291,-0.0102458266619816
292,-0.0100302646146395
293,-0.0097752923863227
294,-0.0094818936185351
295,-0.009151545342495
296,-0.0087861740103014
297,-0.008388114799415
298,-0.0079600693027386
299,-0.0075050497820755
300,-0.0070263207667452
301,-0.006527345327881
302,-0.006011733689841
303,-0.0054831984908211
304,-0.0049455082951362
305,-0.004402427840052
306,-0.0038576553526317
307,-0.0033147665464297
308,-0.0027771684350521
309,-0.0022480710604409
310,-0.001730472309576
311,-0.0012271455786973
312,-0.0007406347197133
313,-0.0002732582497869
314,0.0001728811524124
315,0.0005958811122936
316,0.0009940247405683
317,0.001365775591447
318,0.0017097778832845
319,0.0020248571013475
320,0.0023100211319075
321,0.0025644584257428
322,0.0027875340698246
323,0.0029787882952037
324,0.0031379338778129
325,0.0032648490704351
326,0.0033595695667737
327,0.0034222808503755
328,0.003453311741083
329,0.0034531329167003
330,0.0034223584083466
331,0.0033617461630916
332,0.0032722015121108
333,0.0031547852164324
334,0.0030107220824591
335,0.0028414091983301
336,0.0026484191554347
337,0.0024334917145976
338,0.0021985195501621
339,0.0019455336866656
340,0.0016766858907123
341,0.0013942297000909
342,0.0011004984016041
343,0.0007978742813695
344,0.0004887579603115
345,0.000175544804671
346,-0.0001393986996671
347,-0.0004537613233065
