,Volt
0,-0.0005138001239682
1,-0.0005444465775442
2,-0.000539807306839
3,-0.0004993216295891
4,-0.000423592348707
5,-0.0003143498561082
6,-0.0001743533533962
7,-7.264789374979171e-06
8,0.0001824984460676
9,0.0003899107800002
10,0.0006094942100913
11,0.0008355057835835
12,0.00106212702357
13,0.0012836333969812
14,0.0014945463341922
15,0.0016897560565859
16,0.0018646391015363
17,0.0020151992625239
18,0.0021382023713492
19,0.0022312799133709
20,0.0022929854805605
21,0.002322777080749
22,0.0023209495505316
23,0.0022885529231967
24,0.002227290854
25,0.002139405257783
26,0.0020275500763646
27,0.0018946416283847
28,0.0017437169610502
29,0.0015778297827818
30,0.001399971225018
31,0.0012130109191487
32,0.0010196405606878
33,0.0008222926856193
34,0.0006230589659153
35,0.0004236352283026
36,0.0002252942872564
37,2.88981784401477e-05
38,-0.0001650635343664
39,-0.0003564360995783
40,-0.0005453487039694
41,-0.0007321423971364
42,-0.0009172882800075
43,-0.0011012957436889
44,-0.0012846354011245
45,-0.001467704773105
46,-0.0016508197391555
47,-0.0018342159295566
48,-0.0020180514978415
49,-0.0022023924269825
50,-0.0023871946134342
51,-0.0025723046456492
52,-0.0027574691461442
53,-0.0029423498089389
54,-0.0031265417779654
55,-0.003309581804383
56,-0.0034909622428212
57,-0.0036701669015338
58,-0.0038467138532399
59,-0.0040201963893242
60,-0.0041903078974856
61,-0.004356830267924
62,-0.004519601937959
63,-0.0046784856882714
64,-0.0048333362638998
65,-0.004983976414234
66,-0.0051301770531492
67,-0.0052716280176116
68,-0.0054079153498361
69,-0.0055385174428348
70,-0.0056628140511206
71,-0.0057801095854671
72,-0.0058896560442087
73,-0.0059906569479784
74,-0.006082267029006
75,-0.0061636013795753
76,-0.0062337580044021
77,-0.0062918648693776
78,-0.0063371387051873
79,-0.0063689357409657
80,-0.00638680092977
81,-0.0063905163113712
82,-0.0063801442754046
83,-0.0063560705181302
84,-0.006319028873844
85,-0.0062700903136436
86,-0.0062106282128957
87,-0.0061422686678291
88,-0.0060668367246169
89,-0.0059863162457982
90,-0.0059028112838522
91,-0.0058184933962777
92,-0.0057355407402621
93,-0.0056560678041473
94,-0.0055820526869651
95,-0.0055152776408889
96,-0.0054572713782446
97,-0.0054092439947858
98,-0.0053720261774565
99,-0.0053460171481787
100,-0.0053311567782434
101,-0.005326940964559
102,-0.0053324651578538
103,-0.0053464793633778
104,-0.0053674508057978
105,-0.0053936221410618
106,-0.0054230710305763
107,-0.0054537843584238
108,-0.0054837329215172
109,-0.005510937069941
110,-0.0055335251745454
111,-0.0055497787115623
112,-0.0055581766033386
113,-0.005557454065251
114,-0.0055466606039883
115,-0.0055252043720241
116,-0.0054928759177948
117,-0.0054498377844433
118,-0.0053965917711473
119,-0.0053339422234735
120,-0.0052629500629487
121,-0.0051848785534724
122,-0.0051011344749977
123,-0.0050131996540899
124,-0.0049225691907258
125,-0.0048307130667622
126,-0.0047390513688238
127,-0.0046489367292618
128,-0.0045616368189558
129,-0.0044783030195664
130,-0.0043999362957516
131,-0.0043273651533297
132,-0.0042612308722075
133,-0.0042019809997765
134,-0.0041498693288011
135,-0.0041049524293132
136,-0.0040670932651304
137,-0.0040359820602948
138,-0.0040111640397255
139,-0.0039920683187718
140,-0.0039780295228136
141,-0.0039682886113254
142,-0.0039619828255034
143,-0.0039581380696345
144,-0.0039556610938222
145,-0.0039533348081228
146,-0.003949817013563
147,-0.003943635616254
148,-0.0039331913563714
149,-0.0039167785201379
150,-0.0038926156772669
151,-0.0038588822334923
152,-0.003813754468669
153,-0.0037554294245014
154,-0.003682144290034
155,-0.0035922016139133
156,-0.0034839955768854
157,-0.0033560396224151
158,-0.0032069946775665
159,-0.0030356907132768
160,-0.0028411501688004
161,-0.0026226218265085
162,-0.0023796158460526
163,-0.0021119342960952
164,-0.0018196918819426
165,-0.0015033166784131
166,-0.0011635389107937
167,-0.0008013793670878
168,-0.0004181329557008
169,-1.534807228324695e-05
170,0.0004051955494147
171,0.0008415144403504
172,0.0012914433940645
173,0.0017526404859196
174,0.0022225845937822
175,0.0026985723933009
176,0.0031777195755195
177,0.0036569768850003
178,0.0041331539126007
179,0.0046029396862232
180,0.0050629272895563
181,0.0055096446366059
182,0.0059395897765013
183,0.0063492757252739
184,0.0067352735561149
185,0.0070942415993102
186,0.0074229510751961
187,0.007718315350391
188,0.0079774272048564
189,0.0081976141061647
190,0.0083765008935262
191,0.0085120647517432
192,0.0086026870050363
193,0.0086472007139177
194,0.0086449304284557
195,0.0085957280750793
196,0.008499991129369
197,0.00835864929036
198,0.0081731301934948
199,0.0079453120706208
200,0.0076774707884154
201,0.0073722350024655
202,0.0070325413102922
203,0.0066615775590509
204,0.0062627215574636
205,0.0058394769578013
206,0.0053954086227076
207,0.0049340870789
208,0.0044590323541641
209,0.0039736475780614
210,0.0034811534090198
211,0.0029845301085931
212,0.0024864759465002
213,0.001989395179781
214,0.0014954054372719
215,0.0010063507938255
216,0.000523822202708
217,4.918113355271751e-05
218,-0.0004164137957756
219,-0.0008719706983046
220,-0.0013166306176131
221,-0.0017496468970484
222,-0.0021703719622282
223,-0.0025782495686464
224,-0.0029728058647409
225,-0.0033536283062679
226,-0.0037203411946094
227,-0.0040725882619992
228,-0.0044100211343169
229,-0.0047322969423355
230,-0.0050390820954824
231,-0.0053300536202811
232,-0.0056049044553622
233,-0.0058633579110133
234,-0.006105185544277
235,-0.0063302265903837
236,-0.0065384020304914
237,-0.0067297136423819
238,-0.0069042343850289
239,-0.0070620976914916
240,-0.0072034857201927
241,-0.0073286205454579
242,-0.0074377567721318
243,-0.0075311699709991
244,-0.0076091466922172
245,-0.0076719808070088
246,-0.0077199732007244
247,-0.0077534347299694
248,-0.0077726883502149
249,-0.0077780639845335
250,-0.0077698907792694
251,-0.0077484919581631
252,-0.0077141817695342
253,-0.007667266746043
254,-0.0076080498020937
255,-0.0075368326093695
256,-0.007453919790989
257,-0.0073596278204888
258,-0.0072542953862916
259,-0.0071382942094909
260,-0.0070120371299326
261,-0.0068759784792021
262,-0.006730610274627
263,-0.0065764585774106
264,-0.0064140791128804
265,-0.0062440536030949
266,-0.0060669867630955
267,-0.0058835013389159
268,-0.0056942351509048
269,-0.0054998437339253
270,-0.0053010054625052
271,-0.0050984275617534
272,-0.0048928505891992
273,-0.0046850470094882
274,-0.0044758168961154
275,-0.004265984723485
276,-0.0040563952819788
277,-0.0038479088997814
278,-0.0036413957664476
279,-0.0034377266987362
280,-0.003237764443112
281,-0.0030423594245823
282,-0.0028523463478047
283,-0.0026685397039525
284,-0.0024917257652521
285,-0.0023226467834821
286,-0.0021619818173357
287,-0.002010329777193
288,-0.0018681935528751
289,-0.0017359665371843
290,-0.0016139219160072
291,-0.0015022022231299
292,-0.0014008146510797
293,-0.0013096369397714
294,-0.0012284300381304
295,-0.0011568554588209
296,-0.0010944933816575
297,-0.001040855387076
298,-0.0009953962096893
299,-0.0009575296371793
300,-0.0009266466156462
301,-0.0009021364172416
302,-0.0008834085169904
303,-0.0008699097022775
304,-0.0008611410823147
305,-0.0008566785596188
306,-0.0008561922282512
307,-0.0008594630488464
308,-0.0008663911662823
309,-0.0008769886571005
310,-0.0008913630756559
311,-0.0009096986845338
312,-0.0009322360803716
313,-0.0009592545534281
314,-0.0009910550241525
315,-0.0010279381207443
316,-0.0010701842036707
317,-0.0011180399809974
318,-0.001171709346991
319,-0.0012313496380245
320,-0.0012970667129156
321,-0.0013689007925771
322,-0.0014468106425351
323,-0.0015306627123458
324,-0.0016202270766864
325,-0.0017151858360904
326,-0.0018151479136279
327,-0.0019196607546374
328,-0.0020282237847413
329,-0.0021403049810996
330,-0.0022553577429784
331,-0.002372840257333
332,-0.0024922273158893
333,-0.0026130044006999
334,-0.0027346525748129
335,-0.0028566307539035
336,-0.0029783608124897
337,-0.0030992256082031
338,-0.0032185722666177
339,-0.0033357103666694
340,-0.0034499107269567
341,-0.0035604053974111
342,-0.0036663904756031
343,-0.0037670393654012
344,-0.003861515310547
345,-0.0039489731409825
346,-0.0040285596521324
347,-0.0040994173016539
348,-0.004160700247884
349,-0.0042116156788079
350,-0.0042514767257545
351,-0.004279751252541
352,-0.0042961065101986
353,-0.004300442561712
354,-0.0042929172371682
355,-0.0042739726646018
356,-0.0042443482430356
357,-0.0042050689735951
358,-0.0041574163387765
359,-0.0041028823657105
360,-0.0040431217651601
361,-0.0039799208315475
362,-0.003915168327897
363,-0.0038508147288909
364,-0.0037888185259549
365,-0.0037310703443151
366,-0.0036793085979591
367,-0.0036350480715752
368,-0.0035995120188415
369,-0.0035735650219535
370,-0.0035576543455714
371,-0.0035517570501601
372,-0.0035553543914558
373,-0.0035674555488952
374,-0.0035866530338552
375,-0.0036111951487148
376,-0.0036390640564023
377,-0.0036680382607533
378,-0.0036957533780443
379,-0.0037197810136651
380,-0.0037377128899357
381,-0.0037472467462221
382,-0.0037462693808279
383,-0.0037329200348691
384,-0.0037056528226586
385,-0.0036633156562912
386,-0.0036052254965804
387,-0.0035312283671203
388,-0.0034417263882748
389,-0.0033376463317213
390,-0.0032203724461963
391,-0.0030916714676656
392,-0.0029536081789341
393,-0.0028084626374861
394,-0.0026586463909636
395,-0.0025066015465962
396,-0.0023547095359147
397,-0.0022052314452159
398,-0.002060267516655
399,-0.0019217342433479
400,-0.0017913389573658
401,-0.0016705236186706
402,-0.0015604033162115
403,-0.0014617254478578
404,-0.0013748498474981
405,-0.0012997633640601
406,-0.0012361142178334
407,-0.0011832372962887
408,-0.00114018989022
409,-0.0011058092077136
410,-0.0010787762119138
411,-0.0010576854274495
412,-0.0010410919277135
413,-0.001027501737895
414,-0.001015333251509
415,-0.0010028761015911
416,-0.0009882559049706
417,-0.0009694290430847
418,-0.0009441920912311
419,-0.0009101775875766
420,-0.0008648596067103
421,-0.0008055812695901
422,-0.0007295982428545
423,-0.0006341487969682
424,-0.0005165205495901
425,-0.0003740803288228
426,-0.0002042953778101
427,-4.767417059930419e-06
428,0.0002267083389089
429,0.0004920328804727
430,0.0007926703114866
431,0.0011295325208815
432,0.0015028705855239
433,0.0019121762331207
434,0.0023561004845163
435,0.0028323770299795
436,0.0033377874402464
437,0.003868203778258
438,0.0044186827811702
439,0.0049835940059841
440,0.0055567586902296
441,0.0061315611090103
442,0.0067010572237163
443,0.0072581127270747
444,0.0077955566379662
445,0.0083063518242332
446,0.008783769633014
447,0.0092215368200999
448,0.009613979332292
449,0.0099561835855744
450,0.0102441490245909
451,0.0104749201738931
452,0.0106466680829557
453,0.0107586820121934
454,0.0108113016783096
455,0.0108058255671306
456,0.0107443997088314
457,0.0106299082600009
458,0.0104658578615004
459,0.010256231366214
460,0.0100053410051675
461,0.0097177037003894
462,0.0093979314964536
463,0.0090506446223447
464,0.0086803840199842
465,0.0082914929408333
466,0.0078879960543117
467,0.0074735023842581
468,0.0070511415792187
469,0.0066235554868992
470,0.0061929262464026
471,0.0057610087267372
472,0.0053291787566317
473,0.0048984991244707
474,0.004469795158933
475,0.0040437463504664
476,0.0036209666016423
477,0.0032020436502662
478,0.002787554216863
479,0.0023780674757566
480,0.0019741480607944
481,0.0015763808371448
482,0.0011854008965195
483,0.0008019051699617
484,0.0004266533249314
485,6.0457415335238215e-05
486,-0.0002958361249164
487,-0.0006413564681439
488,-0.0009752253295089
489,-0.0012965954108913
490,-0.0016046965988571
491,-0.0018988826965845
492,-0.0021786647680896
493,-0.0024437109953384
494,-0.0026938267547995
495,-0.0029289323969765
496,-0.003149038701754
497,-0.003354227670934
498,-0.0035446351467919
