,Volt
0,-0.0041837184215782
1,-0.0042458302401426
2,-0.0042394293617595
3,-0.0041634223996685
4,-0.0040190074326343
5,-0.003809599780557
6,-0.0035406330500191
7,-0.0032193093970623
8,-0.0028543066048395
9,-0.0024554806070596
10,-0.0020335506260368
11,-0.0015997226702285
12,-0.0011653142423932
13,-0.0007414293184994
14,-0.000338672678629
15,3.30798037106883e-05
16,0.000364901313186
17,0.0006490841705887
18,0.0008794003742171
19,0.0010512985539623
20,0.0011620131335407
21,0.0012105380160345
22,0.0011975077248542
23,0.0011250552793062
24,0.0009966285846312
25,0.0008167682270462
26,0.0005908604865871
27,0.0003248489455879
28,2.496482475513805e-05
29,-0.0003024624086371
30,-0.0006511438936659
31,-0.0010149382992239
32,-0.0013879533766872
33,-0.0017646902031367
34,-0.0021401900107896
35,-0.0025101318552304
36,-0.0028708894840933
37,-0.0032195379090817
38,-0.0035538228444799
39,-0.0038721323435377
40,-0.0041734424587432
41,-0.0044572125987712
42,-0.0047232576750872
43,-0.0049716079713278
44,-0.0052023903674084
45,-0.005415776276018
46,-0.0056119699991078
47,-0.0057912054259477
48,-0.0059537491913399
49,-0.0060998920256794
50,-0.0062299384471498
51,-0.0063442218689125
52,-0.0064431239273308
53,-0.0065270811326064
54,-0.0065965870261827
55,-0.0066521850995205
56,-0.0066944687989706
57,-0.0067241128665969
58,-0.0067419176078802
59,-0.0067488468993277
60,-0.0067460562827688
61,-0.0067348978843585
62,-0.0067169085351482
63,-0.0066937982370854
64,-0.0066674297686994
65,-0.0066397830651066
66,-0.006612911746915
67,-0.0065888914102325
68,-0.0065697687679104
69,-0.0065575262295812
70,-0.0065540546331037
71,-0.0065611250899059
72,-0.0065803629372093
73,-0.0066132207740589
74,-0.0066609497916065
75,-0.0067245754380224
76,-0.0068048708151482
77,-0.0069023204265146
78,-0.0070170831605
79,-0.0071489609523659
80,-0.0072973742870309
81,-0.0074613517876619
82,-0.0076395319512496
83,-0.0078301702176763
84,-0.0080311612069911
85,-0.0082400822931637
86,-0.0084542502057514
87,-0.0086707876797351
88,-0.0088866907854359
89,-0.0090988830473705
90,-0.0093042665318989
91,-0.0094997807768124
92,-0.0096824633906888
93,-0.0098495139204842
94,-0.0099983566594563
95,-0.0101266899157672
96,-0.010232535179827
97,-0.010314297064346
98,-0.0103708190931045
99,-0.0104014280628017
100,-0.0104059542821647
101,-0.0103847087865052
102,-0.010338435756217
103,-0.0102682618471905
104,-0.0101756386990751
105,-0.0100622859603495
106,-0.0099301346497654
107,-0.0097812589404321
108,-0.0096178201563774
109,-0.0094420429688617
110,-0.0092562083698223
111,-0.0090626568637629
112,-0.0088637851080535
113,-0.0086620101123505
114,-0.0084597232278755
115,-0.0082592587365976
116,-0.0080628704266174
117,-0.0078727229373748
118,-0.0076908891717163
119,-0.0075193304624702
120,-0.0073598837165885
121,-0.007214274203454
122,-0.0070841334051016
123,-0.0069710150784572
124,-0.0068763849467868
125,-0.0068015510618004
126,-0.006747566449244
127,-0.0067151384659178
128,-0.0067045464665516
129,-0.0067155868813694
130,-0.0067475374291132
131,-0.0067991150853392
132,-0.0068684611473721
133,-0.0069531770255972
134,-0.0070503941917423
135,-0.0071568778633727
136,-0.0072691316549586
137,-0.00738346106925
138,-0.0074960291926232
139,-0.0076029358505685
140,-0.0077003214932955
141,-0.0077845158136396
142,-0.0078522039473535
143,-0.0079005646300129
144,-0.0079274035120423
145,-0.0079312914056977
146,-0.0079116868168566
147,-0.0078690450736425
148,-0.0078048698098849
149,-0.0077216581908241
150,-0.0076227793345395
151,-0.0075123217981243
152,-0.0073949279494989
153,-0.0072756557178361
154,-0.0071598441461775
155,-0.0070529426663047
156,-0.0069603374037878
157,-0.0068871903491155
158,-0.0068382911116999
159,-0.0068179460832824
160,-0.0068298663039848
161,-0.0068770121885964
162,-0.0069614392535442
163,-0.0070841765779592
164,-0.0072451630848797
165,-0.0074432863613032
166,-0.0076764842699179
167,-0.0079418532353784
168,-0.0082357782030858
169,-0.0085540766445185
170,-0.008892149486269
171,-0.0092451600880355
172,-0.0096081877058011
173,-0.0099763043631285
174,-0.0103446096700902
175,-0.010708243559476
176,-0.0110624066548511
177,-0.0114024397859957
178,-0.0117239211973103
179,-0.012022729722719
180,-0.0122950906008191
181,-0.0125375966697889
182,-0.0127472163357134
183,-0.0129213289187749
184,-0.0130577432367943
185,-0.0131546612210825
186,-0.0132106256448838
187,-0.0132244691260827
188,-0.0131953042250022
